"acfrequency";"r Pin";"i Pin"
1.2331e+06;5.92092e-10;3.64148e-05
1.23595e+06;5.94364e-10;3.64987e-05
1.2388e+06;5.96645e-10;3.65829e-05
1.24165e+06;5.98938e-10;3.66672e-05
1.24451e+06;6.01241e-10;3.67517e-05
1.24738e+06;6.03555e-10;3.68364e-05
1.25026e+06;6.05879e-10;3.69214e-05
1.25314e+06;6.08214e-10;3.70065e-05
1.25603e+06;6.1056e-10;3.70918e-05
1.25893e+06;6.12916e-10;3.71773e-05
1.26183e+06;6.15284e-10;3.7263e-05
1.26474e+06;6.17662e-10;3.73489e-05
1.26765e+06;6.20052e-10;3.7435e-05
1.27057e+06;6.22452e-10;3.75213e-05
1.2735e+06;6.24864e-10;3.76078e-05
1.27644e+06;6.27286e-10;3.76945e-05
1.27938e+06;6.2972e-10;3.77814e-05
1.28233e+06;6.32165e-10;3.78685e-05
1.28529e+06;6.34622e-10;3.79558e-05
1.28825e+06;6.37089e-10;3.80433e-05
1.29122e+06;6.39568e-10;3.8131e-05
1.2942e+06;6.42059e-10;3.82189e-05
1.29718e+06;6.44561e-10;3.8307e-05
1.30017e+06;6.47075e-10;3.83953e-05
1.30317e+06;6.496e-10;3.84838e-05
1.30617e+06;6.52137e-10;3.85725e-05
1.30918e+06;6.54685e-10;3.86614e-05
1.3122e+06;6.57245e-10;3.87505e-05
1.31522e+06;6.59818e-10;3.88399e-05
1.31826e+06;6.62402e-10;3.89294e-05
1.3213e+06;6.64997e-10;3.90191e-05
1.32434e+06;6.67605e-10;3.91091e-05
1.32739e+06;6.70225e-10;3.91993e-05
1.33045e+06;6.72857e-10;3.92896e-05
1.33352e+06;6.75502e-10;3.93802e-05
1.3366e+06;6.78158e-10;3.9471e-05
1.33968e+06;6.80827e-10;3.9562e-05
1.34276e+06;6.83508e-10;3.96532e-05
1.34586e+06;6.86201e-10;3.97446e-05
1.34896e+06;6.88907e-10;3.98362e-05
1.35207e+06;6.91625e-10;3.9928e-05
1.35519e+06;6.94356e-10;4.00201e-05
1.35831e+06;6.97099e-10;4.01123e-05
1.36144e+06;6.99855e-10;4.02048e-05
1.36458e+06;7.02624e-10;4.02975e-05
1.36773e+06;7.05406e-10;4.03904e-05
1.37088e+06;7.082e-10;4.04835e-05
1.37404e+06;7.11007e-10;4.05768e-05
1.37721e+06;7.13828e-10;4.06703e-05
1.38038e+06;7.16661e-10;4.07641e-05
1.38357e+06;7.19507e-10;4.08581e-05
1.38676e+06;7.22367e-10;4.09523e-05
1.38995e+06;7.2524e-10;4.10467e-05
1.39316e+06;7.28126e-10;4.11413e-05
1.39637e+06;7.31025e-10;4.12361e-05
1.39959e+06;7.33938e-10;4.13312e-05
1.40281e+06;7.36864e-10;4.14265e-05
1.40605e+06;7.39803e-10;4.1522e-05
1.40929e+06;7.42757e-10;4.16177e-05
1.41254e+06;7.45723e-10;4.17136e-05
1.41579e+06;7.48704e-10;4.18098e-05
1.41906e+06;7.51698e-10;4.19062e-05
1.42233e+06;7.54706e-10;4.20028e-05
1.42561e+06;7.57728e-10;4.20996e-05
1.42889e+06;7.60764e-10;4.21966e-05
1.43219e+06;7.63814e-10;4.22939e-05
1.43549e+06;7.66878e-10;4.23914e-05
1.4388e+06;7.69956e-10;4.24891e-05
1.44212e+06;7.73049e-10;4.25871e-05
1.44544e+06;7.76155e-10;4.26852e-05
1.44877e+06;7.79276e-10;4.27836e-05
1.45211e+06;7.82412e-10;4.28823e-05
1.45546e+06;7.85562e-10;4.29811e-05
1.45881e+06;7.88726e-10;4.30802e-05
1.46218e+06;7.91905e-10;4.31795e-05
1.46555e+06;7.95099e-10;4.32791e-05
1.46893e+06;7.98307e-10;4.33788e-05
1.47231e+06;8.0153e-10;4.34788e-05
1.47571e+06;8.04769e-10;4.35791e-05
1.47911e+06;8.08022e-10;4.36795e-05
1.48252e+06;8.1129e-10;4.37802e-05
1.48594e+06;8.14573e-10;4.38811e-05
1.48936e+06;8.17871e-10;4.39823e-05
1.49279e+06;8.21185e-10;4.40837e-05
1.49624e+06;8.24514e-10;4.41853e-05
1.49968e+06;8.27858e-10;4.42872e-05
1.50314e+06;8.31217e-10;4.43892e-05
1.50661e+06;8.34593e-10;4.44916e-05
1.51008e+06;8.37983e-10;4.45941e-05
1.51356e+06;8.4139e-10;4.46969e-05
1.51705e+06;8.44812e-10;4.48e-05
1.52055e+06;8.4825e-10;4.49033e-05
1.52405e+06;8.51703e-10;4.50068e-05
1.52757e+06;8.55173e-10;4.51105e-05
1.53109e+06;8.58659e-10;4.52145e-05
1.53462e+06;8.62161e-10;4.53187e-05
1.53815e+06;8.65679e-10;4.54232e-05
1.5417e+06;8.69213e-10;4.55279e-05
1.54525e+06;8.72763e-10;4.56329e-05
1.54882e+06;8.7633e-10;4.57381e-05
1.55239e+06;8.79914e-10;4.58435e-05
1.55597e+06;8.83514e-10;4.59492e-05
1.55955e+06;8.8713e-10;4.60551e-05
1.56315e+06;8.90763e-10;4.61613e-05
1.56675e+06;8.94413e-10;4.62677e-05
1.57036e+06;8.9808e-10;4.63743e-05
1.57398e+06;9.01764e-10;4.64812e-05
1.57761e+06;9.05465e-10;4.65884e-05
1.58125e+06;9.09183e-10;4.66958e-05
1.58489e+06;9.12918e-10;4.68034e-05
1.58855e+06;9.1667e-10;4.69113e-05
1.59221e+06;9.20439e-10;4.70195e-05
1.59588e+06;9.24226e-10;4.71279e-05
1.59956e+06;9.28031e-10;4.72365e-05
1.60325e+06;9.31853e-10;4.73454e-05
1.60694e+06;9.35693e-10;4.74545e-05
1.61065e+06;9.3955e-10;4.75639e-05
1.61436e+06;9.43425e-10;4.76736e-05
1.61808e+06;9.47318e-10;4.77835e-05
1.62181e+06;9.51229e-10;4.78936e-05
1.62555e+06;9.55158e-10;4.8004e-05
1.6293e+06;9.59106e-10;4.81147e-05
1.63305e+06;9.63071e-10;4.82256e-05
1.63682e+06;9.67055e-10;4.83368e-05
1.64059e+06;9.71057e-10;4.84482e-05
1.64437e+06;9.75078e-10;4.85599e-05
1.64816e+06;9.79117e-10;4.86718e-05
1.65196e+06;9.83175e-10;4.8784e-05
1.65577e+06;9.87251e-10;4.88965e-05
1.65959e+06;9.91346e-10;4.90092e-05
1.66341e+06;9.95461e-10;4.91222e-05
1.66725e+06;9.99594e-10;4.92354e-05
1.67109e+06;1.00375e-09;4.93489e-05
1.67494e+06;1.00792e-09;4.94627e-05
1.6788e+06;1.01211e-09;4.95767e-05
1.68267e+06;1.01632e-09;4.9691e-05
1.68655e+06;1.02055e-09;4.98056e-05
1.69044e+06;1.0248e-09;4.99204e-05
1.69434e+06;1.02907e-09;5.00354e-05
1.69824e+06;1.03335e-09;5.01508e-05
1.70216e+06;1.03766e-09;5.02664e-05
1.70608e+06;1.04199e-09;5.03823e-05
1.71002e+06;1.04634e-09;5.04984e-05
1.71396e+06;1.05071e-09;5.06148e-05
1.71791e+06;1.05509e-09;5.07315e-05
1.72187e+06;1.0595e-09;5.08485e-05
1.72584e+06;1.06393e-09;5.09657e-05
1.72982e+06;1.06838e-09;5.10832e-05
1.7338e+06;1.07285e-09;5.12009e-05
1.7378e+06;1.07734e-09;5.1319e-05
1.74181e+06;1.08185e-09;5.14373e-05
1.74582e+06;1.08639e-09;5.15558e-05
1.74985e+06;1.09094e-09;5.16747e-05
1.75388e+06;1.09551e-09;5.17938e-05
1.75792e+06;1.10011e-09;5.19132e-05
1.76198e+06;1.10472e-09;5.20329e-05
1.76604e+06;1.10936e-09;5.21528e-05
1.77011e+06;1.11402e-09;5.2273e-05
1.77419e+06;1.1187e-09;5.23935e-05
1.77828e+06;1.1234e-09;5.25143e-05
1.78238e+06;1.12813e-09;5.26354e-05
1.78649e+06;1.13287e-09;5.27567e-05
1.79061e+06;1.13764e-09;5.28783e-05
1.79473e+06;1.14243e-09;5.30002e-05
1.79887e+06;1.14724e-09;5.31224e-05
1.80302e+06;1.15207e-09;5.32449e-05
1.80717e+06;1.15693e-09;5.33676e-05
1.81134e+06;1.16181e-09;5.34906e-05
1.81552e+06;1.16671e-09;5.36139e-05
1.8197e+06;1.17163e-09;5.37375e-05
1.8239e+06;1.17658e-09;5.38614e-05
1.8281e+06;1.18155e-09;5.39856e-05
1.83231e+06;1.18654e-09;5.411e-05
1.83654e+06;1.19156e-09;5.42348e-05
1.84077e+06;1.1966e-09;5.43598e-05
1.84502e+06;1.20166e-09;5.44851e-05
1.84927e+06;1.20674e-09;5.46107e-05
1.85353e+06;1.21185e-09;5.47366e-05
1.8578e+06;1.21698e-09;5.48628e-05
1.86209e+06;1.22214e-09;5.49893e-05
1.86638e+06;1.22732e-09;5.5116e-05
1.87068e+06;1.23252e-09;5.52431e-05
1.87499e+06;1.23775e-09;5.53704e-05
1.87932e+06;1.243e-09;5.54981e-05
1.88365e+06;1.24828e-09;5.5626e-05
1.88799e+06;1.25358e-09;5.57542e-05
1.89234e+06;1.2589e-09;5.58828e-05
1.89671e+06;1.26425e-09;5.60116e-05
1.90108e+06;1.26962e-09;5.61407e-05
1.90546e+06;1.27502e-09;5.62701e-05
1.90985e+06;1.28045e-09;5.63998e-05
1.91426e+06;1.2859e-09;5.65298e-05
1.91867e+06;1.29137e-09;5.66602e-05
1.92309e+06;1.29687e-09;5.67908e-05
1.92752e+06;1.30239e-09;5.69217e-05
1.93197e+06;1.30794e-09;5.70529e-05
1.93642e+06;1.31352e-09;5.71844e-05
1.94089e+06;1.31912e-09;5.73163e-05
1.94536e+06;1.32475e-09;5.74484e-05
1.94984e+06;1.3304e-09;5.75808e-05
1.95434e+06;1.33608e-09;5.77136e-05
1.95884e+06;1.34179e-09;5.78466e-05
1.96336e+06;1.34752e-09;5.79799e-05
1.96789e+06;1.35328e-09;5.81136e-05
1.97242e+06;1.35906e-09;5.82476e-05
1.97697e+06;1.36487e-09;5.83818e-05
1.98153e+06;1.37071e-09;5.85164e-05
1.98609e+06;1.37658e-09;5.86513e-05
1.99067e+06;1.38247e-09;5.87865e-05
1.99526e+06;1.38839e-09;5.8922e-05
1.99986e+06;1.39433e-09;5.90579e-05
2.00447e+06;1.40031e-09;5.9194e-05
2.00909e+06;1.40631e-09;5.93305e-05
2.01372e+06;1.41234e-09;5.94672e-05
2.01837e+06;1.4184e-09;5.96043e-05
2.02302e+06;1.42448e-09;5.97417e-05
2.02768e+06;1.4306e-09;5.98795e-05
2.03236e+06;1.43674e-09;6.00175e-05
2.03704e+06;1.44291e-09;6.01558e-05
2.04174e+06;1.44911e-09;6.02945e-05
2.04644e+06;1.45533e-09;6.04335e-05
2.05116e+06;1.46159e-09;6.05728e-05
2.05589e+06;1.46788e-09;6.07125e-05
2.06063e+06;1.47419e-09;6.08524e-05
2.06538e+06;1.48053e-09;6.09927e-05
2.07014e+06;1.4869e-09;6.11333e-05
2.07491e+06;1.49331e-09;6.12742e-05
2.0797e+06;1.49974e-09;6.14155e-05
2.08449e+06;1.5062e-09;6.15571e-05
2.0893e+06;1.51269e-09;6.1699e-05
2.09411e+06;1.51921e-09;6.18412e-05
2.09894e+06;1.52576e-09;6.19837e-05
2.10378e+06;1.53234e-09;6.21266e-05
2.10863e+06;1.53895e-09;6.22699e-05
2.11349e+06;1.54559e-09;6.24134e-05
2.11836e+06;1.55227e-09;6.25573e-05
2.12324e+06;1.55897e-09;6.27015e-05
2.12814e+06;1.56571e-09;6.2846e-05
2.13304e+06;1.57247e-09;6.29909e-05
2.13796e+06;1.57927e-09;6.31361e-05
2.14289e+06;1.5861e-09;6.32817e-05
2.14783e+06;1.59295e-09;6.34275e-05
2.15278e+06;1.59985e-09;6.35738e-05
2.15774e+06;1.60677e-09;6.37203e-05
2.16272e+06;1.61372e-09;6.38672e-05
2.1677e+06;1.62071e-09;6.40144e-05
2.1727e+06;1.62773e-09;6.4162e-05
2.17771e+06;1.63478e-09;6.43099e-05
2.18273e+06;1.64187e-09;6.44581e-05
2.18776e+06;1.64898e-09;6.46067e-05
2.1928e+06;1.65613e-09;6.47557e-05
2.19786e+06;1.66332e-09;6.4905e-05
2.20293e+06;1.67053e-09;6.50546e-05
2.208e+06;1.67778e-09;6.52045e-05
2.21309e+06;1.68506e-09;6.53549e-05
2.2182e+06;1.69238e-09;6.55055e-05
2.22331e+06;1.69973e-09;6.56565e-05
2.22844e+06;1.70711e-09;6.58079e-05
2.23357e+06;1.71453e-09;6.59596e-05
2.23872e+06;1.72198e-09;6.61116e-05
2.24388e+06;1.72947e-09;6.6264e-05
2.24905e+06;1.73699e-09;6.64168e-05
2.25424e+06;1.74455e-09;6.65699e-05
2.25944e+06;1.75214e-09;6.67233e-05
2.26464e+06;1.75977e-09;6.68772e-05
2.26986e+06;1.76743e-09;6.70313e-05
2.2751e+06;1.77512e-09;6.71859e-05
2.28034e+06;1.78285e-09;6.73407e-05
2.2856e+06;1.79062e-09;6.7496e-05
2.29087e+06;1.79843e-09;6.76516e-05
2.29615e+06;1.80627e-09;6.78075e-05
2.30144e+06;1.81414e-09;6.79638e-05
2.30675e+06;1.82205e-09;6.81205e-05
2.31206e+06;1.83e-09;6.82775e-05
2.31739e+06;1.83799e-09;6.84349e-05
2.32274e+06;1.84601e-09;6.85927e-05
2.32809e+06;1.85407e-09;6.87508e-05
2.33346e+06;1.86217e-09;6.89093e-05
2.33884e+06;1.8703e-09;6.90682e-05
2.34423e+06;1.87847e-09;6.92274e-05
2.34963e+06;1.88668e-09;6.9387e-05
2.35505e+06;1.89493e-09;6.95469e-05
2.36048e+06;1.90321e-09;6.97072e-05
2.36592e+06;1.91153e-09;6.98679e-05
2.37137e+06;1.9199e-09;7.0029e-05
2.37684e+06;1.9283e-09;7.01904e-05
2.38232e+06;1.93674e-09;7.03522e-05
2.38781e+06;1.94521e-09;7.05144e-05
2.39332e+06;1.95373e-09;7.0677e-05
2.39883e+06;1.96229e-09;7.08399e-05
2.40436e+06;1.97088e-09;7.10032e-05
2.40991e+06;1.97952e-09;7.11669e-05
2.41546e+06;1.98819e-09;7.13309e-05
2.42103e+06;1.99691e-09;7.14954e-05
2.42661e+06;2.00567e-09;7.16602e-05
2.4322e+06;2.01446e-09;7.18254e-05
2.43781e+06;2.0233e-09;7.19909e-05
2.44343e+06;2.03218e-09;7.21569e-05
2.44906e+06;2.04109e-09;7.23232e-05
2.45471e+06;2.05005e-09;7.249e-05
2.46037e+06;2.05906e-09;7.26571e-05
2.46604e+06;2.0681e-09;7.28246e-05
2.47172e+06;2.07718e-09;7.29924e-05
2.47742e+06;2.08631e-09;7.31607e-05
2.48313e+06;2.09548e-09;7.33294e-05
2.48886e+06;2.10469e-09;7.34984e-05
2.49459e+06;2.11394e-09;7.36678e-05
2.50035e+06;2.12324e-09;7.38377e-05
2.50611e+06;2.13258e-09;7.40079e-05
2.51189e+06;2.14196e-09;7.41785e-05
2.51768e+06;2.15138e-09;7.43495e-05
2.52348e+06;2.16085e-09;7.45209e-05
2.5293e+06;2.17036e-09;7.46927e-05
2.53513e+06;2.17992e-09;7.48648e-05
2.54097e+06;2.18952e-09;7.50374e-05
2.54683e+06;2.19917e-09;7.52104e-05
2.5527e+06;2.20885e-09;7.53838e-05
2.55859e+06;2.21859e-09;7.55576e-05
2.56448e+06;2.22837e-09;7.57317e-05
2.5704e+06;2.23819e-09;7.59063e-05
2.57632e+06;2.24806e-09;7.60813e-05
2.58226e+06;2.25798e-09;7.62567e-05
2.58821e+06;2.26794e-09;7.64325e-05
2.59418e+06;2.27794e-09;7.66087e-05
2.60016e+06;2.288e-09;7.67853e-05
2.60615e+06;2.2981e-09;7.69623e-05
2.61216e+06;2.30824e-09;7.71397e-05
2.61818e+06;2.31844e-09;7.73175e-05
2.62422e+06;2.32867e-09;7.74957e-05
2.63027e+06;2.33896e-09;7.76744e-05
2.63633e+06;2.3493e-09;7.78535e-05
2.64241e+06;2.35968e-09;7.80329e-05
2.6485e+06;2.37011e-09;7.82128e-05
2.65461e+06;2.38059e-09;7.83931e-05
2.66073e+06;2.39111e-09;7.85738e-05
2.66686e+06;2.40169e-09;7.8755e-05
2.67301e+06;2.41231e-09;7.89365e-05
2.67917e+06;2.42299e-09;7.91185e-05
2.68534e+06;2.43371e-09;7.93009e-05
2.69153e+06;2.44448e-09;7.94837e-05
2.69774e+06;2.4553e-09;7.96669e-05
2.70396e+06;2.46617e-09;7.98505e-05
2.71019e+06;2.4771e-09;8.00346e-05
2.71644e+06;2.48807e-09;8.02191e-05
2.7227e+06;2.49909e-09;8.0404e-05
2.72898e+06;2.51016e-09;8.05894e-05
2.73527e+06;2.52129e-09;8.07752e-05
2.74157e+06;2.53247e-09;8.09614e-05
2.74789e+06;2.54369e-09;8.1148e-05
2.75423e+06;2.55497e-09;8.13351e-05
2.76058e+06;2.5663e-09;8.15226e-05
2.76694e+06;2.57769e-09;8.17105e-05
2.77332e+06;2.58913e-09;8.18989e-05
2.77971e+06;2.60061e-09;8.20877e-05
2.78612e+06;2.61216e-09;8.22769e-05
2.79254e+06;2.62375e-09;8.24666e-05
2.79898e+06;2.6354e-09;8.26567e-05
2.80543e+06;2.6471e-09;8.28472e-05
2.8119e+06;2.65886e-09;8.30382e-05
2.81838e+06;2.67067e-09;8.32296e-05
2.82488e+06;2.68254e-09;8.34215e-05
2.83139e+06;2.69446e-09;8.36138e-05
2.83792e+06;2.70643e-09;8.38065e-05
2.84446e+06;2.71847e-09;8.39997e-05
2.85102e+06;2.73055e-09;8.41934e-05
2.85759e+06;2.74269e-09;8.43875e-05
2.86418e+06;2.75489e-09;8.4582e-05
2.87078e+06;2.76715e-09;8.4777e-05
2.8774e+06;2.77946e-09;8.49724e-05
2.88403e+06;2.79182e-09;8.51683e-05
2.89068e+06;2.80425e-09;8.53646e-05
2.89734e+06;2.81673e-09;8.55614e-05
2.90402e+06;2.82927e-09;8.57586e-05
2.91072e+06;2.84187e-09;8.59563e-05
2.91743e+06;2.85453e-09;8.61545e-05
2.92415e+06;2.86724e-09;8.63531e-05
2.93089e+06;2.88001e-09;8.65522e-05
2.93765e+06;2.89284e-09;8.67517e-05
2.94442e+06;2.90574e-09;8.69517e-05
2.95121e+06;2.91869e-09;8.71521e-05
2.95801e+06;2.9317e-09;8.7353e-05
2.96483e+06;2.94477e-09;8.75544e-05
2.97167e+06;2.9579e-09;8.77562e-05
2.97852e+06;2.97109e-09;8.79585e-05
2.98538e+06;2.98434e-09;8.81613e-05
2.99226e+06;2.99766e-09;8.83645e-05
2.99916e+06;3.01103e-09;8.85682e-05
3.00608e+06;3.02447e-09;8.87724e-05
3.01301e+06;3.03797e-09;8.8977e-05
3.01995e+06;3.05153e-09;8.91821e-05
3.02691e+06;3.06515e-09;8.93877e-05
3.03389e+06;3.07884e-09;8.95938e-05
3.04089e+06;3.09259e-09;8.98003e-05
3.04789e+06;3.1064e-09;9.00073e-05
3.05492e+06;3.12028e-09;9.02148e-05
3.06196e+06;3.13422e-09;9.04228e-05
3.06902e+06;3.14822e-09;9.06312e-05
3.0761e+06;3.16229e-09;9.08402e-05
3.08319e+06;3.17643e-09;9.10496e-05
3.0903e+06;3.19063e-09;9.12595e-05
3.09742e+06;3.20489e-09;9.14698e-05
3.10456e+06;3.21923e-09;9.16807e-05
3.11172e+06;3.23362e-09;9.18921e-05
3.11889e+06;3.24809e-09;9.21039e-05
3.12608e+06;3.26262e-09;9.23162e-05
3.13329e+06;3.27722e-09;9.2529e-05
3.14051e+06;3.29188e-09;9.27423e-05
3.14775e+06;3.30662e-09;9.29561e-05
3.155e+06;3.32142e-09;9.31704e-05
3.16228e+06;3.33629e-09;9.33852e-05
3.16957e+06;3.35122e-09;9.36005e-05
3.17687e+06;3.36623e-09;9.38162e-05
3.1842e+06;3.38131e-09;9.40325e-05
3.19154e+06;3.39645e-09;9.42493e-05
3.1989e+06;3.41167e-09;9.44665e-05
3.20627e+06;3.42695e-09;9.46843e-05
3.21366e+06;3.44231e-09;9.49026e-05
3.22107e+06;3.45774e-09;9.51213e-05
3.22849e+06;3.47324e-09;9.53406e-05
3.23594e+06;3.48881e-09;9.55604e-05
3.2434e+06;3.50445e-09;9.57807e-05
3.25087e+06;3.52016e-09;9.60015e-05
3.25837e+06;3.53595e-09;9.62228e-05
3.26588e+06;3.55181e-09;9.64446e-05
3.27341e+06;3.56774e-09;9.66669e-05
3.28095e+06;3.58375e-09;9.68898e-05
3.28852e+06;3.59983e-09;9.71131e-05
3.2961e+06;3.61598e-09;9.7337e-05
3.3037e+06;3.63221e-09;9.75614e-05
3.31131e+06;3.64852e-09;9.77863e-05
3.31894e+06;3.6649e-09;9.80117e-05
3.3266e+06;3.68135e-09;9.82377e-05
3.33426e+06;3.69788e-09;9.84641e-05
3.34195e+06;3.71449e-09;9.86911e-05
3.34965e+06;3.73117e-09;9.89186e-05
3.35738e+06;3.74793e-09;9.91466e-05
3.36512e+06;3.76477e-09;9.93752e-05
3.37287e+06;3.78169e-09;9.96043e-05
3.38065e+06;3.79868e-09;9.98339e-05
3.38844e+06;3.81575e-09;0.000100064
3.39625e+06;3.83291e-09;0.000100295
3.40408e+06;3.85014e-09;0.000100526
3.41193e+06;3.86745e-09;0.000100758
3.41979e+06;3.88483e-09;0.00010099
3.42768e+06;3.9023e-09;0.000101223
3.43558e+06;3.91986e-09;0.000101456
3.4435e+06;3.93749e-09;0.00010169
3.45144e+06;3.9552e-09;0.000101924
3.45939e+06;3.973e-09;0.000102159
3.46737e+06;3.99087e-09;0.000102395
3.47536e+06;4.00883e-09;0.000102631
3.48337e+06;4.02687e-09;0.000102867
3.4914e+06;4.045e-09;0.000103105
3.49945e+06;4.06321e-09;0.000103342
3.50752e+06;4.0815e-09;0.000103581
3.5156e+06;4.09988e-09;0.000103819
3.52371e+06;4.11834e-09;0.000104059
3.53183e+06;4.13689e-09;0.000104298
3.53997e+06;4.15552e-09;0.000104539
3.54813e+06;4.17424e-09;0.00010478
3.55631e+06;4.19305e-09;0.000105021
3.56451e+06;4.21194e-09;0.000105264
3.57273e+06;4.23092e-09;0.000105506
3.58096e+06;4.24999e-09;0.000105749
3.58922e+06;4.26915e-09;0.000105993
3.59749e+06;4.28839e-09;0.000106238
3.60579e+06;4.30772e-09;0.000106482
3.6141e+06;4.32714e-09;0.000106728
3.62243e+06;4.34666e-09;0.000106974
3.63078e+06;4.36626e-09;0.000107221
3.63915e+06;4.38595e-09;0.000107468
3.64754e+06;4.40573e-09;0.000107715
3.65595e+06;4.42561e-09;0.000107964
3.66438e+06;4.44557e-09;0.000108213
3.67282e+06;4.46563e-09;0.000108462
3.68129e+06;4.48578e-09;0.000108712
3.68978e+06;4.50603e-09;0.000108963
3.69828e+06;4.52636e-09;0.000109214
3.70681e+06;4.54679e-09;0.000109466
3.71535e+06;4.56732e-09;0.000109718
3.72392e+06;4.58794e-09;0.000109971
3.7325e+06;4.60866e-09;0.000110224
3.74111e+06;4.62947e-09;0.000110479
3.74973e+06;4.65037e-09;0.000110733
3.75837e+06;4.67138e-09;0.000110989
3.76704e+06;4.69248e-09;0.000111244
3.77572e+06;4.71368e-09;0.000111501
3.78443e+06;4.73497e-09;0.000111758
3.79315e+06;4.75637e-09;0.000112015
3.80189e+06;4.77786e-09;0.000112274
3.81066e+06;4.79945e-09;0.000112533
3.81944e+06;4.82114e-09;0.000112792
3.82825e+06;4.84293e-09;0.000113052
3.83707e+06;4.86483e-09;0.000113313
3.84592e+06;4.88682e-09;0.000113574
3.85478e+06;4.90891e-09;0.000113836
