"acfrequency";"r Z";"i Z"
1.50661e+09;8.78689;35.5549
1.51008e+09;8.75016;35.6914
1.51356e+09;8.71349;35.8283
1.51705e+09;8.67689;35.9654
1.52055e+09;8.64035;36.103
1.52405e+09;8.60389;36.2409
1.52757e+09;8.56749;36.3791
1.53109e+09;8.53116;36.5177
1.53462e+09;8.49489;36.6566
1.53815e+09;8.4587;36.7959
1.5417e+09;8.42257;36.9356
1.54525e+09;8.38651;37.0756
1.54882e+09;8.35052;37.216
1.55239e+09;8.3146;37.3567
1.55597e+09;8.27875;37.4978
1.55955e+09;8.24297;37.6392
1.56315e+09;8.20726;37.781
1.56675e+09;8.17162;37.9231
1.57036e+09;8.13605;38.0656
1.57398e+09;8.10055;38.2085
1.57761e+09;8.06512;38.3517
1.58125e+09;8.02976;38.4953
1.58489e+09;7.99448;38.6392
1.58855e+09;7.95926;38.7835
1.59221e+09;7.92412;38.9282
1.59588e+09;7.88905;39.0732
1.59956e+09;7.85405;39.2185
1.60325e+09;7.81913;39.3643
1.60694e+09;7.78427;39.5104
1.61065e+09;7.74949;39.6568
1.61436e+09;7.71479;39.8036
1.61808e+09;7.68015;39.9508
1.62181e+09;7.64559;40.0983
1.62555e+09;7.61111;40.2462
1.6293e+09;7.5767;40.3945
1.63305e+09;7.54236;40.5431
1.63682e+09;7.5081;40.6921
1.64059e+09;7.47391;40.8414
1.64437e+09;7.4398;40.9911
1.64816e+09;7.40576;41.1412
1.65196e+09;7.3718;41.2916
1.65577e+09;7.33791;41.4424
1.65959e+09;7.3041;41.5936
1.66341e+09;7.27037;41.7451
1.66725e+09;7.23671;41.897
1.67109e+09;7.20312;42.0493
1.67494e+09;7.16962;42.2019
1.6788e+09;7.13619;42.3549
1.68267e+09;7.10284;42.5083
1.68655e+09;7.06956;42.6621
1.69044e+09;7.03636;42.8162
1.69434e+09;7.00324;42.9706
1.69824e+09;6.9702;43.1255
1.70216e+09;6.93723;43.2807
1.70608e+09;6.90434;43.4363
1.71002e+09;6.87154;43.5922
1.71396e+09;6.8388;43.7485
1.71791e+09;6.80615;43.9052
1.72187e+09;6.77358;44.0623
1.72584e+09;6.74108;44.2197
1.72982e+09;6.70867;44.3775
1.7338e+09;6.67633;44.5357
1.7378e+09;6.64407;44.6942
1.74181e+09;6.61189;44.8532
1.74582e+09;6.57979;45.0125
1.74985e+09;6.54777;45.1721
1.75388e+09;6.51583;45.3322
1.75792e+09;6.48398;45.4926
1.76198e+09;6.4522;45.6534
1.76604e+09;6.4205;45.8146
1.77011e+09;6.38888;45.9761
1.77419e+09;6.35734;46.138
1.77828e+09;6.32588;46.3003
1.78238e+09;6.29451;46.463
1.78649e+09;6.26321;46.6261
1.79061e+09;6.232;46.7895
