"acfrequency";"number";"r Ganho";"i Ganho"
2.89734e+07;1;0.00363023;0
2.91743e+07;1;0.00368071;0
2.93765e+07;1;0.0037319;0
2.95801e+07;1;0.0037838;0
2.97852e+07;1;0.00383642;0
2.99916e+07;1;0.00388977;0
3.01995e+07;1;0.00394386;0
3.04089e+07;1;0.00399871;0
3.06196e+07;1;0.00405431;0
3.08319e+07;1;0.00411069;0
3.10456e+07;1;0.00416786;0
3.12608e+07;1;0.00422582;0
3.14775e+07;1;0.00428458;0
3.16957e+07;1;0.00434416;0
3.19154e+07;1;0.00440457;0
3.21366e+07;1;0.00446582;0
3.23594e+07;1;0.00452792;0
3.25837e+07;1;0.00459088;0
3.28095e+07;1;0.00465472;0
3.3037e+07;1;0.00471945;0
3.3266e+07;1;0.00478508;0
3.34965e+07;1;0.00485161;0
3.37287e+07;1;0.00491908;0
3.39625e+07;1;0.00498748;0
3.41979e+07;1;0.00505683;0
3.4435e+07;1;0.00512714;0
3.46737e+07;1;0.00519843;0
3.4914e+07;1;0.00527072;0
3.5156e+07;1;0.00534401;0
3.53997e+07;1;0.00541831;0
3.56451e+07;1;0.00549365;0
3.58922e+07;1;0.00557004;0
3.6141e+07;1;0.00564748;0
3.63915e+07;1;0.00572601;0
3.66438e+07;1;0.00580562;0
3.68978e+07;1;0.00588634;0
3.71535e+07;1;0.00596819;0
3.74111e+07;1;0.00605117;0
3.76704e+07;1;0.0061353;0
3.79315e+07;1;0.0062206;0
3.81944e+07;1;0.00630709;0
3.84592e+07;1;0.00639478;0
3.87258e+07;1;0.00648369;0
3.89942e+07;1;0.00657383;0
3.92645e+07;1;0.00666523;0
3.95367e+07;1;0.0067579;0
3.98107e+07;1;0.00685185;0
4.00867e+07;1;0.00694711;0
4.03645e+07;1;0.00704369;0
4.06443e+07;1;0.00714162;0
4.09261e+07;1;0.0072409;0
4.12098e+07;1;0.00734156;0
4.14954e+07;1;0.00744363;0
4.1783e+07;1;0.00754711;0
4.20727e+07;1;0.00765203;0
4.23643e+07;1;0.0077584;0
4.2658e+07;1;0.00786625;0
4.29536e+07;1;0.00797561;0
4.32514e+07;1;0.00808648;0
4.35512e+07;1;0.00819889;0
4.38531e+07;1;0.00831286;0
4.4157e+07;1;0.00842841;0
4.44631e+07;1;0.00854558;0
4.47713e+07;1;0.00866436;0
4.50817e+07;1;0.0087848;0
4.53942e+07;1;0.00890691;0
4.57088e+07;1;0.00903072;0
4.60257e+07;1;0.00915624;0
4.63447e+07;1;0.00928351;0
4.66659e+07;1;0.00941255;0
4.69894e+07;1;0.00954338;0
4.73151e+07;1;0.00967602;0
4.76431e+07;1;0.00981051;0
4.79733e+07;1;0.00994686;0
4.83059e+07;1;0.0100851;0
4.86407e+07;1;0.0102253;0
