"acfrequency";"number";"r Zin";"i Zin"
1.35519e+09;1;0.3711;-22.6033
1.35831e+09;1;0.3711;-22.5403
1.36144e+09;1;0.3711;-22.4775
1.36458e+09;1;0.3711;-22.4148
1.36773e+09;1;0.3711;-22.3521
1.37088e+09;1;0.3711;-22.2897
1.37404e+09;1;0.3711;-22.2273
1.37721e+09;1;0.3711;-22.165
1.38038e+09;1;0.3711;-22.1029
1.38357e+09;1;0.3711;-22.0409
1.38676e+09;1;0.3711;-21.979
1.38995e+09;1;0.3711;-21.9172
1.39316e+09;1;0.3711;-21.8555
1.39637e+09;1;0.3711;-21.794
1.39959e+09;1;0.3711;-21.7325
1.40281e+09;1;0.3711;-21.6712
1.40605e+09;1;0.3711;-21.61
1.40929e+09;1;0.3711;-21.5489
1.41254e+09;1;0.3711;-21.4879
1.41579e+09;1;0.3711;-21.4271
1.41906e+09;1;0.3711;-21.3663
1.42233e+09;1;0.3711;-21.3057
1.42561e+09;1;0.3711;-21.2451
1.42889e+09;1;0.3711;-21.1847
1.43219e+09;1;0.3711;-21.1244
1.43549e+09;1;0.3711;-21.0642
1.4388e+09;1;0.3711;-21.0042
1.44212e+09;1;0.3711;-20.9442
1.44544e+09;1;0.3711;-20.8844
1.44877e+09;1;0.3711;-20.8246
1.45211e+09;1;0.3711;-20.765
1.45546e+09;1;0.3711;-20.7055
1.45881e+09;1;0.3711;-20.646
1.46218e+09;1;0.3711;-20.5867
1.46555e+09;1;0.3711;-20.5275
1.46893e+09;1;0.3711;-20.4685
1.47231e+09;1;0.3711;-20.4095
1.47571e+09;1;0.3711;-20.3506
1.47911e+09;1;0.3711;-20.2918
1.48252e+09;1;0.3711;-20.2332
1.48594e+09;1;0.3711;-20.1746
1.48936e+09;1;0.3711;-20.1162
1.49279e+09;1;0.3711;-20.0579
1.49624e+09;1;0.3711;-19.9997
1.49968e+09;1;0.3711;-19.9415
1.50314e+09;1;0.3711;-19.8835
1.50661e+09;1;0.3711;-19.8256
1.51008e+09;1;0.3711;-19.7678
1.51356e+09;1;0.3711;-19.7101
1.51705e+09;1;0.3711;-19.6525
1.52055e+09;1;0.3711;-19.595
1.52405e+09;1;0.3711;-19.5376
1.52757e+09;1;0.3711;-19.4803
1.53109e+09;1;0.3711;-19.4232
1.53462e+09;1;0.3711;-19.3661
1.53815e+09;1;0.3711;-19.3091
1.5417e+09;1;0.3711;-19.2522
1.54525e+09;1;0.3711;-19.1955
1.54882e+09;1;0.3711;-19.1388
1.55239e+09;1;0.3711;-19.0822
1.55597e+09;1;0.3711;-19.0258
1.55955e+09;1;0.3711;-18.9694
1.56315e+09;1;0.3711;-18.9132
1.56675e+09;1;0.3711;-18.857
1.57036e+09;1;0.3711;-18.8009
1.57398e+09;1;0.3711;-18.745
1.57761e+09;1;0.3711;-18.6891
1.58125e+09;1;0.3711;-18.6333
1.58489e+09;1;0.3711;-18.5777
1.58855e+09;1;0.3711;-18.5221
1.59221e+09;1;0.3711;-18.4666
1.59588e+09;1;0.3711;-18.4113
1.59956e+09;1;0.3711;-18.356
1.60325e+09;1;0.3711;-18.3008
1.60694e+09;1;0.3711;-18.2457
1.61065e+09;1;0.3711;-18.1907
1.61436e+09;1;0.3711;-18.1359
1.61808e+09;1;0.3711;-18.0811
1.62181e+09;1;0.3711;-18.0264
1.62555e+09;1;0.3711;-17.9718
1.6293e+09;1;0.3711;-17.9173
1.63305e+09;1;0.3711;-17.8629
1.63682e+09;1;0.3711;-17.8085
1.64059e+09;1;0.3711;-17.7543
1.64437e+09;1;0.3711;-17.7002
1.64816e+09;1;0.3711;-17.6462
1.65196e+09;1;0.3711;-17.5922
1.65577e+09;1;0.3711;-17.5384
1.65959e+09;1;0.3711;-17.4846
1.66341e+09;1;0.3711;-17.431
1.66725e+09;1;0.3711;-17.3774
1.67109e+09;1;0.3711;-17.3239
1.67494e+09;1;0.3711;-17.2705
1.6788e+09;1;0.3711;-17.2173
1.68267e+09;1;0.3711;-17.1641
1.68655e+09;1;0.3711;-17.1109
1.69044e+09;1;0.3711;-17.0579
1.69434e+09;1;0.3711;-17.005
1.69824e+09;1;0.3711;-16.9522
1.70216e+09;1;0.3711;-16.8994
1.70608e+09;1;0.3711;-16.8468
1.71002e+09;1;0.3711;-16.7942
1.71396e+09;1;0.3711;-16.7417
1.71791e+09;1;0.3711;-16.6893
