"acfrequency";"number";"r Z";"i Z"
2.12324e+09;1;4.15414;59.9634
2.12814e+09;1;4.12926;60.1565
2.13304e+09;1;4.10447;60.35
2.13796e+09;1;4.07976;60.5439
2.14289e+09;1;4.05514;60.7382
2.14783e+09;1;4.0306;60.933
2.15278e+09;1;4.00615;61.1281
2.15774e+09;1;3.98179;61.3237
2.16272e+09;1;3.95751;61.5197
2.1677e+09;1;3.93332;61.7162
2.1727e+09;1;3.90921;61.913
2.17771e+09;1;3.88519;62.1103
2.18273e+09;1;3.86126;62.308
2.18776e+09;1;3.83741;62.5061
2.1928e+09;1;3.81365;62.7046
2.19786e+09;1;3.78998;62.9036
2.20293e+09;1;3.76639;63.103
2.208e+09;1;3.74289;63.3028
2.21309e+09;1;3.71948;63.503
2.2182e+09;1;3.69615;63.7037
2.22331e+09;1;3.6729;63.9048
2.22844e+09;1;3.64975;64.1063
2.23357e+09;1;3.62668;64.3082
2.23872e+09;1;3.60369;64.5106
2.24388e+09;1;3.58079;64.7134
2.24905e+09;1;3.55798;64.9166
2.25424e+09;1;3.53526;65.1203
2.25944e+09;1;3.51262;65.3244
2.26464e+09;1;3.49006;65.5289
2.26986e+09;1;3.4676;65.7339
2.2751e+09;1;3.44522;65.9393
2.28034e+09;1;3.42292;66.1451
2.2856e+09;1;3.40071;66.3513
2.29087e+09;1;3.37859;66.558
2.29615e+09;1;3.35655;66.7652
2.30144e+09;1;3.3346;66.9727
2.30675e+09;1;3.31273;67.1807
2.31206e+09;1;3.29095;67.3892
2.31739e+09;1;3.26926;67.598
2.32274e+09;1;3.24765;67.8074
2.32809e+09;1;3.22613;68.0171
2.33346e+09;1;3.20469;68.2273
2.33884e+09;1;3.18334;68.438
2.34423e+09;1;3.16208;68.649
2.34963e+09;1;3.1409;68.8606
2.35505e+09;1;3.1198;69.0725
2.36048e+09;1;3.0988;69.285
2.36592e+09;1;3.07787;69.4978
2.37137e+09;1;3.05704;69.7111
2.37684e+09;1;3.03628;69.9249
2.38232e+09;1;3.01562;70.1391
2.38781e+09;1;2.99504;70.3537
2.39332e+09;1;2.97454;70.5688
2.39883e+09;1;2.95413;70.7844
2.40436e+09;1;2.93381;71.0004
2.40991e+09;1;2.91357;71.2168
2.41546e+09;1;2.89342;71.4337
2.42103e+09;1;2.87335;71.6511
2.42661e+09;1;2.85336;71.8689
2.4322e+09;1;2.83346;72.0871
2.43781e+09;1;2.81365;72.3058
2.44343e+09;1;2.79392;72.525
2.44906e+09;1;2.77428;72.7446
2.45471e+09;1;2.75472;72.9647
2.46037e+09;1;2.73525;73.1853
2.46604e+09;1;2.71586;73.4063
2.47172e+09;1;2.69655;73.6277
2.47742e+09;1;2.67733;73.8496
2.48313e+09;1;2.6582;74.072
2.48886e+09;1;2.63915;74.2949
2.49459e+09;1;2.62018;74.5182
2.50035e+09;1;2.6013;74.7419
2.50611e+09;1;2.58251;74.9662
2.51189e+09;1;2.56379;75.1909
2.51768e+09;1;2.54517;75.416
2.52348e+09;1;2.52662;75.6417
2.5293e+09;1;2.50816;75.8678
2.53513e+09;1;2.48979;76.0943
2.54097e+09;1;2.4715;76.3214
2.54683e+09;1;2.45329;76.5489
2.5527e+09;1;2.43517;76.7769
2.55859e+09;1;2.41713;77.0053
2.56448e+09;1;2.39917;77.2342
2.5704e+09;1;2.3813;77.4636
2.57632e+09;1;2.36352;77.6935
2.58226e+09;1;2.34581;77.9239
2.58821e+09;1;2.32819;78.1547
2.59418e+09;1;2.31066;78.386
2.60016e+09;1;2.2932;78.6178
2.60615e+09;1;2.27583;78.85
2.61216e+09;1;2.25855;79.0828
2.61818e+09;1;2.24135;79.316
2.62422e+09;1;2.22423;79.5497
2.63027e+09;1;2.20719;79.7838
2.63633e+09;1;2.19024;80.0185
2.64241e+09;1;2.17337;80.2537
2.6485e+09;1;2.15658;80.4893
2.65461e+09;1;2.13988;80.7254
2.66073e+09;1;2.12326;80.962
2.66686e+09;1;2.10672;81.1991
2.67301e+09;1;2.09027;81.4367
2.67917e+09;1;2.0739;81.6748
2.68534e+09;1;2.05761;81.9133
2.69153e+09;1;2.0414;82.1524
2.69774e+09;1;2.02528;82.3919
2.70396e+09;1;2.00923;82.632
2.71019e+09;1;1.99328;82.8725
2.71644e+09;1;1.9774;83.1135
2.7227e+09;1;1.9616;83.355
2.72898e+09;1;1.94589;83.5971
2.73527e+09;1;1.93026;83.8396
2.74157e+09;1;1.91471;84.0826
2.74789e+09;1;1.89925;84.3261
2.75423e+09;1;1.88386;84.5701
2.76058e+09;1;1.86856;84.8147
2.76694e+09;1;1.85334;85.0597
2.77332e+09;1;1.8382;85.3052
2.77971e+09;1;1.82315;85.5512
2.78612e+09;1;1.80817;85.7978
2.79254e+09;1;1.79328;86.0448
2.79898e+09;1;1.77847;86.2924
2.80543e+09;1;1.76374;86.5404
2.8119e+09;1;1.74909;86.789
2.81838e+09;1;1.73452;87.0381
2.82488e+09;1;1.72003;87.2877
2.83139e+09;1;1.70563;87.5378
2.83792e+09;1;1.6913;87.7884
2.84446e+09;1;1.67706;88.0395
2.85102e+09;1;1.66289;88.2912
2.85759e+09;1;1.64881;88.5433
2.86418e+09;1;1.63481;88.796
2.87078e+09;1;1.62089;89.0492
2.8774e+09;1;1.60705;89.3029
2.88403e+09;1;1.59329;89.5572
2.89068e+09;1;1.57961;89.8119
2.89734e+09;1;1.56601;90.0672
2.90402e+09;1;1.5525;90.323
2.91072e+09;1;1.53906;90.5793
2.91743e+09;1;1.5257;90.8362
2.92415e+09;1;1.51242;91.0936
2.93089e+09;1;1.49923;91.3515
2.93765e+09;1;1.48611;91.6099
2.94442e+09;1;1.47307;91.8689
2.95121e+09;1;1.46012;92.1284
2.95801e+09;1;1.44724;92.3884
2.96483e+09;1;1.43444;92.649
2.97167e+09;1;1.42172;92.9101
2.97852e+09;1;1.40908;93.1717
2.98538e+09;1;1.39652;93.4339
2.99226e+09;1;1.38404;93.6966
2.99916e+09;1;1.37164;93.9599
3.00608e+09;1;1.35932;94.2237
3.01301e+09;1;1.34708;94.488
3.01995e+09;1;1.33492;94.7529
3.02691e+09;1;1.32284;95.0183
3.03389e+09;1;1.31083;95.2842
3.04089e+09;1;1.29891;95.5507
3.04789e+09;1;1.28706;95.8178
3.05492e+09;1;1.27529;96.0854
3.06196e+09;1;1.2636;96.3535
3.06902e+09;1;1.25199;96.6222
3.0761e+09;1;1.24046;96.8915
3.08319e+09;1;1.22901;97.1613
3.0903e+09;1;1.21763;97.4316
3.09742e+09;1;1.20634;97.7025
3.10456e+09;1;1.19512;97.974
3.11172e+09;1;1.18398;98.246
3.11889e+09;1;1.17292;98.5186
3.12608e+09;1;1.16193;98.7917
3.13329e+09;1;1.15103;99.0654
3.14051e+09;1;1.1402;99.3397
3.14775e+09;1;1.12945;99.6145
3.155e+09;1;1.11878;99.8899
3.16228e+09;1;1.10819;100.166
3.16957e+09;1;1.09767;100.442
3.17687e+09;1;1.08723;100.719
3.1842e+09;1;1.07687;100.997
3.19154e+09;1;1.06659;101.275
3.1989e+09;1;1.05638;101.554
3.20627e+09;1;1.04626;101.833
3.21366e+09;1;1.03621;102.113
3.22107e+09;1;1.02623;102.394
3.22849e+09;1;1.01634;102.675
3.23594e+09;1;1.00652;102.957
3.2434e+09;1;0.996774;103.239
3.25087e+09;1;0.987109;103.522
3.25837e+09;1;0.97752;103.805
3.26588e+09;1;0.968009;104.089
3.27341e+09;1;0.958574;104.374
3.28095e+09;1;0.949217;104.659
3.28852e+09;1;0.939936;104.944
3.2961e+09;1;0.930731;105.231
3.3037e+09;1;0.921603;105.518
3.31131e+09;1;0.912552;105.805
3.31894e+09;1;0.903577;106.093
3.3266e+09;1;0.894678;106.382
3.33426e+09;1;0.885856;106.671
3.34195e+09;1;0.87711;106.961
3.34965e+09;1;0.868441;107.252
3.35738e+09;1;0.859847;107.543
3.36512e+09;1;0.85133;107.834
3.37287e+09;1;0.842888;108.127
3.38065e+09;1;0.834523;108.419
3.38844e+09;1;0.826233;108.713
3.39625e+09;1;0.818019;109.007
3.40408e+09;1;0.809881;109.302
3.41193e+09;1;0.801819;109.597
3.41979e+09;1;0.793832;109.893
3.42768e+09;1;0.785922;110.189
3.43558e+09;1;0.778086;110.486
3.4435e+09;1;0.770326;110.784
3.45144e+09;1;0.762642;111.082
3.45939e+09;1;0.755033;111.381
3.46737e+09;1;0.747499;111.681
3.47536e+09;1;0.740041;111.981
3.48337e+09;1;0.732658;112.282
3.4914e+09;1;0.72535;112.583
3.49945e+09;1;0.718117;112.885
3.50752e+09;1;0.710959;113.188
3.5156e+09;1;0.703876;113.491
3.52371e+09;1;0.696869;113.795
3.53183e+09;1;0.689936;114.099
3.53997e+09;1;0.683078;114.405
3.54813e+09;1;0.676295;114.71
3.55631e+09;1;0.669586;115.017
3.56451e+09;1;0.662953;115.324
3.57273e+09;1;0.656394;115.631
3.58096e+09;1;0.649909;115.94
3.58922e+09;1;0.6435;116.249
3.59749e+09;1;0.637164;116.558
3.60579e+09;1;0.630903;116.868
3.6141e+09;1;0.624717;117.179
3.62243e+09;1;0.618605;117.491
3.63078e+09;1;0.612567;117.803
3.63915e+09;1;0.606604;118.116
3.64754e+09;1;0.600715;118.429
3.65595e+09;1;0.5949;118.743
3.66438e+09;1;0.589159;119.058
3.67282e+09;1;0.583493;119.373
3.68129e+09;1;0.5779;119.689
3.68978e+09;1;0.572381;120.006
3.69828e+09;1;0.566937;120.323
3.70681e+09;1;0.561566;120.641
3.71535e+09;1;0.556269;120.96
3.72392e+09;1;0.551047;121.279
3.7325e+09;1;0.545897;121.599
3.74111e+09;1;0.540822;121.92
3.74973e+09;1;0.535821;122.241
3.75837e+09;1;0.530893;122.563
3.76704e+09;1;0.526039;122.885
3.77572e+09;1;0.521258;123.209
3.78443e+09;1;0.516551;123.533
3.79315e+09;1;0.511918;123.857
3.80189e+09;1;0.507358;124.183
3.81066e+09;1;0.502871;124.508
3.81944e+09;1;0.498458;124.835
3.82825e+09;1;0.494119;125.162
3.83707e+09;1;0.489853;125.49
3.84592e+09;1;0.48566;125.819
3.85478e+09;1;0.48154;126.148
3.86367e+09;1;0.477494;126.478
3.87258e+09;1;0.473521;126.809
3.8815e+09;1;0.469621;127.14
3.89045e+09;1;0.465794;127.472
3.89942e+09;1;0.462041;127.805
3.90841e+09;1;0.45836;128.139
3.91742e+09;1;0.454753;128.473
3.92645e+09;1;0.451219;128.808
3.9355e+09;1;0.447758;129.143
3.94457e+09;1;0.444369;129.479
