"acfrequency";"number";"r Z";"i Z"
3.95367e+09;1;0.441054;129.816
3.96278e+09;1;0.437812;130.154
3.97192e+09;1;0.434643;130.492
3.98107e+09;1;0.431546;130.831
3.99025e+09;1;0.428523;131.171
3.99945e+09;1;0.425572;131.511
4.00867e+09;1;0.422694;131.853
4.01791e+09;1;0.419889;132.194
4.02717e+09;1;0.417156;132.537
4.03645e+09;1;0.414497;132.88
4.04576e+09;1;0.41191;133.224
4.05509e+09;1;0.409396;133.569
4.06443e+09;1;0.406955;133.914
4.0738e+09;1;0.404586;134.26
4.08319e+09;1;0.40229;134.607
4.09261e+09;1;0.400066;134.955
4.10204e+09;1;0.397916;135.303
4.1115e+09;1;0.395837;135.652
4.12098e+09;1;0.393832;136.002
4.13048e+09;1;0.391899;136.352
4.14e+09;1;0.390038;136.703
4.14954e+09;1;0.38825;137.055
4.15911e+09;1;0.386535;137.408
4.16869e+09;1;0.384892;137.761
4.1783e+09;1;0.383321;138.115
4.18794e+09;1;0.381823;138.47
4.19759e+09;1;0.380398;138.826
4.20727e+09;1;0.379045;139.182
4.21697e+09;1;0.377764;139.539
4.22669e+09;1;0.376556;139.897
4.23643e+09;1;0.37542;140.256
4.2462e+09;1;0.374357;140.615
4.25598e+09;1;0.373366;140.975
4.2658e+09;1;0.372448;141.336
4.27563e+09;1;0.371602;141.697
4.28549e+09;1;0.370828;142.06
4.29536e+09;1;0.370127;142.423
4.30527e+09;1;0.369498;142.787
4.31519e+09;1;0.368941;143.151
4.32514e+09;1;0.368457;143.517
4.33511e+09;1;0.368045;143.883
4.3451e+09;1;0.367706;144.25
4.35512e+09;1;0.367438;144.617
4.36516e+09;1;0.367244;144.986
4.37522e+09;1;0.367121;145.355
4.38531e+09;1;0.367071;145.725
4.39542e+09;1;0.367093;146.096
4.40555e+09;1;0.367188;146.467
4.4157e+09;1;0.367355;146.839
4.42588e+09;1;0.367594;147.212
4.43609e+09;1;0.367906;147.586
4.44631e+09;1;0.36829;147.961
4.45656e+09;1;0.368746;148.336
4.46684e+09;1;0.369275;148.712
4.47713e+09;1;0.369876;149.089
4.48745e+09;1;0.37055;149.467
4.4978e+09;1;0.371296;149.846
4.50817e+09;1;0.372114;150.225
4.51856e+09;1;0.373005;150.605
4.52898e+09;1;0.373968;150.986
4.53942e+09;1;0.375003;151.368
4.54988e+09;1;0.376111;151.75
4.56037e+09;1;0.377291;152.134
4.57088e+09;1;0.378544;152.518
4.58142e+09;1;0.379869;152.903
4.59198e+09;1;0.381267;153.288
4.60257e+09;1;0.382737;153.675
4.61318e+09;1;0.38428;154.062
4.62381e+09;1;0.385895;154.45
4.63447e+09;1;0.387582;154.839
4.64515e+09;1;0.389342;155.229
4.65586e+09;1;0.391175;155.62
4.66659e+09;1;0.39308;156.011
4.67735e+09;1;0.395058;156.404
4.68813e+09;1;0.397108;156.797
4.69894e+09;1;0.399231;157.191
4.70977e+09;1;0.401427;157.585
4.72063e+09;1;0.403695;157.981
4.73151e+09;1;0.406036;158.377
4.74242e+09;1;0.408449;158.774
4.75335e+09;1;0.410935;159.173
4.76431e+09;1;0.413494;159.571
4.77529e+09;1;0.416126;159.971
4.7863e+09;1;0.41883;160.372
4.79733e+09;1;0.421607;160.773
4.80839e+09;1;0.424457;161.175
4.81948e+09;1;0.42738;161.578
4.83059e+09;1;0.430375;161.982
4.84172e+09;1;0.433444;162.387
4.85289e+09;1;0.436585;162.793
4.86407e+09;1;0.439799;163.199
4.87528e+09;1;0.443086;163.607
4.88652e+09;1;0.446447;164.015
4.89779e+09;1;0.44988;164.424
4.90908e+09;1;0.453386;164.834
4.9204e+09;1;0.456965;165.245
4.93174e+09;1;0.460617;165.656
4.94311e+09;1;0.464343;166.069
4.9545e+09;1;0.468141;166.482
4.96592e+09;1;0.472013;166.897
4.97737e+09;1;0.475958;167.312
4.98884e+09;1;0.479976;167.728
5.00035e+09;1;0.484068;168.145
5.01187e+09;1;0.488232;168.562
5.02343e+09;1;0.49247;168.981
5.03501e+09;1;0.496782;169.401
5.04661e+09;1;0.501166;169.821
5.05825e+09;1;0.505625;170.242
5.06991e+09;1;0.510156;170.664
5.08159e+09;1;0.514761;171.088
5.09331e+09;1;0.51944;171.512
5.10505e+09;1;0.524192;171.936
5.11682e+09;1;0.529018;172.362
