"acfrequency";"r Zin";"i Zin"
2.47742e+09;0.3711;-9.31004
2.48313e+09;0.3711;-9.26855
2.48886e+09;0.3711;-9.22712
2.49459e+09;0.3711;-9.18573
2.50035e+09;0.3711;-9.14439
2.50611e+09;0.3711;-9.1031
2.51189e+09;0.3711;-9.06186
2.51768e+09;0.3711;-9.02067
2.52348e+09;0.3711;-8.97953
2.5293e+09;0.3711;-8.93843
2.53513e+09;0.3711;-8.89738
2.54097e+09;0.3711;-8.85638
2.54683e+09;0.3711;-8.81542
2.5527e+09;0.3711;-8.77451
2.55859e+09;0.3711;-8.73365
2.56448e+09;0.3711;-8.69283
2.5704e+09;0.3711;-8.65206
2.57632e+09;0.3711;-8.61134
2.58226e+09;0.3711;-8.57066
2.58821e+09;0.3711;-8.53003
2.59418e+09;0.3711;-8.48944
2.60016e+09;0.3711;-8.4489
2.60615e+09;0.3711;-8.4084
2.61216e+09;0.3711;-8.36795
2.61818e+09;0.3711;-8.32754
2.62422e+09;0.3711;-8.28717
2.63027e+09;0.3711;-8.24685
2.63633e+09;0.3711;-8.20657
2.64241e+09;0.3711;-8.16634
2.6485e+09;0.3711;-8.12615
2.65461e+09;0.3711;-8.086
2.66073e+09;0.3711;-8.0459
2.66686e+09;0.3711;-8.00584
2.67301e+09;0.3711;-7.96582
2.67917e+09;0.3711;-7.92584
2.68534e+09;0.3711;-7.8859
2.69153e+09;0.3711;-7.84601
2.69774e+09;0.3711;-7.80616
2.70396e+09;0.3711;-7.76635
2.71019e+09;0.3711;-7.72658
2.71644e+09;0.3711;-7.68685
2.7227e+09;0.3711;-7.64716
2.72898e+09;0.3711;-7.60752
2.73527e+09;0.3711;-7.56791
2.74157e+09;0.3711;-7.52834
2.74789e+09;0.3711;-7.48882
2.75423e+09;0.3711;-7.44933
2.76058e+09;0.3711;-7.40988
2.76694e+09;0.3711;-7.37048
2.77332e+09;0.3711;-7.33111
2.77971e+09;0.3711;-7.29178
2.78612e+09;0.3711;-7.25248
2.79254e+09;0.3711;-7.21323
2.79898e+09;0.3711;-7.17402
2.80543e+09;0.3711;-7.13484
2.8119e+09;0.3711;-7.0957
2.81838e+09;0.3711;-7.0566
2.82488e+09;0.3711;-7.01754
2.83139e+09;0.3711;-6.97851
2.83792e+09;0.3711;-6.93952
2.84446e+09;0.3711;-6.90057
2.85102e+09;0.3711;-6.86165
2.85759e+09;0.3711;-6.82277
2.86418e+09;0.3711;-6.78393
2.87078e+09;0.3711;-6.74512
2.8774e+09;0.3711;-6.70635
2.88403e+09;0.3711;-6.66761
2.89068e+09;0.3711;-6.62891
2.89734e+09;0.3711;-6.59024
2.90402e+09;0.3711;-6.55161
2.91072e+09;0.3711;-6.51302
2.91743e+09;0.3711;-6.47446
2.92415e+09;0.3711;-6.43593
2.93089e+09;0.3711;-6.39743
2.93765e+09;0.3711;-6.35898
2.94442e+09;0.3711;-6.32055
2.95121e+09;0.3711;-6.28216
2.95801e+09;0.3711;-6.2438
2.96483e+09;0.3711;-6.20547
2.97167e+09;0.3711;-6.16718
2.97852e+09;0.3711;-6.12892
2.98538e+09;0.3711;-6.09069
2.99226e+09;0.3711;-6.0525
2.99916e+09;0.3711;-6.01433
3.00608e+09;0.3711;-5.9762
3.01301e+09;0.3711;-5.9381
3.01995e+09;0.3711;-5.90004
3.02691e+09;0.3711;-5.862
3.03389e+09;0.3711;-5.82399
3.04089e+09;0.3711;-5.78602
3.04789e+09;0.3711;-5.74807
3.05492e+09;0.3711;-5.71016
3.06196e+09;0.3711;-5.67228
3.06902e+09;0.3711;-5.63442
3.0761e+09;0.3711;-5.5966
3.08319e+09;0.3711;-5.55881
3.0903e+09;0.3711;-5.52104
3.09742e+09;0.3711;-5.48331
3.10456e+09;0.3711;-5.4456
3.11172e+09;0.3711;-5.40792
3.11889e+09;0.3711;-5.37027
3.12608e+09;0.3711;-5.33265
3.13329e+09;0.3711;-5.29506
3.14051e+09;0.3711;-5.2575
3.14775e+09;0.3711;-5.21996
3.155e+09;0.3711;-5.18245
3.16228e+09;0.3711;-5.14497
3.16957e+09;0.3711;-5.10752
3.17687e+09;0.3711;-5.07009
3.1842e+09;0.3711;-5.03269
3.19154e+09;0.3711;-4.99532
3.1989e+09;0.3711;-4.95798
3.20627e+09;0.3711;-4.92066
3.21366e+09;0.3711;-4.88336
3.22107e+09;0.3711;-4.84609
3.22849e+09;0.3711;-4.80885
3.23594e+09;0.3711;-4.77163
3.2434e+09;0.3711;-4.73444
3.25087e+09;0.3711;-4.69728
3.25837e+09;0.3711;-4.66013
3.26588e+09;0.3711;-4.62302
3.27341e+09;0.3711;-4.58593
3.28095e+09;0.3711;-4.54886
3.28852e+09;0.3711;-4.51181
3.2961e+09;0.3711;-4.47479
3.3037e+09;0.3711;-4.4378
3.31131e+09;0.3711;-4.40083
3.31894e+09;0.3711;-4.36388
3.3266e+09;0.3711;-4.32695
3.33426e+09;0.3711;-4.29005
3.34195e+09;0.3711;-4.25317
3.34965e+09;0.3711;-4.21631
3.35738e+09;0.3711;-4.17947
3.36512e+09;0.3711;-4.14266
3.37287e+09;0.3711;-4.10587
3.38065e+09;0.3711;-4.0691
3.38844e+09;0.3711;-4.03235
3.39625e+09;0.3711;-3.99562
3.40408e+09;0.3711;-3.95892
3.41193e+09;0.3711;-3.92223
3.41979e+09;0.3711;-3.88557
3.42768e+09;0.3711;-3.84893
3.43558e+09;0.3711;-3.8123
3.4435e+09;0.3711;-3.7757
3.45144e+09;0.3711;-3.73912
3.45939e+09;0.3711;-3.70255
3.46737e+09;0.3711;-3.66601
3.47536e+09;0.3711;-3.62949
3.48337e+09;0.3711;-3.59298
3.4914e+09;0.3711;-3.5565
3.49945e+09;0.3711;-3.52003
3.50752e+09;0.3711;-3.48358
3.5156e+09;0.3711;-3.44715
3.52371e+09;0.3711;-3.41074
3.53183e+09;0.3711;-3.37435
3.53997e+09;0.3711;-3.33798
3.54813e+09;0.3711;-3.30162
3.55631e+09;0.3711;-3.26528
3.56451e+09;0.3711;-3.22896
3.57273e+09;0.3711;-3.19265
3.58096e+09;0.3711;-3.15636
3.58922e+09;0.3711;-3.12009
3.59749e+09;0.3711;-3.08383
3.60579e+09;0.3711;-3.04759
3.6141e+09;0.3711;-3.01137
3.62243e+09;0.3711;-2.97517
3.63078e+09;0.3711;-2.93897
3.63915e+09;0.3711;-2.9028
3.64754e+09;0.3711;-2.86664
3.65595e+09;0.3711;-2.83049
3.66438e+09;0.3711;-2.79436
3.67282e+09;0.3711;-2.75825
3.68129e+09;0.3711;-2.72215
3.68978e+09;0.3711;-2.68606
3.69828e+09;0.3711;-2.64999
3.70681e+09;0.3711;-2.61393
3.71535e+09;0.3711;-2.57789
3.72392e+09;0.3711;-2.54186
3.7325e+09;0.3711;-2.50584
3.74111e+09;0.3711;-2.46984
3.74973e+09;0.3711;-2.43385
3.75837e+09;0.3711;-2.39787
3.76704e+09;0.3711;-2.36191
3.77572e+09;0.3711;-2.32595
3.78443e+09;0.3711;-2.29001
3.79315e+09;0.3711;-2.25409
3.80189e+09;0.3711;-2.21817
3.81066e+09;0.3711;-2.18227
3.81944e+09;0.3711;-2.14637
3.82825e+09;0.3711;-2.11049
3.83707e+09;0.3711;-2.07462
3.84592e+09;0.3711;-2.03876
3.85478e+09;0.3711;-2.00292
3.86367e+09;0.3711;-1.96708
3.87258e+09;0.3711;-1.93125
3.8815e+09;0.3711;-1.89544
3.89045e+09;0.3711;-1.85963
3.89942e+09;0.3711;-1.82383
3.90841e+09;0.3711;-1.78804
3.91742e+09;0.3711;-1.75227
