"acfrequency";"r Pin1";"i Pin1"
1e+08;0.0298806;1.54272e-05
1.198e+08;0.0300088;3.23532e-06
1.396e+08;0.0301602;-1.73936e-05
1.594e+08;0.0303347;-4.80162e-05
1.792e+08;0.0305321;-9.02632e-05
1.99e+08;0.0307524;-0.000145849
2.188e+08;0.0309954;-0.000216583
2.386e+08;0.0312609;-0.000304375
2.584e+08;0.0315486;-0.000411248
2.782e+08;0.031858;-0.000539341
2.98e+08;0.0321886;-0.000690919
3.178e+08;0.0325396;-0.000868371
3.376e+08;0.0329103;-0.00107421
3.574e+08;0.0332993;-0.00131108
3.772e+08;0.0337054;-0.00158173
3.97e+08;0.034127;-0.00188901
4.168e+08;0.0345618;-0.00223587
4.366e+08;0.0350077;-0.00262528
4.564e+08;0.0354616;-0.00306024
4.762e+08;0.0359204;-0.00354371
4.96e+08;0.0363802;-0.00407854
5.158e+08;0.0368366;-0.00466742
5.356e+08;0.0372845;-0.00531275
5.554e+08;0.0377186;-0.00601656
5.752e+08;0.0381325;-0.0067804
5.95e+08;0.0385196;-0.00760517
6.148e+08;0.0388725;-0.00849101
6.346e+08;0.0391835;-0.00943714
6.544e+08;0.0394446;-0.0104417
6.742e+08;0.0396474;-0.0115018
6.94e+08;0.0397838;-0.012613
7.138e+08;0.0398458;-0.0137696
7.336e+08;0.039826;-0.0149647
7.534e+08;0.0397175;-0.0161898
7.732e+08;0.0395149;-0.0174351
7.93e+08;0.039214;-0.01869
8.128e+08;0.0388119;-0.0199427
8.326e+08;0.0383079;-0.0211812
8.524e+08;0.0377032;-0.0223928
8.722e+08;0.0370006;-0.0235655
8.92e+08;0.0362053;-0.0246874
9.118e+08;0.0353239;-0.0257479
9.316e+08;0.0343648;-0.0267373
9.514e+08;0.0333376;-0.0276477
9.712e+08;0.0322528;-0.0284728
9.91e+08;0.0311217;-0.0292081
1.0108e+09;0.0299555;-0.0298509
1.0306e+09;0.0287655;-0.0304003
1.0504e+09;0.0275625;-0.0308572
1.0702e+09;0.0263567;-0.0312235
1.09e+09;0.0251573;-0.031503
1.1098e+09;0.0239726;-0.0316998
1.1296e+09;0.0228097;-0.0318193
1.1494e+09;0.0216748;-0.0318672
1.1692e+09;0.0205727;-0.0318496
1.189e+09;0.0195074;-0.0317726
1.2088e+09;0.0184818;-0.0316424
1.2286e+09;0.017498;-0.0314651
1.2484e+09;0.0165573;-0.0312464
1.2682e+09;0.0156604;-0.0309919
1.288e+09;0.0148073;-0.0307066
1.3078e+09;0.0139976;-0.0303953
1.3276e+09;0.0132304;-0.0300623
1.3474e+09;0.0125048;-0.0297115
1.3672e+09;0.0118194;-0.0293465
1.387e+09;0.0111727;-0.0289703
1.4068e+09;0.0105631;-0.0285858
1.4266e+09;0.00998889;-0.0281954
1.4464e+09;0.00944835;-0.0278013
1.4662e+09;0.00893974;-0.0274053
1.486e+09;0.00846136;-0.027009
1.5058e+09;0.00801151;-0.0266138
1.5256e+09;0.00758856;-0.026221
1.5454e+09;0.00719093;-0.0258314
1.5652e+09;0.00681708;-0.0254459
1.585e+09;0.00646557;-0.0250653
1.6048e+09;0.00613501;-0.02469
1.6246e+09;0.0058241;-0.0243206
1.6444e+09;0.0055316;-0.0239574
1.6642e+09;0.00525634;-0.0236007
1.684e+09;0.00499723;-0.0232507
1.7038e+09;0.00475322;-0.0229076
1.7236e+09;0.00452337;-0.0225714
1.7434e+09;0.00430675;-0.0222423
1.7632e+09;0.00410253;-0.0219202
1.783e+09;0.00390992;-0.0216051
1.8028e+09;0.00372816;-0.021297
1.8226e+09;0.00355659;-0.0209958
1.8424e+09;0.00339454;-0.0207014
1.8622e+09;0.00324143;-0.0204138
1.882e+09;0.00309668;-0.0201328
1.9018e+09;0.00295978;-0.0198583
1.9216e+09;0.00283024;-0.0195902
1.9414e+09;0.00270761;-0.0193283
1.9612e+09;0.00259146;-0.0190725
1.981e+09;0.00248139;-0.0188227
2.0008e+09;0.00237704;-0.0185786
2.0206e+09;0.00227807;-0.0183403
2.0404e+09;0.00218415;-0.0181075
2.0602e+09;0.00209498;-0.01788
2.08e+09;0.00201028;-0.0176578
2.0998e+09;0.00192979;-0.0174407
2.1196e+09;0.00185327;-0.0172285
2.1394e+09;0.00178048;-0.0170211
2.1592e+09;0.00171122;-0.0168184
2.179e+09;0.00164528;-0.0166203
2.1988e+09;0.00158248;-0.0164266
2.2186e+09;0.00152264;-0.0162372
2.2384e+09;0.0014656;-0.016052
2.2582e+09;0.0014112;-0.0158708
2.278e+09;0.00135929;-0.0156935
2.2978e+09;0.00130976;-0.0155201
2.3176e+09;0.00126245;-0.0153504
2.3374e+09;0.00121726;-0.0151843
2.3572e+09;0.00117408;-0.0150217
2.377e+09;0.0011328;-0.0148625
2.3968e+09;0.00109332;-0.0147066
2.4166e+09;0.00105555;-0.0145539
2.4364e+09;0.00101939;-0.0144044
2.4562e+09;0.000984778;-0.0142579
2.476e+09;0.000951622;-0.0141143
2.4958e+09;0.000919854;-0.0139736
2.5156e+09;0.000889404;-0.0138357
2.5354e+09;0.000860207;-0.0137005
2.5552e+09;0.000832203;-0.0135679
2.575e+09;0.000805332;-0.0134379
2.5948e+09;0.000779541;-0.0133104
2.6146e+09;0.000754777;-0.0131853
2.6344e+09;0.000730993;-0.0130625
2.6542e+09;0.000708142;-0.0129421
2.674e+09;0.00068618;-0.0128239
2.6938e+09;0.000665067;-0.0127078
2.7136e+09;0.000644763;-0.0125939
2.7334e+09;0.000625231;-0.0124821
2.7532e+09;0.000606436;-0.0123722
2.773e+09;0.000588345;-0.0122643
2.7928e+09;0.000570927;-0.0121583
2.8126e+09;0.000554151;-0.0120542
2.8324e+09;0.00053799;-0.0119519
