"acfrequency";"T";"r Pin";"i Pin"
2.8324e+09;-55;0.00138457;0.143408
2.8522e+09;-55;0.00143257;0.145872
2.872e+09;-55;0.00148261;0.148398
2.8918e+09;-55;0.0015348;0.150987
2.9116e+09;-55;0.00158926;0.153642
2.9314e+09;-55;0.00164612;0.156366
2.9512e+09;-55;0.00170551;0.159161
2.971e+09;-55;0.00176758;0.162031
2.9908e+09;-55;0.00183249;0.164979
3.0106e+09;-55;0.00190041;0.168009
3.0304e+09;-55;0.00197152;0.171122
3.0502e+09;-55;0.00204601;0.174325
3.07e+09;-55;0.0021241;0.17762
3.0898e+09;-55;0.00220602;0.181012
3.1096e+09;-55;0.002292;0.184506
3.1294e+09;-55;0.00238232;0.188105
3.1492e+09;-55;0.00247727;0.191816
3.169e+09;-55;0.00257714;0.195644
3.1888e+09;-55;0.00268229;0.199595
3.2086e+09;-55;0.00279307;0.203674
3.2284e+09;-55;0.00290988;0.207889
3.2482e+09;-55;0.00303317;0.212246
3.268e+09;-55;0.00316339;0.216753
3.2878e+09;-55;0.00330108;0.221419
3.3076e+09;-55;0.00344678;0.226252
3.3274e+09;-55;0.00360112;0.231261
3.3472e+09;-55;0.00376479;0.236456
3.367e+09;-55;0.00393852;0.241849
3.3868e+09;-55;0.00412314;0.247451
3.4066e+09;-55;0.00431955;0.253275
3.4264e+09;-55;0.00452876;0.259334
3.4462e+09;-55;0.00475188;0.265643
3.466e+09;-55;0.00499013;0.272219
3.4858e+09;-55;0.0052449;0.279079
3.5056e+09;-55;0.0055177;0.286243
3.5254e+09;-55;0.00581025;0.29373
3.5452e+09;-55;0.00612445;0.301564
3.565e+09;-55;0.00646245;0.30977
3.5848e+09;-55;0.00682668;0.318376
3.6046e+09;-55;0.00721985;0.327412
3.6244e+09;-55;0.00764507;0.336911
3.6442e+09;-55;0.00810585;0.34691
3.664e+09;-55;0.00860619;0.35745
3.6838e+09;-55;0.00915068;0.368577
3.7036e+09;-55;0.00974457;0.380342
3.7234e+09;-55;0.0103939;0.392802
3.7432e+09;-55;0.0111058;0.40602
3.763e+09;-55;0.0118882;0.420069
3.7828e+09;-55;0.0127509;0.43503
3.8026e+09;-55;0.0137048;0.450995
3.8224e+09;-55;0.0147632;0.468069
3.8422e+09;-55;0.0159417;0.486374
3.862e+09;-55;0.017259;0.506047
3.8818e+09;-55;0.0187373;0.527248
3.9016e+09;-55;0.0204037;0.550164
3.9214e+09;-55;0.0222912;0.575011
3.9412e+09;-55;0.0244401;0.602046
3.961e+09;-55;0.0269005;0.631571
3.9808e+09;-55;0.0297348;0.663947
4.0006e+09;-55;0.033022;0.699607
4.0204e+09;-55;0.036863;0.73908
4.0402e+09;-55;0.0413881;0.783011
4.06e+09;-55;0.0467682;0.832197
4.0798e+09;-55;0.0532309;0.887643
4.0996e+09;-55;0.0610844;0.950618
4.1194e+09;-55;0.0707544;1.02276
4.1392e+09;-55;0.0828417;1.10623
4.159e+09;-55;0.0982165;1.20389
4.1788e+09;-55;0.118176;1.31967
4.1986e+09;-55;0.144723;1.45908
4.2184e+09;-55;0.181077;1.63006
4.2382e+09;-55;0.232672;1.8445
4.258e+09;-55;0.30926;2.12095
4.2778e+09;-55;0.429722;2.48975
4.2976e+09;-55;0.634373;3.00352
4.3174e+09;-55;1.0213;3.75876
4.3372e+09;-55;1.87508;4.93339
4.357e+09;-55;4.22376;6.70102
4.3768e+09;-55;11.4362;6.2528
4.3966e+09;-55;11.995;-5.85707
4.4164e+09;-55;4.49273;-6.8231
4.4362e+09;-55;1.98739;-5.05696
4.456e+09;-55;1.0831;-3.86217
4.4758e+09;-55;0.675194;-3.0942
4.4956e+09;-55;0.459827;-2.57279
4.5154e+09;-55;0.333049;-2.19921
4.5352e+09;-55;0.252345;-1.91961
4.555e+09;-55;0.197869;-1.70299
4.5748e+09;-55;0.159387;-1.53045
4.5946e+09;-55;0.131204;-1.3899
4.6144e+09;-55;0.109946;-1.27325
4.6342e+09;-55;0.0935152;-1.17491
4.654e+09;-55;0.0805512;-1.09092
4.6738e+09;-55;0.0701413;-1.01834
4.6936e+09;-55;0.0616544;-0.955025
4.7134e+09;-55;0.0546432;-0.899298
4.7332e+09;-55;0.0487831;-0.849878
4.753e+09;-55;0.0438344;-0.805753
4.7728e+09;-55;0.0396167;-0.766117
4.7926e+09;-55;0.035992;-0.730318
4.8124e+09;-55;0.0328537;-0.697826
4.8322e+09;-55;0.0301179;-0.668202
4.852e+09;-55;0.0277183;-0.641082
4.8718e+09;-55;0.0256017;-0.616163
4.8916e+09;-55;0.0237249;-0.593186
4.9114e+09;-55;0.0220528;-0.571933
4.9312e+09;-55;0.0205565;-0.552216
4.951e+09;-55;0.0192119;-0.533875
4.9708e+09;-55;0.017999;-0.51677
4.9906e+09;-55;0.0169011;-0.500779
5.0104e+09;-55;0.015904;-0.485798
5.0302e+09;-55;0.0149955;-0.471734
5.05e+09;-55;0.0141654;-0.458504
5.0698e+09;-55;0.0134048;-0.446036
5.0896e+09;-55;0.0127061;-0.434266
5.1094e+09;-55;0.0120626;-0.423136
5.1292e+09;-55;0.0114687;-0.412597
5.149e+09;-55;0.0109193;-0.402601
5.1688e+09;-55;0.0104101;-0.393107
5.1886e+09;-55;0.00993714;-0.384079
5.2084e+09;-55;0.00949703;-0.375483
5.2282e+09;-55;0.00908678;-0.367289
5.248e+09;-55;0.0087037;-0.359468
5.2678e+09;-55;0.00834542;-0.351996
5.2876e+09;-55;0.00800982;-0.34485
5.3074e+09;-55;0.00769499;-0.338008
5.3272e+09;-55;0.00739923;-0.331452
5.347e+09;-55;0.00712101;-0.325164
5.3668e+09;-55;0.00685896;-0.319128
5.3866e+09;-55;0.00661181;-0.313328
5.4064e+09;-55;0.00637846;-0.307752
5.4262e+09;-55;0.00615786;-0.302385
5.446e+09;-55;0.0059491;-0.297218
5.4658e+09;-55;0.00575133;-0.292238
5.4856e+09;-55;0.00556378;-0.287435
5.5054e+09;-55;0.00538575;-0.2828
5.5252e+09;-55;0.00521659;-0.278325
5.545e+09;-55;0.0050557;-0.274001
5.5648e+09;-55;0.00490256;-0.269821
5.5846e+09;-55;0.00475667;-0.265777
5.6044e+09;-55;0.00461755;-0.261863
