"acfrequency";"r Ganho";"i Ganho"
1.45546e+06;1;-0.00143099
1.45881e+06;1;-0.00143429
1.46218e+06;1;-0.0014376
1.46555e+06;1;-0.00144091
1.46893e+06;1;-0.00144423
1.47231e+06;1;-0.00144756
1.47571e+06;1;-0.0014509
1.47911e+06;1;-0.00145425
1.48252e+06;1;-0.0014576
1.48594e+06;1;-0.00146096
1.48936e+06;1;-0.00146433
1.49279e+06;1;-0.0014677
1.49624e+06;1;-0.00147108
1.49968e+06;1;-0.00147448
1.50314e+06;1;-0.00147788
1.50661e+06;1;-0.00148128
1.51008e+06;1;-0.0014847
1.51356e+06;1;-0.00148812
1.51705e+06;1;-0.00149155
1.52055e+06;1;-0.00149499
1.52405e+06;1;-0.00149843
1.52757e+06;1;-0.00150189
1.53109e+06;1;-0.00150535
1.53462e+06;1;-0.00150882
1.53815e+06;1;-0.0015123
1.5417e+06;1;-0.00151579
1.54525e+06;1;-0.00151928
1.54882e+06;1;-0.00152278
1.55239e+06;1;-0.00152629
1.55597e+06;1;-0.00152981
1.55955e+06;1;-0.00153334
1.56315e+06;1;-0.00153687
1.56675e+06;1;-0.00154042
1.57036e+06;1;-0.00154397
1.57398e+06;1;-0.00154753
1.57761e+06;1;-0.00155109
1.58125e+06;1;-0.00155467
1.58489e+06;1;-0.00155825
1.58855e+06;1;-0.00156184
1.59221e+06;1;-0.00156545
1.59588e+06;1;-0.00156905
1.59956e+06;1;-0.00157267
1.60325e+06;1;-0.0015763
1.60694e+06;1;-0.00157993
1.61065e+06;1;-0.00158357
1.61436e+06;1;-0.00158722
1.61808e+06;1;-0.00159088
1.62181e+06;1;-0.00159455
1.62555e+06;1;-0.00159822
1.6293e+06;1;-0.00160191
1.63305e+06;1;-0.0016056
1.63682e+06;1;-0.0016093
1.64059e+06;1;-0.00161301
1.64437e+06;1;-0.00161673
1.64816e+06;1;-0.00162046
1.65196e+06;1;-0.00162419
1.65577e+06;1;-0.00162794
1.65959e+06;1;-0.00163169
1.66341e+06;1;-0.00163545
1.66725e+06;1;-0.00163922
1.67109e+06;1;-0.001643
1.67494e+06;1;-0.00164679
1.6788e+06;1;-0.00165059
1.68267e+06;1;-0.00165439
1.68655e+06;1;-0.0016582
1.69044e+06;1;-0.00166203
1.69434e+06;1;-0.00166586
1.69824e+06;1;-0.0016697
1.70216e+06;1;-0.00167355
1.70608e+06;1;-0.00167741
1.71002e+06;1;-0.00168127
1.71396e+06;1;-0.00168515
1.71791e+06;1;-0.00168903
1.72187e+06;1;-0.00169293
1.72584e+06;1;-0.00169683
1.72982e+06;1;-0.00170074
1.7338e+06;1;-0.00170466
1.7378e+06;1;-0.00170859
1.74181e+06;1;-0.00171253
1.74582e+06;1;-0.00171648
1.74985e+06;1;-0.00172043
1.75388e+06;1;-0.0017244
1.75792e+06;1;-0.00172838
1.76198e+06;1;-0.00173236
1.76604e+06;1;-0.00173635
1.77011e+06;1;-0.00174036
1.77419e+06;1;-0.00174437
1.77828e+06;1;-0.00174839
1.78238e+06;1;-0.00175242
1.78649e+06;1;-0.00175646
1.79061e+06;1;-0.00176051
1.79473e+06;1;-0.00176457
1.79887e+06;1;-0.00176863
1.80302e+06;1;-0.00177271
1.80717e+06;1;-0.0017768
1.81134e+06;1;-0.00178089
1.81552e+06;1;-0.001785
1.8197e+06;1;-0.00178911
1.8239e+06;1;-0.00179324
1.8281e+06;1;-0.00179737
1.83231e+06;1;-0.00180152
1.83654e+06;1;-0.00180567
1.84077e+06;1;-0.00180983
1.84502e+06;1;-0.001814
1.84927e+06;1;-0.00181819
1.85353e+06;1;-0.00182238
1.8578e+06;1;-0.00182658
1.86209e+06;1;-0.00183079
1.86638e+06;1;-0.00183501
1.87068e+06;1;-0.00183924
1.87499e+06;1;-0.00184348
1.87932e+06;1;-0.00184773
1.88365e+06;1;-0.00185199
1.88799e+06;1;-0.00185626
1.89234e+06;1;-0.00186054
1.89671e+06;1;-0.00186483
1.90108e+06;1;-0.00186912
1.90546e+06;1;-0.00187343
1.90985e+06;1;-0.00187775
1.91426e+06;1;-0.00188208
1.91867e+06;1;-0.00188642
1.92309e+06;1;-0.00189077
1.92752e+06;1;-0.00189513
1.93197e+06;1;-0.0018995
1.93642e+06;1;-0.00190387
1.94089e+06;1;-0.00190826
1.94536e+06;1;-0.00191266
1.94984e+06;1;-0.00191707
1.95434e+06;1;-0.00192149
1.95884e+06;1;-0.00192592
1.96336e+06;1;-0.00193036
1.96789e+06;1;-0.00193481
1.97242e+06;1;-0.00193927
1.97697e+06;1;-0.00194374
1.98153e+06;1;-0.00194822
1.98609e+06;1;-0.00195271
1.99067e+06;1;-0.00195721
1.99526e+06;1;-0.00196173
1.99986e+06;1;-0.00196625
2.00447e+06;1;-0.00197078
2.00909e+06;1;-0.00197532
2.01372e+06;1;-0.00197988
2.01837e+06;1;-0.00198444
2.02302e+06;1;-0.00198902
2.02768e+06;1;-0.0019936
2.03236e+06;1;-0.0019982
2.03704e+06;1;-0.0020028
2.04174e+06;1;-0.00200742
2.04644e+06;1;-0.00201205
2.05116e+06;1;-0.00201669
2.05589e+06;1;-0.00202134
2.06063e+06;1;-0.002026
2.06538e+06;1;-0.00203067
2.07014e+06;1;-0.00203535
2.07491e+06;1;-0.00204004
2.0797e+06;1;-0.00204474
2.08449e+06;1;-0.00204946
2.0893e+06;1;-0.00205418
2.09411e+06;1;-0.00205892
2.09894e+06;1;-0.00206366
2.10378e+06;1;-0.00206842
2.10863e+06;1;-0.00207319
2.11349e+06;1;-0.00207797
2.11836e+06;1;-0.00208276
2.12324e+06;1;-0.00208756
2.12814e+06;1;-0.00209237
2.13304e+06;1;-0.00209719
2.13796e+06;1;-0.00210203
2.14289e+06;1;-0.00210687
2.14783e+06;1;-0.00211173
2.15278e+06;1;-0.0021166
2.15774e+06;1;-0.00212148
2.16272e+06;1;-0.00212637
2.1677e+06;1;-0.00213127
2.1727e+06;1;-0.00213618
2.17771e+06;1;-0.00214111
2.18273e+06;1;-0.00214604
2.18776e+06;1;-0.00215099
2.1928e+06;1;-0.00215595
2.19786e+06;1;-0.00216092
2.20293e+06;1;-0.0021659
2.208e+06;1;-0.0021709
2.21309e+06;1;-0.0021759
2.2182e+06;1;-0.00218092
2.22331e+06;1;-0.00218594
2.22844e+06;1;-0.00219098
2.23357e+06;1;-0.00219603
2.23872e+06;1;-0.0022011
2.24388e+06;1;-0.00220617
2.24905e+06;1;-0.00221126
