"acfrequency";"number";"r Pin";"i Pin"
1.32434e+06;1;6.67605e-10;3.91091e-05
1.32739e+06;1;6.70225e-10;3.91993e-05
1.33045e+06;1;6.72857e-10;3.92896e-05
1.33352e+06;1;6.75502e-10;3.93802e-05
1.3366e+06;1;6.78158e-10;3.9471e-05
1.33968e+06;1;6.80827e-10;3.9562e-05
1.34276e+06;1;6.83508e-10;3.96532e-05
1.34586e+06;1;6.86201e-10;3.97446e-05
1.34896e+06;1;6.88907e-10;3.98362e-05
1.35207e+06;1;6.91625e-10;3.9928e-05
1.35519e+06;1;6.94356e-10;4.00201e-05
1.35831e+06;1;6.97099e-10;4.01123e-05
1.36144e+06;1;6.99855e-10;4.02048e-05
1.36458e+06;1;7.02624e-10;4.02975e-05
1.36773e+06;1;7.05406e-10;4.03904e-05
1.37088e+06;1;7.082e-10;4.04835e-05
1.37404e+06;1;7.11007e-10;4.05768e-05
1.37721e+06;1;7.13828e-10;4.06703e-05
1.38038e+06;1;7.16661e-10;4.07641e-05
1.38357e+06;1;7.19507e-10;4.08581e-05
1.38676e+06;1;7.22367e-10;4.09523e-05
1.38995e+06;1;7.2524e-10;4.10467e-05
1.39316e+06;1;7.28126e-10;4.11413e-05
1.39637e+06;1;7.31025e-10;4.12361e-05
1.39959e+06;1;7.33938e-10;4.13312e-05
1.40281e+06;1;7.36864e-10;4.14265e-05
1.40605e+06;1;7.39803e-10;4.1522e-05
1.40929e+06;1;7.42757e-10;4.16177e-05
1.41254e+06;1;7.45723e-10;4.17136e-05
1.41579e+06;1;7.48704e-10;4.18098e-05
1.41906e+06;1;7.51698e-10;4.19062e-05
1.42233e+06;1;7.54706e-10;4.20028e-05
1.42561e+06;1;7.57728e-10;4.20996e-05
1.42889e+06;1;7.60764e-10;4.21966e-05
1.43219e+06;1;7.63814e-10;4.22939e-05
1.43549e+06;1;7.66878e-10;4.23914e-05
1.4388e+06;1;7.69956e-10;4.24891e-05
1.44212e+06;1;7.73049e-10;4.25871e-05
1.44544e+06;1;7.76155e-10;4.26852e-05
1.44877e+06;1;7.79276e-10;4.27836e-05
1.45211e+06;1;7.82412e-10;4.28823e-05
1.45546e+06;1;7.85562e-10;4.29811e-05
1.45881e+06;1;7.88726e-10;4.30802e-05
1.46218e+06;1;7.91905e-10;4.31795e-05
1.46555e+06;1;7.95099e-10;4.32791e-05
1.46893e+06;1;7.98307e-10;4.33788e-05
1.47231e+06;1;8.0153e-10;4.34788e-05
1.47571e+06;1;8.04769e-10;4.35791e-05
1.47911e+06;1;8.08022e-10;4.36795e-05
1.48252e+06;1;8.1129e-10;4.37802e-05
1.48594e+06;1;8.14573e-10;4.38811e-05
1.48936e+06;1;8.17871e-10;4.39823e-05
1.49279e+06;1;8.21185e-10;4.40837e-05
1.49624e+06;1;8.24514e-10;4.41853e-05
1.49968e+06;1;8.27858e-10;4.42872e-05
1.50314e+06;1;8.31217e-10;4.43892e-05
1.50661e+06;1;8.34593e-10;4.44916e-05
1.51008e+06;1;8.37983e-10;4.45941e-05
1.51356e+06;1;8.4139e-10;4.46969e-05
1.51705e+06;1;8.44812e-10;4.48e-05
1.52055e+06;1;8.4825e-10;4.49033e-05
1.52405e+06;1;8.51703e-10;4.50068e-05
1.52757e+06;1;8.55173e-10;4.51105e-05
1.53109e+06;1;8.58659e-10;4.52145e-05
1.53462e+06;1;8.62161e-10;4.53187e-05
1.53815e+06;1;8.65679e-10;4.54232e-05
1.5417e+06;1;8.69213e-10;4.55279e-05
1.54525e+06;1;8.72763e-10;4.56329e-05
1.54882e+06;1;8.7633e-10;4.57381e-05
1.55239e+06;1;8.79914e-10;4.58435e-05
1.55597e+06;1;8.83514e-10;4.59492e-05
1.55955e+06;1;8.8713e-10;4.60551e-05
1.56315e+06;1;8.90763e-10;4.61613e-05
1.56675e+06;1;8.94413e-10;4.62677e-05
1.57036e+06;1;8.9808e-10;4.63743e-05
1.57398e+06;1;9.01764e-10;4.64812e-05
1.57761e+06;1;9.05465e-10;4.65884e-05
1.58125e+06;1;9.09183e-10;4.66958e-05
1.58489e+06;1;9.12918e-10;4.68034e-05
1.58855e+06;1;9.1667e-10;4.69113e-05
1.59221e+06;1;9.20439e-10;4.70195e-05
1.59588e+06;1;9.24226e-10;4.71279e-05
1.59956e+06;1;9.28031e-10;4.72365e-05
1.60325e+06;1;9.31853e-10;4.73454e-05
1.60694e+06;1;9.35693e-10;4.74545e-05
1.61065e+06;1;9.3955e-10;4.75639e-05
1.61436e+06;1;9.43425e-10;4.76736e-05
1.61808e+06;1;9.47318e-10;4.77835e-05
1.62181e+06;1;9.51229e-10;4.78936e-05
1.62555e+06;1;9.55158e-10;4.8004e-05
1.6293e+06;1;9.59106e-10;4.81147e-05
1.63305e+06;1;9.63071e-10;4.82256e-05
1.63682e+06;1;9.67055e-10;4.83368e-05
1.64059e+06;1;9.71057e-10;4.84482e-05
1.64437e+06;1;9.75078e-10;4.85599e-05
1.64816e+06;1;9.79117e-10;4.86718e-05
1.65196e+06;1;9.83175e-10;4.8784e-05
1.65577e+06;1;9.87251e-10;4.88965e-05
1.65959e+06;1;9.91346e-10;4.90092e-05
1.66341e+06;1;9.95461e-10;4.91222e-05
1.66725e+06;1;9.99594e-10;4.92354e-05
1.67109e+06;1;1.00375e-09;4.93489e-05
1.67494e+06;1;1.00792e-09;4.94627e-05
1.6788e+06;1;1.01211e-09;4.95767e-05
1.68267e+06;1;1.01632e-09;4.9691e-05
1.68655e+06;1;1.02055e-09;4.98056e-05
1.69044e+06;1;1.0248e-09;4.99204e-05
1.69434e+06;1;1.02907e-09;5.00354e-05
1.69824e+06;1;1.03335e-09;5.01508e-05
1.70216e+06;1;1.03766e-09;5.02664e-05
1.70608e+06;1;1.04199e-09;5.03823e-05
1.71002e+06;1;1.04634e-09;5.04984e-05
1.71396e+06;1;1.05071e-09;5.06148e-05
1.71791e+06;1;1.05509e-09;5.07315e-05
1.72187e+06;1;1.0595e-09;5.08485e-05
1.72584e+06;1;1.06393e-09;5.09657e-05
1.72982e+06;1;1.06838e-09;5.10832e-05
1.7338e+06;1;1.07285e-09;5.12009e-05
1.7378e+06;1;1.07734e-09;5.1319e-05
1.74181e+06;1;1.08185e-09;5.14373e-05
1.74582e+06;1;1.08639e-09;5.15558e-05
1.74985e+06;1;1.09094e-09;5.16747e-05
1.75388e+06;1;1.09551e-09;5.17938e-05
1.75792e+06;1;1.10011e-09;5.19132e-05
1.76198e+06;1;1.10472e-09;5.20329e-05
1.76604e+06;1;1.10936e-09;5.21528e-05
1.77011e+06;1;1.11402e-09;5.2273e-05
1.77419e+06;1;1.1187e-09;5.23935e-05
1.77828e+06;1;1.1234e-09;5.25143e-05
1.78238e+06;1;1.12813e-09;5.26354e-05
1.78649e+06;1;1.13287e-09;5.27567e-05
1.79061e+06;1;1.13764e-09;5.28783e-05
1.79473e+06;1;1.14243e-09;5.30002e-05
1.79887e+06;1;1.14724e-09;5.31224e-05
1.80302e+06;1;1.15207e-09;5.32449e-05
1.80717e+06;1;1.15693e-09;5.33676e-05
1.81134e+06;1;1.16181e-09;5.34906e-05
1.81552e+06;1;1.16671e-09;5.36139e-05
1.8197e+06;1;1.17163e-09;5.37375e-05
1.8239e+06;1;1.17658e-09;5.38614e-05
1.8281e+06;1;1.18155e-09;5.39856e-05
1.83231e+06;1;1.18654e-09;5.411e-05
1.83654e+06;1;1.19156e-09;5.42348e-05
1.84077e+06;1;1.1966e-09;5.43598e-05
1.84502e+06;1;1.20166e-09;5.44851e-05
1.84927e+06;1;1.20674e-09;5.46107e-05
1.85353e+06;1;1.21185e-09;5.47366e-05
