"acfrequency";"number";"r tang";"i tang"
1.50314e+09;1;0.0186637;0
1.50661e+09;1;0.0187182;0
1.51008e+09;1;0.018773;0
1.51356e+09;1;0.0188279;0
1.51705e+09;1;0.0188831;0
1.52055e+09;1;0.0189385;0
1.52405e+09;1;0.0189941;0
1.52757e+09;1;0.01905;0
1.53109e+09;1;0.0191061;0
1.53462e+09;1;0.0191624;0
1.53815e+09;1;0.0192189;0
1.5417e+09;1;0.0192757;0
1.54525e+09;1;0.0193327;0
1.54882e+09;1;0.0193899;0
1.55239e+09;1;0.0194474;0
1.55597e+09;1;0.0195051;0
1.55955e+09;1;0.0195631;0
1.56315e+09;1;0.0196213;0
1.56675e+09;1;0.0196797;0
1.57036e+09;1;0.0197384;0
1.57398e+09;1;0.0197973;0
1.57761e+09;1;0.0198565;0
1.58125e+09;1;0.0199159;0
1.58489e+09;1;0.0199756;0
1.58855e+09;1;0.0200355;0
1.59221e+09;1;0.0200957;0
1.59588e+09;1;0.0201562;0
1.59956e+09;1;0.0202168;0
1.60325e+09;1;0.0202778;0
1.60694e+09;1;0.020339;0
1.61065e+09;1;0.0204005;0
1.61436e+09;1;0.0204622;0
1.61808e+09;1;0.0205242;0
1.62181e+09;1;0.0205865;0
1.62555e+09;1;0.0206491;0
1.6293e+09;1;0.0207119;0
1.63305e+09;1;0.020775;0
1.63682e+09;1;0.0208383;0
1.64059e+09;1;0.020902;0
1.64437e+09;1;0.0209659;0
1.64816e+09;1;0.0210301;0
1.65196e+09;1;0.0210945;0
1.65577e+09;1;0.0211593;0
1.65959e+09;1;0.0212244;0
1.66341e+09;1;0.0212897;0
1.66725e+09;1;0.0213553;0
1.67109e+09;1;0.0214212;0
1.67494e+09;1;0.0214875;0
1.6788e+09;1;0.021554;0
1.68267e+09;1;0.0216208;0
1.68655e+09;1;0.0216879;0
1.69044e+09;1;0.0217553;0
1.69434e+09;1;0.021823;0
1.69824e+09;1;0.021891;0
1.70216e+09;1;0.0219593;0
1.70608e+09;1;0.022028;0
1.71002e+09;1;0.0220969;0
1.71396e+09;1;0.0221662;0
1.71791e+09;1;0.0222358;0
1.72187e+09;1;0.0223057;0
1.72584e+09;1;0.0223759;0
1.72982e+09;1;0.0224465;0
1.7338e+09;1;0.0225173;0
1.7378e+09;1;0.0225885;0
1.74181e+09;1;0.0226601;0
1.74582e+09;1;0.022732;0
1.74985e+09;1;0.0228042;0
1.75388e+09;1;0.0228767;0
1.75792e+09;1;0.0229496;0
1.76198e+09;1;0.0230228;0
1.76604e+09;1;0.0230964;0
1.77011e+09;1;0.0231703;0
1.77419e+09;1;0.0232446;0
1.77828e+09;1;0.0233192;0
1.78238e+09;1;0.0233942;0
1.78649e+09;1;0.0234695;0
1.79061e+09;1;0.0235453;0
1.79473e+09;1;0.0236213;0
1.79887e+09;1;0.0236978;0
1.80302e+09;1;0.0237746;0
1.80717e+09;1;0.0238517;0
1.81134e+09;1;0.0239293;0
1.81552e+09;1;0.0240072;0
1.8197e+09;1;0.0240855;0
1.8239e+09;1;0.0241642;0
1.8281e+09;1;0.0242433;0
1.83231e+09;1;0.0243228;0
1.83654e+09;1;0.0244027;0
1.84077e+09;1;0.0244829;0
1.84502e+09;1;0.0245636;0
1.84927e+09;1;0.0246447;0
1.85353e+09;1;0.0247261;0
1.8578e+09;1;0.024808;0
1.86209e+09;1;0.0248903;0
1.86638e+09;1;0.024973;0
1.87068e+09;1;0.0250561;0
1.87499e+09;1;0.0251397;0
1.87932e+09;1;0.0252237;0
1.88365e+09;1;0.025308;0
1.88799e+09;1;0.0253929;0
1.89234e+09;1;0.0254781;0
1.89671e+09;1;0.0255638;0
1.90108e+09;1;0.02565;0
1.90546e+09;1;0.0257366;0
1.90985e+09;1;0.0258236;0
1.91426e+09;1;0.0259111;0
1.91867e+09;1;0.0259991;0
1.92309e+09;1;0.0260875;0
1.92752e+09;1;0.0261764;0
1.93197e+09;1;0.0262657;0
1.93642e+09;1;0.0263555;0
1.94089e+09;1;0.0264458;0
1.94536e+09;1;0.0265366;0
1.94984e+09;1;0.0266278;0
1.95434e+09;1;0.0267196;0
1.95884e+09;1;0.0268118;0
1.96336e+09;1;0.0269045;0
1.96789e+09;1;0.0269977;0
1.97242e+09;1;0.0270915;0
1.97697e+09;1;0.0271857;0
1.98153e+09;1;0.0272805;0
1.98609e+09;1;0.0273757;0
1.99067e+09;1;0.0274715;0
1.99526e+09;1;0.0275679;0
1.99986e+09;1;0.0276647;0
2.00447e+09;1;0.0277621;0
2.00909e+09;1;0.02786;0
2.01372e+09;1;0.0279585;0
2.01837e+09;1;0.0280575;0
2.02302e+09;1;0.0281571;0
2.02768e+09;1;0.0282572;0
2.03236e+09;1;0.0283579;0
2.03704e+09;1;0.0284592;0
2.04174e+09;1;0.028561;0
2.04644e+09;1;0.0286634;0
2.05116e+09;1;0.0287664;0
2.05589e+09;1;0.02887;0
2.06063e+09;1;0.0289742;0
2.06538e+09;1;0.029079;0
2.07014e+09;1;0.0291844;0
2.07491e+09;1;0.0292904;0
2.0797e+09;1;0.029397;0
2.08449e+09;1;0.0295042;0
2.0893e+09;1;0.0296121;0
2.09411e+09;1;0.0297206;0
2.09894e+09;1;0.0298297;0
2.10378e+09;1;0.0299395;0
2.10863e+09;1;0.0300499;0
2.11349e+09;1;0.030161;0
2.11836e+09;1;0.0302728;0
2.12324e+09;1;0.0303852;0
2.12814e+09;1;0.0304983;0
2.13304e+09;1;0.0306121;0
2.13796e+09;1;0.0307266;0
2.14289e+09;1;0.0308417;0
2.14783e+09;1;0.0309576;0
2.15278e+09;1;0.0310742;0
2.15774e+09;1;0.0311915;0
2.16272e+09;1;0.0313095;0
2.1677e+09;1;0.0314282;0
2.1727e+09;1;0.0315477;0
2.17771e+09;1;0.0316679;0
2.18273e+09;1;0.0317889;0
2.18776e+09;1;0.0319106;0
2.1928e+09;1;0.0320331;0
2.19786e+09;1;0.0321564;0
2.20293e+09;1;0.0322805;0
2.208e+09;1;0.0324053;0
2.21309e+09;1;0.0325309;0
2.2182e+09;1;0.0326574;0
2.22331e+09;1;0.0327846;0
2.22844e+09;1;0.0329127;0
2.23357e+09;1;0.0330416;0
2.23872e+09;1;0.0331713;0
2.24388e+09;1;0.0333019;0
2.24905e+09;1;0.0334334;0
2.25424e+09;1;0.0335657;0
2.25944e+09;1;0.0336988;0
2.26464e+09;1;0.0338329;0
2.26986e+09;1;0.0339678;0
2.2751e+09;1;0.0341037;0
2.28034e+09;1;0.0342404;0
2.2856e+09;1;0.0343781;0
2.29087e+09;1;0.0345167;0
2.29615e+09;1;0.0346562;0
2.30144e+09;1;0.0347967;0
2.30675e+09;1;0.0349381;0
2.31206e+09;1;0.0350805;0
2.31739e+09;1;0.0352239;0
2.32274e+09;1;0.0353683;0
2.32809e+09;1;0.0355137;0
2.33346e+09;1;0.0356601;0
2.33884e+09;1;0.0358075;0
2.34423e+09;1;0.0359559;0
2.34963e+09;1;0.0361054;0
2.35505e+09;1;0.0362559;0
2.36048e+09;1;0.0364075;0
2.36592e+09;1;0.0365602;0
2.37137e+09;1;0.036714;0
2.37684e+09;1;0.0368689;0
2.38232e+09;1;0.0370248;0
2.38781e+09;1;0.037182;0
2.39332e+09;1;0.0373402;0
2.39883e+09;1;0.0374996;0
2.40436e+09;1;0.0376602;0
2.40991e+09;1;0.037822;0
2.41546e+09;1;0.0379849;0
2.42103e+09;1;0.0381491;0
2.42661e+09;1;0.0383144;0
2.4322e+09;1;0.0384811;0
2.43781e+09;1;0.0386489;0
2.44343e+09;1;0.0388181;0
2.44906e+09;1;0.0389885;0
2.45471e+09;1;0.0391602;0
2.46037e+09;1;0.0393332;0
2.46604e+09;1;0.0395075;0
2.47172e+09;1;0.0396832;0
2.47742e+09;1;0.0398602;0
2.48313e+09;1;0.0400386;0
2.48886e+09;1;0.0402184;0
2.49459e+09;1;0.0403996;0
2.50035e+09;1;0.0405822;0
2.50611e+09;1;0.0407663;0
2.51189e+09;1;0.0409518;0
2.51768e+09;1;0.0411388;0
2.52348e+09;1;0.0413273;0
2.5293e+09;1;0.0415174;0
2.53513e+09;1;0.0417089;0
2.54097e+09;1;0.041902;0
2.54683e+09;1;0.0420967;0
2.5527e+09;1;0.042293;0
2.55859e+09;1;0.0424908;0
2.56448e+09;1;0.0426903;0
2.5704e+09;1;0.0428915;0
2.57632e+09;1;0.0430943;0
2.58226e+09;1;0.0432989;0
2.58821e+09;1;0.0435051;0
2.59418e+09;1;0.0437131;0
2.60016e+09;1;0.0439229;0
2.60615e+09;1;0.0441344;0
2.61216e+09;1;0.0443478;0
2.61818e+09;1;0.044563;0
2.62422e+09;1;0.0447801;0
2.63027e+09;1;0.044999;0
2.63633e+09;1;0.0452198;0
2.64241e+09;1;0.0454426;0
2.6485e+09;1;0.0456674;0
2.65461e+09;1;0.0458941;0
2.66073e+09;1;0.0461229;0
2.66686e+09;1;0.0463537;0
2.67301e+09;1;0.0465866;0
2.67917e+09;1;0.0468215;0
2.68534e+09;1;0.0470587;0
2.69153e+09;1;0.0472979;0
2.69774e+09;1;0.0475394;0
2.70396e+09;1;0.0477831;0
2.71019e+09;1;0.048029;0
2.71644e+09;1;0.0482772;0
2.7227e+09;1;0.0485278;0
2.72898e+09;1;0.0487807;0
2.73527e+09;1;0.049036;0
2.74157e+09;1;0.0492937;0
2.74789e+09;1;0.0495539;0
2.75423e+09;1;0.0498166;0
2.76058e+09;1;0.0500818;0
2.76694e+09;1;0.0503495;0
2.77332e+09;1;0.0506199;0
2.77971e+09;1;0.050893;0
2.78612e+09;1;0.0511687;0
2.79254e+09;1;0.0514471;0
2.79898e+09;1;0.0517283;0
2.80543e+09;1;0.0520124;0
2.8119e+09;1;0.0522993;0
2.81838e+09;1;0.0525891;0
2.82488e+09;1;0.0528818;0
2.83139e+09;1;0.0531775;0
2.83792e+09;1;0.0534763;0
2.84446e+09;1;0.0537782;0
2.85102e+09;1;0.0540832;0
2.85759e+09;1;0.0543914;0
2.86418e+09;1;0.0547028;0
2.87078e+09;1;0.0550176;0
2.8774e+09;1;0.0553356;0
2.88403e+09;1;0.0556571;0
2.89068e+09;1;0.0559821;0
2.89734e+09;1;0.0563105;0
