"acfrequency";"r Z";"i Z"
5e+07;-0.174776;-2.8652
5.01153e+07;-0.175371;-2.87453
5.02308e+07;-0.17548;-2.87837
5.03466e+07;-0.176327;-2.89052
5.04627e+07;-0.176729;-2.89715
5.0579e+07;-0.17693;-2.90101
5.06956e+07;-0.177292;-2.90767
5.08125e+07;-0.1777;-2.91433
5.09296e+07;-0.178067;-2.92103
5.1047e+07;-0.17848;-2.92772
5.11647e+07;-0.178852;-2.93444
5.12826e+07;-0.17906;-2.93835
5.14008e+07;-0.179645;-2.94793
5.15193e+07;-0.179856;-2.95184
5.16381e+07;-0.180191;-2.95863
5.17571e+07;-0.210875;-2.95881
5.18765e+07;-0.181472;-2.97793
5.19961e+07;-0.181645;-2.9819
5.21159e+07;-0.182124;-2.98873
5.22361e+07;-0.18247;-2.99559
5.23565e+07;-0.182909;-3.00246
5.24772e+07;-0.18335;-3.00934
5.25982e+07;-0.183658;-3.01626
5.27194e+07;-0.184369;-3.02608
5.28409e+07;-0.184552;-3.03011
5.29628e+07;-0.184782;-3.03413
5.30849e+07;-0.185366;-3.04403
5.32072e+07;-0.186045;-3.05394
5.33299e+07;-0.186458;-3.06095
5.34528e+07;-0.186695;-3.06501
5.35761e+07;-0.187338;-3.075
5.36996e+07;-0.187624;-3.07908
5.38234e+07;-0.188;-3.08615
5.39474e+07;-0.188196;-3.09025
5.40718e+07;-0.189128;-3.1033
5.41964e+07;-0.189512;-3.11042
5.43214e+07;-0.189992;-3.11755
5.44466e+07;-0.190242;-3.12169
5.45721e+07;-0.190585;-3.12886
5.46979e+07;-0.191119;-3.13602
5.4824e+07;-0.191325;-3.14019
5.49504e+07;-0.192053;-3.15042
5.50771e+07;-0.192406;-3.15765
5.52041e+07;-0.19295;-3.16488
5.53313e+07;-0.193643;-3.17519
5.54589e+07;-0.193811;-3.17942
5.55867e+07;-0.194268;-3.18671
5.57149e+07;-0.195019;-3.19708
5.58433e+07;-0.19524;-3.20133
5.5972e+07;-0.196094;-3.21173
5.61011e+07;-0.196222;-3.21602
5.62304e+07;-0.196693;-3.22339
5.636e+07;-0.197167;-3.23078
5.649e+07;-0.197643;-3.23818
5.66202e+07;-0.198123;-3.2456
5.67507e+07;-0.198605;-3.25304
5.68815e+07;-0.19939;-3.26363
5.70127e+07;-0.19983;-3.27112
5.71441e+07;-0.200067;-3.27546
5.72758e+07;-0.231443;-3.28354
5.74079e+07;-0.231668;-3.2879
5.75402e+07;-0.232166;-3.29544
5.76729e+07;-0.232716;-3.30298
5.78058e+07;-0.233269;-3.31054
5.79391e+07;-0.233677;-3.31814
5.80726e+07;-0.234562;-3.32892
5.82065e+07;-0.234649;-3.33337
5.83407e+07;-0.235314;-3.34098
5.84752e+07;-0.236162;-3.35185
5.861e+07;-0.236203;-3.35633
5.87451e+07;-0.237059;-3.36724
5.88805e+07;-0.237304;-3.37172
5.90163e+07;-0.237834;-3.37944
5.91523e+07;-0.238418;-3.38717
5.92887e+07;-0.239139;-3.39821
5.94253e+07;-0.239442;-3.40271
5.95623e+07;-0.239985;-3.4105
5.96996e+07;-0.240769;-3.42161
5.98373e+07;-0.241027;-3.42615
5.99752e+07;-0.241578;-3.43399
6.01135e+07;-0.242478;-3.44516
6.02521e+07;-0.242934;-3.45306
6.0391e+07;-0.243547;-3.46096
6.05302e+07;-0.24366;-3.46558
6.06697e+07;-0.244525;-3.47685
6.08096e+07;-0.245148;-3.4848
6.09498e+07;-0.245422;-3.48942
6.10903e+07;-0.246248;-3.50078
6.12311e+07;-0.246526;-3.50542
6.13723e+07;-0.247466;-3.51681
6.15137e+07;-0.248001;-3.52487
6.16555e+07;-0.248591;-3.53294
6.17977e+07;-0.249133;-3.54103
6.19401e+07;-0.249421;-3.54573
6.20829e+07;-0.250278;-3.55726
6.2226e+07;-0.25057;-3.56198
6.23695e+07;-0.251123;-3.57014
6.25133e+07;-0.2521;-3.58174
6.26574e+07;-0.252345;-3.58649
6.28018e+07;-0.283036;-3.5867
6.29466e+07;-0.253846;-3.60639
6.30917e+07;-0.254096;-3.61118
6.32372e+07;-0.25499;-3.62293
6.33829e+07;-0.255621;-3.63121
6.35291e+07;-0.255878;-3.63604
6.36755e+07;-0.256461;-3.64436
6.38223e+07;-0.257893;-3.66147
6.39694e+07;-0.257964;-3.66459
6.41169e+07;-0.258667;-3.67295
6.42647e+07;-0.25932;-3.68135
6.44129e+07;-0.259866;-3.68979
6.45613e+07;-0.261168;-3.70352
6.47102e+07;-0.261723;-3.71201
6.48594e+07;-0.292353;-3.71224
6.50089e+07;-0.323068;-3.71244
6.51587e+07;-0.293752;-3.72922
6.53089e+07;-0.294374;-3.73776
6.54595e+07;-0.324925;-3.73799
6.56104e+07;-0.295628;-3.75488
6.57617e+07;-0.296824;-3.76888
6.59133e+07;-0.326869;-3.76369
6.60652e+07;-0.297592;-3.7807
6.62175e+07;-0.32809;-3.78095
6.63702e+07;-0.299513;-3.80347
6.65232e+07;-0.299476;-3.80672
6.66765e+07;-0.300301;-3.8154
6.68302e+07;-0.301426;-3.82964
6.69843e+07;-0.301507;-3.83289
6.71387e+07;-0.302287;-3.84163
6.72935e+07;-0.303431;-3.85598
6.74486e+07;-0.303631;-3.85922
6.76041e+07;-0.304844;-3.87362
6.77599e+07;-0.304989;-3.87689
6.79162e+07;-0.335551;-3.87713
6.80727e+07;-0.306363;-3.89464
6.82296e+07;-0.307056;-3.90354
6.83869e+07;-0.307752;-3.91247
6.85446e+07;-0.308453;-3.92141
6.87026e+07;-0.309158;-3.93037
6.8861e+07;-0.309749;-3.93938
6.90197e+07;-0.310579;-3.94836
6.91788e+07;-0.341147;-3.9486
6.93383e+07;-0.312017;-3.96643
6.94982e+07;-0.312623;-3.97552
6.96584e+07;-0.343311;-3.97573
6.9819e+07;-0.344041;-3.98481
6.99799e+07;-0.314822;-4.00283
7.01412e+07;-0.315682;-4.01195
7.03029e+07;-0.316308;-4.02114
7.0465e+07;-0.317297;-4.03027
7.06274e+07;-0.347751;-4.03054
7.07903e+07;-0.318689;-4.04873
7.09534e+07;-0.349145;-4.04899
7.1117e+07;-0.320809;-4.0731
7.1281e+07;-0.321462;-4.08242
7.14453e+07;-0.351568;-4.07677
7.161e+07;-0.353699;-4.09783
7.17751e+07;-0.383992;-4.09612
7.19405e+07;-0.353788;-4.10478
7.21064e+07;-0.355825;-4.12601
7.22726e+07;-0.386485;-4.12421
7.24392e+07;-0.387039;-4.13368
7.26062e+07;-0.358234;-4.15433
7.27736e+07;-0.388773;-4.15254
7.29413e+07;-0.389462;-4.16204
7.31095e+07;-0.360685;-4.18283
7.3278e+07;-0.390976;-4.18109
7.3447e+07;-0.360928;-4.1899
7.36163e+07;-0.363177;-4.21153
7.3786e+07;-0.36441;-4.2252
7.39561e+07;-0.394307;-4.21937
7.41266e+07;-0.365585;-4.24045
7.42975e+07;-0.366439;-4.25012
7.44687e+07;-0.396854;-4.24831
7.46404e+07;-0.397461;-4.25806
7.48125e+07;-0.368903;-4.27929
7.49849e+07;-0.399191;-4.2775
7.51578e+07;-0.400064;-4.28725
7.53311e+07;-0.371536;-4.30863
7.55047e+07;-0.372296;-4.31848
7.56788e+07;-0.402583;-4.31667
7.58532e+07;-0.403603;-4.32648
7.60281e+07;-0.404244;-4.3364
7.62034e+07;-0.375766;-4.35802
7.6379e+07;-0.406052;-4.35619
7.65551e+07;-0.378016;-4.38211
7.67316e+07;-0.376865;-4.37533
