"acfrequency";"r Z";"i Z"
5e+07;-0.174701;-2.86483
5.01153e+07;-0.175338;-2.87416
5.02308e+07;-0.175937;-2.88352
5.03466e+07;-0.175846;-2.88459
5.04627e+07;-0.176449;-2.89399
5.0579e+07;-0.176852;-2.90062
5.06956e+07;-0.177258;-2.90728
5.08125e+07;-0.17746;-2.91114
5.09296e+07;-0.177783;-2.91783
5.1047e+07;-0.178238;-2.92451
5.11647e+07;-0.178816;-2.93404
5.12826e+07;-0.179277;-2.94076
5.14008e+07;-0.179609;-2.94752
5.15193e+07;-0.17982;-2.95143
5.16381e+07;-0.180199;-2.95821
5.17571e+07;-0.180836;-2.96784
5.18765e+07;-0.181008;-2.97179
5.19961e+07;-0.181911;-2.98433
5.21159e+07;-0.181996;-2.98832
5.22361e+07;-0.182387;-2.99517
5.23565e+07;-0.182564;-2.99916
5.24772e+07;-0.183048;-3.00602
5.25982e+07;-0.183491;-3.01291
5.27194e+07;-0.184155;-3.02272
5.28409e+07;-0.184778;-3.03258
5.29628e+07;-0.184741;-3.03369
5.30849e+07;-0.185148;-3.04065
5.32072e+07;-0.185557;-3.04762
5.33299e+07;-0.186416;-3.06049
5.34528e+07;-0.186652;-3.06456
5.35761e+07;-0.187069;-3.07158
5.36996e+07;-0.187262;-3.07567
5.38234e+07;-0.187911;-3.08569
5.39474e+07;-0.218421;-3.0829
5.40718e+07;-0.188808;-3.09985
5.41964e+07;-0.189283;-3.10695
5.43214e+07;-0.189994;-3.11706
5.44466e+07;-0.189964;-3.1182
5.45721e+07;-0.19068;-3.12835
5.46979e+07;-0.191119;-3.13553
5.4824e+07;-0.191326;-3.13969
5.49504e+07;-0.191959;-3.14993
5.50771e+07;-0.192358;-3.15716
5.52041e+07;-0.193188;-3.16742
5.53313e+07;-0.193402;-3.17162
5.54589e+07;-0.193809;-3.1789
5.55867e+07;-0.194508;-3.18925
5.57149e+07;-0.194532;-3.19041
5.58433e+07;-0.195189;-3.20081
5.5972e+07;-0.195947;-3.21122
5.61011e+07;-0.196122;-3.2155
5.62304e+07;-0.196395;-3.21976
5.636e+07;-0.197314;-3.23336
5.649e+07;-0.197591;-3.23764
5.66202e+07;-0.198069;-3.24506
5.67507e+07;-0.198851;-3.25562
5.68815e+07;-0.199084;-3.25994
5.70127e+07;-0.199473;-3.26743
5.71441e+07;-0.200061;-3.2749
5.72758e+07;-0.231166;-3.27982
5.74079e+07;-0.23171;-3.28732
5.75402e+07;-0.232208;-3.29485
5.76729e+07;-0.262824;-3.29505
5.78058e+07;-0.263374;-3.30259
5.79391e+07;-0.233718;-3.31754
5.80726e+07;-0.234553;-3.32833
5.82065e+07;-0.234967;-3.33597
5.83407e+07;-0.235582;-3.34359
5.84752e+07;-0.265873;-3.34059
5.861e+07;-0.236423;-3.35896
5.87451e+07;-0.236998;-3.36664
5.88805e+07;-0.237293;-3.3711
5.90163e+07;-0.237822;-3.37882
5.91523e+07;-0.238304;-3.38656
5.92887e+07;-0.239177;-3.39757
5.94253e+07;-0.239767;-3.40534
5.95623e+07;-0.23992;-3.40987
5.96996e+07;-0.240703;-3.42097
5.98373e+07;-0.241252;-3.4288
5.99752e+07;-0.241512;-3.43335
6.01135e+07;-0.242014;-3.44122
6.02521e+07;-0.242674;-3.44907
6.0391e+07;-0.243375;-3.46032
6.05302e+07;-0.243939;-3.46824
6.06697e+07;-0.244312;-3.47282
6.08096e+07;-0.245129;-3.48412
6.09498e+07;-0.245351;-3.48875
6.10903e+07;-0.245979;-3.49672
6.12311e+07;-0.24729;-3.51315
6.13723e+07;-0.247036;-3.51276
6.15137e+07;-0.247674;-3.52078
6.16555e+07;-0.248157;-3.52886
6.17977e+07;-0.24911;-3.54032
6.19401e+07;-0.249654;-3.54843
6.20829e+07;-0.249944;-3.55313
6.2226e+07;-0.250805;-3.56469
6.23695e+07;-0.251465;-3.57283
6.25133e+07;-0.251653;-3.57758
6.26574e+07;-0.252159;-3.58578
6.28018e+07;-0.252828;-3.59397
6.29466e+07;-0.253872;-3.60563
6.30917e+07;-0.254069;-3.61042
6.32372e+07;-0.255016;-3.62216
6.33829e+07;-0.255593;-3.63045
6.35291e+07;-0.256118;-3.63877
6.36755e+07;-0.256431;-3.64358
6.38223e+07;-0.257342;-3.65543
6.39694e+07;-0.257714;-3.66026
6.41169e+07;-0.25858;-3.67217
6.42647e+07;-0.259177;-3.68057
6.44129e+07;-0.259556;-3.68543
6.45613e+07;-0.260103;-3.69388
6.47102e+07;-0.261209;-3.70585
6.48594e+07;-0.292318;-3.71142
