"acfrequency";"r Z";"i Z"
5e+07;1.3559;1.04474
5.01153e+07;1.356;1.04715
5.02308e+07;1.35611;1.04956
5.03466e+07;1.35621;1.05198
5.04627e+07;1.35632;1.0544
5.0579e+07;1.35642;1.05683
5.06956e+07;1.35653;1.05927
5.08125e+07;1.35664;1.06171
5.09296e+07;1.35674;1.06415
5.1047e+07;1.35685;1.06661
5.11647e+07;1.35696;1.06906
5.12826e+07;1.35707;1.07153
5.14008e+07;1.35718;1.074
5.15193e+07;1.35729;1.07647
5.16381e+07;1.3574;1.07895
5.17571e+07;1.35751;1.08144
5.18765e+07;1.35762;1.08393
5.19961e+07;1.35773;1.08643
5.21159e+07;1.35784;1.08893
5.22361e+07;1.35795;1.09144
5.23565e+07;1.35807;1.09395
5.24772e+07;1.35818;1.09647
5.25982e+07;1.35829;1.099
5.27194e+07;1.35841;1.10153
5.28409e+07;1.35852;1.10407
5.29628e+07;1.35864;1.10661
5.30849e+07;1.35876;1.10916
5.32072e+07;1.35887;1.11172
5.33299e+07;1.35899;1.11428
5.34528e+07;1.35911;1.11685
5.35761e+07;1.35923;1.11942
5.36996e+07;1.35934;1.122
5.38234e+07;1.35946;1.12458
5.39474e+07;1.35958;1.12718
5.40718e+07;1.3597;1.12977
5.41964e+07;1.35983;1.13238
5.43214e+07;1.35995;1.13498
5.44466e+07;1.36007;1.1376
5.45721e+07;1.36019;1.14022
5.46979e+07;1.36032;1.14285
5.4824e+07;1.36044;1.14548
5.49504e+07;1.36056;1.14812
5.50771e+07;1.36069;1.15076
5.52041e+07;1.36081;1.15342
5.53313e+07;1.36094;1.15607
5.54589e+07;1.36107;1.15874
5.55867e+07;1.3612;1.16141
5.57149e+07;1.36132;1.16408
5.58433e+07;1.36145;1.16676
5.5972e+07;1.36158;1.16945
5.61011e+07;1.36171;1.17215
5.62304e+07;1.36184;1.17485
5.636e+07;1.36197;1.17755
5.649e+07;1.3621;1.18027
5.66202e+07;1.36224;1.18299
5.67507e+07;1.36237;1.18571
5.68815e+07;1.3625;1.18844
5.70127e+07;1.36264;1.19118
5.71441e+07;1.36277;1.19392
5.72758e+07;1.36291;1.19668
5.74079e+07;1.36304;1.19943
5.75402e+07;1.36318;1.2022
5.76729e+07;1.36332;1.20496
5.78058e+07;1.36345;1.20774
5.79391e+07;1.36359;1.21052
5.80726e+07;1.36373;1.21331
5.82065e+07;1.36387;1.21611
5.83407e+07;1.36401;1.21891
5.84752e+07;1.36415;1.22172
5.861e+07;1.36429;1.22453
5.87451e+07;1.36444;1.22735
5.88805e+07;1.36458;1.23018
5.90163e+07;1.36472;1.23301
5.91523e+07;1.36487;1.23585
5.92887e+07;1.36501;1.2387
5.94253e+07;1.36516;1.24155
5.95623e+07;1.3653;1.24441
5.96996e+07;1.36545;1.24728
5.98373e+07;1.3656;1.25016
5.99752e+07;1.36575;1.25303
6.01135e+07;1.3659;1.25592
6.02521e+07;1.36605;1.25881
6.0391e+07;1.3662;1.26171
6.05302e+07;1.36635;1.26462
6.06697e+07;1.3665;1.26753
6.08096e+07;1.36665;1.27045
6.09498e+07;1.3668;1.27338
6.10903e+07;1.36696;1.27631
6.12311e+07;1.36711;1.27925
6.13723e+07;1.36727;1.2822
6.15137e+07;1.36742;1.28515
6.16555e+07;1.36758;1.28812
6.17977e+07;1.36774;1.29108
6.19401e+07;1.3679;1.29406
6.20829e+07;1.36806;1.29704
6.2226e+07;1.36822;1.30003
6.23695e+07;1.36838;1.30302
6.25133e+07;1.36854;1.30602
6.26574e+07;1.3687;1.30903
6.28018e+07;1.36886;1.31205
6.29466e+07;1.36902;1.31507
6.30917e+07;1.36919;1.3181
6.32372e+07;1.36935;1.32113
6.33829e+07;1.36952;1.32418
6.35291e+07;1.36969;1.32723
6.36755e+07;1.36985;1.33028
6.38223e+07;1.37002;1.33335
6.39694e+07;1.37019;1.33642
6.41169e+07;1.37036;1.3395
6.42647e+07;1.37053;1.34258
6.44129e+07;1.3707;1.34568
6.45613e+07;1.37087;1.34877
6.47102e+07;1.37105;1.35188
6.48594e+07;1.37122;1.355
6.50089e+07;1.37139;1.35812
6.51587e+07;1.37157;1.36124
6.53089e+07;1.37174;1.36438
6.54595e+07;1.37192;1.36752
6.56104e+07;1.3721;1.37067
6.57617e+07;1.37228;1.37383
6.59133e+07;1.37246;1.37699
6.60652e+07;1.37264;1.38017
6.62175e+07;1.37282;1.38334
6.63702e+07;1.373;1.38653
6.65232e+07;1.37318;1.38972
6.66765e+07;1.37336;1.39293
6.68302e+07;1.37355;1.39613
6.69843e+07;1.37373;1.39935
6.71387e+07;1.37392;1.40257
6.72935e+07;1.37411;1.4058
6.74486e+07;1.37429;1.40904
6.76041e+07;1.37448;1.41229
6.77599e+07;1.37467;1.41554
6.79162e+07;1.37486;1.4188
6.80727e+07;1.37505;1.42207
6.82296e+07;1.37524;1.42534
6.83869e+07;1.37544;1.42863
6.85446e+07;1.37563;1.43192
6.87026e+07;1.37583;1.43521
6.8861e+07;1.37602;1.43852
6.90197e+07;1.37622;1.44183
6.91788e+07;1.37641;1.44515
6.93383e+07;1.37661;1.44848
6.94982e+07;1.37681;1.45182
6.96584e+07;1.37701;1.45516
6.9819e+07;1.37721;1.45851
6.99799e+07;1.37742;1.46187
7.01412e+07;1.37762;1.46524
7.03029e+07;1.37782;1.46861
7.0465e+07;1.37803;1.47199
7.06274e+07;1.37823;1.47538
7.07903e+07;1.37844;1.47878
7.09534e+07;1.37865;1.48219
7.1117e+07;1.37886;1.4856
7.1281e+07;1.37906;1.48902
7.14453e+07;1.37928;1.49245
7.161e+07;1.37949;1.49589
7.17751e+07;1.3797;1.49933
7.19405e+07;1.37991;1.50279
7.21064e+07;1.38013;1.50625
7.22726e+07;1.38034;1.50972
7.24392e+07;1.38056;1.51319
7.26062e+07;1.38078;1.51668
7.27736e+07;1.38099;1.52017
7.29413e+07;1.38121;1.52367
7.31095e+07;1.38143;1.52718
7.3278e+07;1.38166;1.5307
7.3447e+07;1.38188;1.53422
7.36163e+07;1.3821;1.53776
7.3786e+07;1.38233;1.5413
7.39561e+07;1.38255;1.54485
7.41266e+07;1.38278;1.5484
7.42975e+07;1.38301;1.55197
7.44687e+07;1.38323;1.55554
7.46404e+07;1.38346;1.55912
7.48125e+07;1.38369;1.56272
7.49849e+07;1.38393;1.56631
7.51578e+07;1.38416;1.56992
7.53311e+07;1.38439;1.57354
7.55047e+07;1.38463;1.57716
7.56788e+07;1.38486;1.58079
7.58532e+07;1.3851;1.58443
7.60281e+07;1.38534;1.58808
7.62034e+07;1.38558;1.59174
7.6379e+07;1.38582;1.5954
7.65551e+07;1.38606;1.59907
7.67316e+07;1.3863;1.60276
7.69085e+07;1.38655;1.60645
7.70858e+07;1.38679;1.61015
7.72635e+07;1.38704;1.61385
7.74416e+07;1.38729;1.61757
7.76201e+07;1.38754;1.62129
7.77991e+07;1.38779;1.62503
7.79784e+07;1.38804;1.62877
7.81582e+07;1.38829;1.63252
7.83384e+07;1.38854;1.63628
7.8519e+07;1.3888;1.64005
7.87e+07;1.38905;1.64382
7.88814e+07;1.38931;1.64761
7.90632e+07;1.38956;1.6514
7.92455e+07;1.38982;1.6552
7.94282e+07;1.39008;1.65901
7.96113e+07;1.39035;1.66283
7.97948e+07;1.39061;1.66666
7.99788e+07;1.39087;1.6705
8.01631e+07;1.39114;1.67435
8.03479e+07;1.3914;1.6782
8.05332e+07;1.39167;1.68206
8.07188e+07;1.39194;1.68594
8.09049e+07;1.39221;1.68982
8.10914e+07;1.39248;1.69371
8.12783e+07;1.39275;1.69761
8.14657e+07;1.39303;1.70152
8.16535e+07;1.3933;1.70543
8.18418e+07;1.39358;1.70936
8.20304e+07;1.39385;1.7133
8.22195e+07;1.39413;1.71724
8.24091e+07;1.39441;1.72119
8.2599e+07;1.39469;1.72516
8.27895e+07;1.39498;1.72913
8.29803e+07;1.39526;1.73311
8.31716e+07;1.39555;1.7371
8.33633e+07;1.39583;1.7411
8.35555e+07;1.39612;1.74511
8.37481e+07;1.39641;1.74912
8.39412e+07;1.3967;1.75315
8.41347e+07;1.39699;1.75719
8.43287e+07;1.39729;1.76123
8.45231e+07;1.39758;1.76528
8.47179e+07;1.39788;1.76935
8.49132e+07;1.39817;1.77342
8.5109e+07;1.39847;1.7775
8.53052e+07;1.39877;1.7816
8.55018e+07;1.39907;1.7857
8.56989e+07;1.39938;1.78981
8.58965e+07;1.39968;1.79393
8.60945e+07;1.39999;1.79806
8.6293e+07;1.40029;1.8022
8.64919e+07;1.4006;1.80634
8.66913e+07;1.40091;1.8105
8.68911e+07;1.40122;1.81467
8.70915e+07;1.40154;1.81885
8.72922e+07;1.40185;1.82303
8.74935e+07;1.40217;1.82723
8.76952e+07;1.40248;1.83144
8.78973e+07;1.4028;1.83565
8.81e+07;1.40312;1.83988
8.8303e+07;1.40344;1.84411
8.85066e+07;1.40377;1.84836
8.87106e+07;1.40409;1.85261
8.89152e+07;1.40442;1.85688
8.91201e+07;1.40474;1.86115
8.93256e+07;1.40507;1.86543
8.95315e+07;1.4054;1.86973
8.97379e+07;1.40573;1.87403
8.99448e+07;1.40607;1.87834
9.01521e+07;1.4064;1.88267
9.03599e+07;1.40674;1.887
9.05682e+07;1.40708;1.89134
9.0777e+07;1.40742;1.8957
9.09863e+07;1.40776;1.90006
9.1196e+07;1.4081;1.90443
9.14063e+07;1.40845;1.90881
9.1617e+07;1.40879;1.91321
9.18282e+07;1.40914;1.91761
9.20399e+07;1.40949;1.92202
9.22521e+07;1.40984;1.92645
9.24647e+07;1.41019;1.93088
9.26779e+07;1.41055;1.93532
9.28915e+07;1.4109;1.93978
9.31057e+07;1.41126;1.94424
9.33203e+07;1.41162;1.94872
9.35355e+07;1.41198;1.9532
9.37511e+07;1.41234;1.9577
9.39672e+07;1.41271;1.9622
9.41838e+07;1.41307;1.96672
9.4401e+07;1.41344;1.97124
9.46186e+07;1.41381;1.97578
9.48367e+07;1.41418;1.98033
9.50553e+07;1.41455;1.98488
9.52745e+07;1.41493;1.98945
9.54941e+07;1.4153;1.99403
9.57142e+07;1.41568;1.99862
9.59349e+07;1.41606;2.00322
9.6156e+07;1.41644;2.00783
9.63777e+07;1.41682;2.01245
9.65999e+07;1.41721;2.01708
9.68226e+07;1.4176;2.02172
9.70458e+07;1.41798;2.02637
9.72695e+07;1.41837;2.03103
9.74937e+07;1.41877;2.03571
9.77185e+07;1.41916;2.04039
9.79438e+07;1.41955;2.04509
9.81695e+07;1.41995;2.04979
9.83959e+07;1.42035;2.05451
9.86227e+07;1.42075;2.05923
9.885e+07;1.42116;2.06397
9.90779e+07;1.42156;2.06872
9.93063e+07;1.42197;2.07348
9.95352e+07;1.42238;2.07825
