"acfrequency";"r Z";"i Z"
5e+07;-0.17471;-2.86493
5.01153e+07;-0.175347;-2.87426
5.02308e+07;-0.175543;-2.87809
5.03466e+07;-0.1761;-2.88747
5.04627e+07;-0.176502;-2.89409
5.0579e+07;-0.206934;-2.89149
5.06956e+07;-0.177224;-2.90739
5.08125e+07;-0.177632;-2.91406
5.09296e+07;-0.177793;-2.91794
5.1047e+07;-0.178204;-2.92463
5.11647e+07;-0.179035;-2.93698
5.12826e+07;-0.179199;-2.94089
5.14008e+07;-0.179619;-2.94763
5.15193e+07;-0.179996;-2.9544
5.16381e+07;-0.180121;-2.95834
5.17571e+07;-0.180892;-2.96795
5.18765e+07;-0.18149;-2.97763
5.19961e+07;-0.181404;-2.97873
5.21159e+07;-0.182267;-2.99131
5.22361e+07;-0.182182;-2.99241
5.23565e+07;-0.182836;-3.00216
5.24772e+07;-0.183277;-3.00904
5.25982e+07;-0.183939;-3.01884
5.27194e+07;-0.184121;-3.02286
5.28409e+07;-0.184569;-3.02978
5.29628e+07;-0.184974;-3.03674
5.30849e+07;-0.185427;-3.04369
5.32072e+07;-0.185746;-3.05069
5.33299e+07;-0.186428;-3.06062
5.34528e+07;-0.186935;-3.06763
5.35761e+07;-0.187081;-3.07172
5.36996e+07;-0.187274;-3.0758
5.38234e+07;-0.187969;-3.08581
5.39474e+07;-0.188165;-3.08992
5.40718e+07;-0.188867;-3.09998
5.41964e+07;-0.189296;-3.10709
5.43214e+07;-0.189543;-3.11121
5.44466e+07;-0.190209;-3.12134
5.45721e+07;-0.190553;-3.12852
5.46979e+07;-0.191179;-3.13566
5.4824e+07;-0.191292;-3.13984
5.49504e+07;-0.191925;-3.15008
5.50771e+07;-0.192276;-3.15424
5.52041e+07;-0.192916;-3.16452
5.53313e+07;-0.193082;-3.16873
5.54589e+07;-0.193583;-3.17599
5.55867e+07;-0.193992;-3.18328
5.57149e+07;-0.194789;-3.19363
5.58433e+07;-0.19496;-3.19788
5.5972e+07;-0.195765;-3.20828
5.61011e+07;-0.226127;-3.2054
5.62304e+07;-0.196313;-3.21993
5.636e+07;-0.197426;-3.2335
5.649e+07;-0.197606;-3.2378
5.66202e+07;-0.197835;-3.2421
5.67507e+07;-0.198518;-3.25266
5.68815e+07;-0.199099;-3.2601
5.70127e+07;-0.199587;-3.26757
5.71441e+07;-0.199774;-3.27191
5.72758e+07;-0.231182;-3.27998
5.74079e+07;-0.231677;-3.28749
5.75402e+07;-0.232273;-3.295
5.76729e+07;-0.232626;-3.30258
5.78058e+07;-0.233403;-3.31333
5.79391e+07;-0.263796;-3.31034
5.80726e+07;-0.23447;-3.32851
5.82065e+07;-0.234756;-3.33292
5.83407e+07;-0.23594;-3.34859
5.84752e+07;-0.235789;-3.34821
5.861e+07;-0.23621;-3.35589
5.87451e+07;-0.236733;-3.36358
5.88805e+07;-0.23731;-3.37127
5.90163e+07;-0.23779;-3.379
5.91523e+07;-0.238658;-3.38998
5.92887e+07;-0.239144;-3.39776
5.94253e+07;-0.269531;-3.39469
5.95623e+07;-0.240227;-3.41333
5.96996e+07;-0.240773;-3.42114
5.98373e+07;-0.240929;-3.4257
5.99752e+07;-0.241531;-3.43353
6.01135e+07;-0.241982;-3.44141
6.02521e+07;-0.24259;-3.44928
6.0391e+07;-0.243395;-3.46051
6.05302e+07;-0.243765;-3.46508
6.06697e+07;-0.24428;-3.47302
6.08096e+07;-0.24485;-3.48096
6.09498e+07;-0.245319;-3.48895
6.10903e+07;-0.245895;-3.49693
6.12311e+07;-0.246526;-3.50492
6.13723e+07;-0.247056;-3.51295
6.15137e+07;-0.247537;-3.52101
6.16555e+07;-0.248231;-3.52905
6.17977e+07;-0.248718;-3.53714
6.19401e+07;-0.249729;-3.54862
6.20829e+07;-0.250223;-3.55675
6.2226e+07;-0.251376;-3.57001
6.23695e+07;-0.25112;-3.56961
6.25133e+07;-0.281757;-3.56982
6.26574e+07;-0.252604;-3.58942
6.28018e+07;-0.25285;-3.59418
6.29466e+07;-0.25347;-3.6024
6.30917e+07;-0.254358;-3.61412
6.32372e+07;-0.254985;-3.62238
6.33829e+07;-0.255186;-3.6272
6.35291e+07;-0.256196;-3.63897
6.36755e+07;-0.256455;-3.6438
6.38223e+07;-0.257476;-3.65563
6.39694e+07;-0.257684;-3.66049
6.41169e+07;-0.258605;-3.67239
6.42647e+07;-0.258927;-3.67725
6.44129e+07;-0.259858;-3.68921
6.45613e+07;-0.260352;-3.69767
6.47102e+07;-0.26079;-3.70255
6.48594e+07;-0.322392;-3.70339
6.50089e+07;-0.323058;-3.71185
6.51587e+07;-0.294241;-3.734
6.53089e+07;-0.294307;-3.73717
6.54595e+07;-0.324858;-3.73739
6.56104e+07;-0.295504;-3.75429
6.57617e+07;-0.296247;-3.76286
6.59133e+07;-0.3268;-3.76309
6.60652e+07;-0.297522;-3.78009
6.62175e+07;-0.298736;-3.79418
6.63702e+07;-0.298868;-3.79739
6.65232e+07;-0.299461;-3.80609
6.66765e+07;-0.300228;-3.81477
6.68302e+07;-0.300886;-3.82349
6.69843e+07;-0.301548;-3.83223
6.71387e+07;-0.302156;-3.841
6.72935e+07;-0.302825;-3.84978
6.74486e+07;-0.303497;-3.85858
6.76041e+07;-0.334115;-3.8588
6.77599e+07;-0.334792;-3.86762
6.79162e+07;-0.305596;-3.88509
6.80727e+07;-0.306284;-3.89397
6.82296e+07;-0.306976;-3.90287
6.83869e+07;-0.307672;-3.91179
6.85446e+07;-0.309039;-3.92635
6.87026e+07;-0.309193;-3.92966
6.8861e+07;-0.309784;-3.93867
6.90197e+07;-0.310613;-3.94764
6.91788e+07;-0.311212;-3.95668
6.93383e+07;-0.312612;-3.97141
6.94982e+07;-0.342618;-3.96593
6.96584e+07;-0.343343;-3.97499
6.9819e+07;-0.314805;-3.99868
6.99799e+07;-0.314853;-4.00208
7.01412e+07;-0.315713;-4.01119
