"acfrequency";"r Z";"i Z"
5e+07;-0.17501;-2.86784
5.01153e+07;-0.175318;-2.87443
5.02308e+07;-0.175471;-2.87826
5.03466e+07;-0.176071;-2.88764
5.04627e+07;-0.176516;-2.89426
5.0579e+07;-0.176629;-2.89812
5.06956e+07;-0.177239;-2.90756
5.08125e+07;-0.177647;-2.91423
5.09296e+07;-0.177807;-2.91811
5.1047e+07;-0.178426;-2.92762
5.11647e+07;-0.178797;-2.93434
5.12826e+07;-0.179215;-2.94107
5.14008e+07;-0.179381;-2.94498
5.15193e+07;-0.180101;-2.95456
5.16381e+07;-0.180481;-2.96134
5.17571e+07;-0.180863;-2.96814
5.18765e+07;-0.181203;-2.97496
5.19961e+07;-0.181465;-2.9789
5.21159e+07;-0.181898;-2.98573
5.22361e+07;-0.182459;-2.99547
5.23565e+07;-0.182853;-3.00234
5.24772e+07;-0.183512;-3.01212
5.25982e+07;-0.183519;-3.01322
5.27194e+07;-0.183919;-3.02014
5.28409e+07;-0.184762;-3.0329
5.29628e+07;-0.184992;-3.03693
5.30849e+07;-0.185177;-3.04097
5.32072e+07;-0.185855;-3.05087
5.33299e+07;-0.185998;-3.05493
5.34528e+07;-0.186954;-3.06783
5.35761e+07;-0.187146;-3.07191
5.36996e+07;-0.187747;-3.08192
5.38234e+07;-0.18817;-3.08899
5.39474e+07;-0.188137;-3.09013
5.40718e+07;-0.188793;-3.10019
5.41964e+07;-0.189315;-3.10729
5.43214e+07;-0.189747;-3.11442
5.44466e+07;-0.190182;-3.12156
5.45721e+07;-0.190432;-3.1257
5.46979e+07;-0.191152;-3.13588
5.4824e+07;-0.191501;-3.14308
5.49504e+07;-0.191992;-3.15028
5.50771e+07;-0.192725;-3.16054
5.52041e+07;-0.192604;-3.16171
5.53313e+07;-0.193629;-3.17505
5.54589e+07;-0.193844;-3.17926
5.55867e+07;-0.194156;-3.18347
5.57149e+07;-0.194715;-3.19387
5.58433e+07;-0.195273;-3.20117
5.5972e+07;-0.195984;-3.2116
5.61011e+07;-0.196207;-3.21586
5.62304e+07;-0.196925;-3.22634
5.636e+07;-0.1972;-3.23062
5.649e+07;-0.197235;-3.23494
5.66202e+07;-0.19801;-3.24546
5.67507e+07;-0.198589;-3.25289
5.68815e+07;-0.199025;-3.26035
5.70127e+07;-0.19926;-3.26468
5.71441e+07;-0.200002;-3.27531
5.72758e+07;-0.231206;-3.28022
5.74079e+07;-0.231652;-3.28774
5.75402e+07;-0.23252;-3.29843
5.76729e+07;-0.262864;-3.29546
5.78058e+07;-0.233253;-3.31037
5.79391e+07;-0.23371;-3.31797
5.80726e+07;-0.234219;-3.32557
5.82065e+07;-0.234682;-3.33319
5.83407e+07;-0.235247;-3.34082
5.84752e+07;-0.235715;-3.34848
5.861e+07;-0.236336;-3.35613
5.87451e+07;-0.23681;-3.36383
5.88805e+07;-0.23762;-3.37477
5.90163e+07;-0.237816;-3.37926
5.91523e+07;-0.238349;-3.387
5.92887e+07;-0.239172;-3.39802
5.94253e+07;-0.239763;-3.40579
5.95623e+07;-0.239966;-3.41032
5.96996e+07;-0.27059;-3.41053
5.98373e+07;-0.241248;-3.42927
5.99752e+07;-0.24161;-3.4338
6.01135e+07;-0.242011;-3.44169
6.02521e+07;-0.242966;-3.45287
6.0391e+07;-0.243527;-3.46077
6.05302e+07;-0.243743;-3.46537
6.06697e+07;-0.244258;-3.47331
6.08096e+07;-0.24518;-3.4846
6.09498e+07;-0.245401;-3.48923
6.10903e+07;-0.24628;-3.50058
6.12311e+07;-0.246808;-3.5086
6.13723e+07;-0.247392;-3.51663
6.15137e+07;-0.247621;-3.5213
6.16555e+07;-0.248158;-3.52936
6.17977e+07;-0.24875;-3.53744
6.19401e+07;-0.249708;-3.54893
6.20829e+07;-0.249998;-3.55364
6.2226e+07;-0.250753;-3.56522
6.23695e+07;-0.251414;-3.57336
6.25133e+07;-0.25171;-3.5781
6.26574e+07;-0.252322;-3.58628
6.28018e+07;-0.252885;-3.5945
6.29466e+07;-0.253823;-3.60618
6.30917e+07;-0.254393;-3.61444
6.32372e+07;-0.254646;-3.61924
6.33829e+07;-0.255598;-3.631
6.35291e+07;-0.285971;-3.62772
6.36755e+07;-0.256545;-3.64412
