"acfrequency";"r Z";"i Z"
5e+07;1.3559;1.04466
5.01153e+07;1.356;1.04707
5.02308e+07;1.35611;1.04948
5.03466e+07;1.35621;1.0519
5.04627e+07;1.35631;1.05432
5.0579e+07;1.35642;1.05675
5.06956e+07;1.35653;1.05918
5.08125e+07;1.35663;1.06162
5.09296e+07;1.35674;1.06407
5.1047e+07;1.35685;1.06652
5.11647e+07;1.35695;1.06898
5.12826e+07;1.35706;1.07144
5.14008e+07;1.35717;1.07391
5.15193e+07;1.35728;1.07638
5.16381e+07;1.35739;1.07886
5.17571e+07;1.3575;1.08135
5.18765e+07;1.35761;1.08384
5.19961e+07;1.35772;1.08633
5.21159e+07;1.35784;1.08884
5.22361e+07;1.35795;1.09134
5.23565e+07;1.35806;1.09386
5.24772e+07;1.35818;1.09638
5.25982e+07;1.35829;1.0989
5.27194e+07;1.3584;1.10144
5.28409e+07;1.35852;1.10397
5.29628e+07;1.35863;1.10652
5.30849e+07;1.35875;1.10907
5.32072e+07;1.35887;1.11162
5.33299e+07;1.35898;1.11418
5.34528e+07;1.3591;1.11675
5.35761e+07;1.35922;1.11932
5.36996e+07;1.35934;1.1219
5.38234e+07;1.35946;1.12448
5.39474e+07;1.35958;1.12707
5.40718e+07;1.3597;1.12967
5.41964e+07;1.35982;1.13227
5.43214e+07;1.35994;1.13488
5.44466e+07;1.36006;1.13749
5.45721e+07;1.36019;1.14011
5.46979e+07;1.36031;1.14274
5.4824e+07;1.36043;1.14537
5.49504e+07;1.36056;1.14801
5.50771e+07;1.36068;1.15066
5.52041e+07;1.36081;1.15331
5.53313e+07;1.36094;1.15596
5.54589e+07;1.36106;1.15863
5.55867e+07;1.36119;1.16129
5.57149e+07;1.36132;1.16397
5.58433e+07;1.36145;1.16665
5.5972e+07;1.36158;1.16934
5.61011e+07;1.36171;1.17203
5.62304e+07;1.36184;1.17473
5.636e+07;1.36197;1.17744
5.649e+07;1.3621;1.18015
5.66202e+07;1.36223;1.18287
5.67507e+07;1.36236;1.18559
5.68815e+07;1.3625;1.18832
5.70127e+07;1.36263;1.19106
5.71441e+07;1.36277;1.1938
5.72758e+07;1.3629;1.19655
5.74079e+07;1.36304;1.19931
5.75402e+07;1.36317;1.20207
5.76729e+07;1.36331;1.20484
5.78058e+07;1.36345;1.20761
5.79391e+07;1.36359;1.2104
5.80726e+07;1.36372;1.21318
5.82065e+07;1.36386;1.21598
5.83407e+07;1.364;1.21878
5.84752e+07;1.36415;1.22159
5.861e+07;1.36429;1.2244
5.87451e+07;1.36443;1.22722
5.88805e+07;1.36457;1.23005
5.90163e+07;1.36472;1.23288
5.91523e+07;1.36486;1.23572
5.92887e+07;1.36501;1.23857
5.94253e+07;1.36515;1.24142
5.95623e+07;1.3653;1.24428
5.96996e+07;1.36544;1.24714
5.98373e+07;1.36559;1.25002
5.99752e+07;1.36574;1.25289
6.01135e+07;1.36589;1.25578
6.02521e+07;1.36604;1.25867
6.0391e+07;1.36619;1.26157
