"acfrequency";"r Z";"i Z"
5e+07;1.3559;1.04464
5.01153e+07;1.356;1.04704
5.02308e+07;1.3561;1.04946
5.03466e+07;1.35621;1.05187
5.04627e+07;1.35631;1.0543
5.0579e+07;1.35642;1.05673
5.06956e+07;1.35653;1.05916
5.08125e+07;1.35663;1.0616
5.09296e+07;1.35674;1.06405
5.1047e+07;1.35685;1.0665
5.11647e+07;1.35695;1.06895
5.12826e+07;1.35706;1.07142
5.14008e+07;1.35717;1.07388
5.15193e+07;1.35728;1.07636
5.16381e+07;1.35739;1.07884
5.17571e+07;1.3575;1.08132
5.18765e+07;1.35761;1.08381
5.19961e+07;1.35772;1.08631
5.21159e+07;1.35784;1.08881
5.22361e+07;1.35795;1.09132
5.23565e+07;1.35806;1.09384
5.24772e+07;1.35817;1.09635
5.25982e+07;1.35829;1.09888
5.27194e+07;1.3584;1.10141
5.28409e+07;1.35852;1.10395
5.29628e+07;1.35863;1.10649
5.30849e+07;1.35875;1.10904
5.32072e+07;1.35887;1.1116
5.33299e+07;1.35898;1.11416
5.34528e+07;1.3591;1.11672
5.35761e+07;1.35922;1.11929
5.36996e+07;1.35934;1.12187
5.38234e+07;1.35946;1.12446
5.39474e+07;1.35958;1.12705
5.40718e+07;1.3597;1.12964
5.41964e+07;1.35982;1.13225
5.43214e+07;1.35994;1.13485
5.44466e+07;1.36006;1.13747
5.45721e+07;1.36019;1.14009
5.46979e+07;1.36031;1.14271
5.4824e+07;1.36043;1.14535
5.49504e+07;1.36056;1.14798
5.50771e+07;1.36068;1.15063
5.52041e+07;1.36081;1.15328
5.53313e+07;1.36093;1.15593
5.54589e+07;1.36106;1.1586
5.55867e+07;1.36119;1.16127
5.57149e+07;1.36132;1.16394
5.58433e+07;1.36145;1.16662
5.5972e+07;1.36157;1.16931
5.61011e+07;1.3617;1.172
5.62304e+07;1.36183;1.1747
5.636e+07;1.36197;1.17741
5.649e+07;1.3621;1.18012
5.66202e+07;1.36223;1.18284
5.67507e+07;1.36236;1.18556
5.68815e+07;1.36249;1.18829
5.70127e+07;1.36263;1.19103
5.71441e+07;1.36276;1.19377
5.72758e+07;1.3629;1.19652
5.74079e+07;1.36303;1.19928
5.75402e+07;1.36317;1.20204
5.76729e+07;1.36331;1.20481
5.78058e+07;1.36345;1.20758
5.79391e+07;1.36358;1.21036
5.80726e+07;1.36372;1.21315
5.82065e+07;1.36386;1.21595
5.83407e+07;1.364;1.21875
5.84752e+07;1.36414;1.22155
5.861e+07;1.36429;1.22437
5.87451e+07;1.36443;1.22719
5.88805e+07;1.36457;1.23001
5.90163e+07;1.36471;1.23285
5.91523e+07;1.36486;1.23569
5.92887e+07;1.365;1.23853
5.94253e+07;1.36515;1.24138
5.95623e+07;1.3653;1.24424
5.96996e+07;1.36544;1.24711
5.98373e+07;1.36559;1.24998
5.99752e+07;1.36574;1.25286
6.01135e+07;1.36589;1.25574
6.02521e+07;1.36604;1.25864
6.0391e+07;1.36619;1.26153
6.05302e+07;1.36634;1.26444
6.06697e+07;1.36649;1.26735
6.08096e+07;1.36664;1.27027
6.09498e+07;1.36679;1.2732
6.10903e+07;1.36695;1.27613
6.12311e+07;1.3671;1.27907
6.13723e+07;1.36726;1.28201
6.15137e+07;1.36741;1.28496
6.16555e+07;1.36757;1.28792
6.17977e+07;1.36773;1.29089
6.19401e+07;1.36789;1.29386
6.20829e+07;1.36805;1.29684
6.2226e+07;1.3682;1.29983
6.23695e+07;1.36837;1.30282
6.25133e+07;1.36853;1.30582
6.26574e+07;1.36869;1.30883
6.28018e+07;1.36885;1.31184
6.29466e+07;1.36901;1.31486
6.30917e+07;1.36918;1.31789
6.32372e+07;1.36934;1.32093
6.33829e+07;1.36951;1.32397
6.35291e+07;1.36967;1.32702
6.36755e+07;1.36984;1.33007
6.38223e+07;1.37001;1.33314
6.39694e+07;1.37018;1.33621
6.41169e+07;1.37035;1.33928
6.42647e+07;1.37052;1.34237
6.44129e+07;1.37069;1.34546
6.45613e+07;1.37086;1.34856
6.47102e+07;1.37103;1.35166
6.48594e+07;1.37121;1.35477
