"acfrequency";"r Z";"i Z"
5e+07;-0.174715;-2.86499
5.01153e+07;-0.175352;-2.87432
5.02308e+07;-0.175994;-2.88368
5.03466e+07;-0.176192;-2.88751
5.04627e+07;-0.176506;-2.89415
5.0579e+07;-0.17662;-2.89801
5.06956e+07;-0.177316;-2.90744
5.08125e+07;-0.177887;-2.91692
5.09296e+07;-0.178047;-2.9208
5.1047e+07;-0.178209;-2.92469
5.11647e+07;-0.178831;-2.93422
5.12826e+07;-0.179249;-2.94094
5.14008e+07;-0.17958;-2.9477
5.15193e+07;-0.180046;-2.95445
5.16381e+07;-0.180426;-2.96123
5.17571e+07;-0.180852;-2.96802
5.18765e+07;-0.181192;-2.97484
5.19961e+07;-0.181838;-2.98453
5.21159e+07;-0.181798;-2.98562
5.22361e+07;-0.182709;-2.99823
5.23565e+07;-0.182797;-3.00223
5.24772e+07;-0.183283;-3.0091
5.25982e+07;-0.183681;-3.01601
5.27194e+07;-0.184081;-3.02293
5.28409e+07;-0.184529;-3.02985
5.29628e+07;-0.184935;-3.03681
5.30849e+07;-0.185388;-3.04376
5.32072e+07;-0.18562;-3.04781
5.33299e+07;-0.186256;-3.05774
5.34528e+07;-0.186716;-3.06474
5.35761e+07;-0.186862;-3.06883
5.36996e+07;-0.18728;-3.07587
5.38234e+07;-0.187975;-3.08588
5.39474e+07;-0.188446;-3.09295
5.40718e+07;-0.188643;-3.09706
5.41964e+07;-0.18958;-3.11014
5.43214e+07;-0.190013;-3.11727
5.44466e+07;-0.190449;-3.12442
5.45721e+07;-0.190372;-3.12557
5.46979e+07;-0.191092;-3.13574
5.4824e+07;-0.191534;-3.14293
5.49504e+07;-0.192216;-3.15317
5.50771e+07;-0.192142;-3.15433
5.52041e+07;-0.192732;-3.16154
5.53313e+07;-0.193328;-3.17186
5.54589e+07;-0.193878;-3.17911
5.55867e+07;-0.194288;-3.18641
5.57149e+07;-0.194748;-3.19371
5.58433e+07;-0.195259;-3.20102
5.5972e+07;-0.195724;-3.20836
5.61011e+07;-0.195947;-3.21262
5.62304e+07;-0.196663;-3.22308
5.636e+07;-0.197185;-3.23046
5.649e+07;-0.197662;-3.23787
5.66202e+07;-0.198092;-3.24529
5.67507e+07;-0.198574;-3.25273
5.68815e+07;-0.199058;-3.26018
5.70127e+07;-0.199546;-3.26765
5.71441e+07;-0.200036;-3.27514
5.72758e+07;-0.261312;-3.27276
5.74079e+07;-0.231956;-3.29073
5.75402e+07;-0.262398;-3.28776
5.76729e+07;-0.232683;-3.30265
5.78058e+07;-0.263349;-3.30285
5.79391e+07;-0.263853;-3.31041
5.80726e+07;-0.234529;-3.32859
5.82065e+07;-0.264821;-3.3256
5.83407e+07;-0.235508;-3.34386
5.84752e+07;-0.235748;-3.3483
5.861e+07;-0.236319;-3.35596
5.87451e+07;-0.237125;-3.36688
5.88805e+07;-0.237602;-3.3746
5.90163e+07;-0.238083;-3.38234
5.91523e+07;-0.238566;-3.39009
5.92887e+07;-0.268954;-3.38703
5.94253e+07;-0.239406;-3.40235
5.95623e+07;-0.240185;-3.41343
5.96996e+07;-0.240731;-3.42124
5.98373e+07;-0.24104;-3.42577
5.99752e+07;-0.241781;-3.43694
6.01135e+07;-0.242388;-3.44479
6.02521e+07;-0.242895;-3.45269
6.0391e+07;-0.24316;-3.45727
6.05302e+07;-0.243672;-3.46519
6.06697e+07;-0.244537;-3.47646
6.08096e+07;-0.245108;-3.48442
6.09498e+07;-0.245682;-3.49239
6.10903e+07;-0.246259;-3.50038
6.12311e+07;-0.24684;-3.50839
6.13723e+07;-0.247067;-3.51305
6.15137e+07;-0.247653;-3.52109
6.16555e+07;-0.248496;-3.53255
6.17977e+07;-0.249143;-3.54062
6.19401e+07;-0.249272;-3.54534
6.20829e+07;-0.250728;-3.56198
6.2226e+07;-0.250731;-3.56501
6.23695e+07;-0.251078;-3.56973
6.25133e+07;-0.251634;-3.5779
6.26574e+07;-0.2523;-3.58607
6.28018e+07;-0.252915;-3.59428
6.29466e+07;-0.253481;-3.60251
6.30917e+07;-0.253942;-3.61077
6.32372e+07;-0.254943;-3.6225
6.33829e+07;-0.255306;-3.62729
