"acfrequency";"r Z";"i Z"
7.51578e+07;1.38413;1.56944
7.53311e+07;1.38436;1.57305
7.55047e+07;1.3846;1.57667
7.56788e+07;1.38483;1.5803
7.58532e+07;1.38507;1.58393
7.60281e+07;1.38531;1.58758
7.62034e+07;1.38555;1.59123
7.6379e+07;1.38579;1.59489
7.65551e+07;1.38603;1.59856
7.67316e+07;1.38627;1.60224
7.69085e+07;1.38651;1.60593
7.70858e+07;1.38676;1.60962
7.72635e+07;1.387;1.61333
7.74416e+07;1.38725;1.61704
7.76201e+07;1.3875;1.62076
7.77991e+07;1.38775;1.62449
7.79784e+07;1.388;1.62823
7.81582e+07;1.38825;1.63197
7.83384e+07;1.3885;1.63573
7.8519e+07;1.38876;1.63949
7.87e+07;1.38901;1.64327
7.88814e+07;1.38927;1.64705
7.90632e+07;1.38953;1.65084
7.92455e+07;1.38978;1.65463
7.94282e+07;1.39004;1.65844
7.96113e+07;1.39031;1.66226
7.97948e+07;1.39057;1.66608
7.99788e+07;1.39083;1.66992
8.01631e+07;1.3911;1.67376
8.03479e+07;1.39136;1.67761
8.05332e+07;1.39163;1.68147
8.07188e+07;1.3919;1.68534
8.09049e+07;1.39217;1.68921
8.10914e+07;1.39244;1.6931
8.12783e+07;1.39271;1.697
8.14657e+07;1.39298;1.7009
8.16535e+07;1.39326;1.70481
8.18418e+07;1.39353;1.70873
8.20304e+07;1.39381;1.71267
8.22195e+07;1.39409;1.71661
8.24091e+07;1.39437;1.72056
8.2599e+07;1.39465;1.72451
8.27895e+07;1.39493;1.72848
8.29803e+07;1.39521;1.73246
8.31716e+07;1.3955;1.73644
8.33633e+07;1.39579;1.74044
8.35555e+07;1.39607;1.74444
8.37481e+07;1.39636;1.74845
8.39412e+07;1.39665;1.75247
8.41347e+07;1.39694;1.75651
8.43287e+07;1.39724;1.76055
8.45231e+07;1.39753;1.7646
8.47179e+07;1.39783;1.76866
8.49132e+07;1.39812;1.77272
8.5109e+07;1.39842;1.7768
8.53052e+07;1.39872;1.78089
8.55018e+07;1.39902;1.78498
8.56989e+07;1.39932;1.78909
8.58965e+07;1.39963;1.79321
8.60945e+07;1.39993;1.79733
8.6293e+07;1.40024;1.80146
8.64919e+07;1.40055;1.80561
8.66913e+07;1.40086;1.80976
8.68911e+07;1.40117;1.81392
8.70915e+07;1.40148;1.81809
8.72922e+07;1.40179;1.82228
