"acfrequency";"r Z";"i Z"
5e+07;-0.175191;-2.87039
5.01153e+07;-0.175343;-2.87421
5.02308e+07;-0.175985;-2.88357
5.03466e+07;-0.175893;-2.88464
5.04627e+07;-0.176497;-2.89404
5.0579e+07;-0.17661;-2.8979
5.06956e+07;-0.177263;-2.90733
5.08125e+07;-0.177422;-2.9112
5.09296e+07;-0.177788;-2.91788
5.1047e+07;-0.178199;-2.92457
5.11647e+07;-0.178613;-2.93128
5.12826e+07;-0.179238;-2.94083
5.14008e+07;-0.179614;-2.94758
5.15193e+07;-0.179991;-2.95434
5.16381e+07;-0.18016;-2.95827
5.17571e+07;-0.180797;-2.96791
5.18765e+07;-0.211313;-2.96523
5.19961e+07;-0.181827;-2.98441
5.21159e+07;-0.182046;-2.98837
5.22361e+07;-0.182654;-2.99811
5.23565e+07;-0.182614;-2.99921
5.24772e+07;-0.183271;-3.00898
5.25982e+07;-0.183715;-3.01588
5.27194e+07;-0.18416;-3.02279
5.28409e+07;-0.184518;-3.02973
5.29628e+07;-0.184923;-3.03668
5.30849e+07;-0.185376;-3.04364
5.32072e+07;-0.186055;-3.05355
5.33299e+07;-0.186468;-3.06055
5.34528e+07;-0.186388;-3.06168
5.35761e+07;-0.187029;-3.07166
5.36996e+07;-0.187495;-3.07869
5.38234e+07;-0.187735;-3.08278
5.39474e+07;-0.188341;-3.09283
5.40718e+07;-0.18886;-3.09991
5.41964e+07;-0.189336;-3.10701
5.43214e+07;-0.189722;-3.11414
5.44466e+07;-0.189877;-3.11829
5.45721e+07;-0.19064;-3.12843
5.46979e+07;-0.191079;-3.1356
5.4824e+07;-0.191757;-3.14582
5.49504e+07;-0.192202;-3.15303
5.50771e+07;-0.192128;-3.15419
5.52041e+07;-0.192624;-3.16141
5.53313e+07;-0.193361;-3.1717
5.54589e+07;-0.193816;-3.17897
5.55867e+07;-0.194274;-3.18626
5.57149e+07;-0.194491;-3.19049
5.58433e+07;-0.195149;-3.20089
5.5972e+07;-0.19571;-3.20821
5.61011e+07;-0.19613;-3.21557
5.62304e+07;-0.196697;-3.22292
5.636e+07;-0.197122;-3.23032
5.649e+07;-0.197301;-3.23462
5.66202e+07;-0.198077;-3.24514
5.67507e+07;-0.198559;-3.25257
5.68815e+07;-0.199043;-3.26003
5.70127e+07;-0.199832;-3.27063
5.71441e+07;-0.200274;-3.27813
5.72758e+07;-0.231125;-3.2799
5.74079e+07;-0.231669;-3.28741
5.75402e+07;-0.232389;-3.29812
5.76729e+07;-0.232716;-3.30248
5.78058e+07;-0.233445;-3.31324
5.79391e+07;-0.263837;-3.31025
5.80726e+07;-0.234136;-3.32524
5.82065e+07;-0.234648;-3.33286
5.83407e+07;-0.265366;-3.33304
5.84752e+07;-0.23578;-3.34812
5.861e+07;-0.236201;-3.35581
5.87451e+07;-0.266871;-3.356
5.88805e+07;-0.237534;-3.37444
5.90163e+07;-0.238115;-3.38215
5.91523e+07;-0.238313;-3.38665
5.92887e+07;-0.239135;-3.39767
5.94253e+07;-0.239438;-3.40216
5.95623e+07;-0.240116;-3.41326
5.96996e+07;-0.240815;-3.42105
5.98373e+07;-0.241021;-3.42559
5.99752e+07;-0.241813;-3.43674
6.01135e+07;-0.242369;-3.44461
6.02521e+07;-0.27265;-3.44152
6.0391e+07;-0.243192;-3.45707
6.05302e+07;-0.243859;-3.46496
6.06697e+07;-0.244219;-3.47293
6.08096e+07;-0.244788;-3.48088
6.09498e+07;-0.245361;-3.48884
6.10903e+07;-0.246239;-3.50019
6.12311e+07;-0.246464;-3.50484
6.13723e+07;-0.247298;-3.51624
6.15137e+07;-0.247885;-3.52429
6.16555e+07;-0.248528;-3.53234
6.17977e+07;-0.248707;-3.53704
6.19401e+07;-0.250157;-3.55363
6.20829e+07;-0.249954;-3.55323
6.2226e+07;-0.250504;-3.56136
6.23695e+07;-0.251056;-3.56952
6.25133e+07;-0.252033;-3.58111
6.26574e+07;-0.25233;-3.58586
6.28018e+07;-0.252839;-3.59408
6.29466e+07;-0.25423;-3.61095
6.30917e+07;-0.254027;-3.61054
6.32372e+07;-0.25492;-3.62228
6.33829e+07;-0.25555;-3.63056
6.35291e+07;-0.256239;-3.63886
6.36755e+07;-0.256443;-3.64369
6.38223e+07;-0.257874;-3.6608
6.39694e+07;-0.257562;-3.6604
6.41169e+07;-0.258647;-3.67227
6.42647e+07;-0.259299;-3.68067
6.44129e+07;-0.289505;-3.67737
6.45613e+07;-0.260171;-3.69398
6.47102e+07;-0.260832;-3.70242
6.48594e+07;-0.292275;-3.71155
6.50089e+07;-0.32299;-3.71174
6.51587e+07;-0.293617;-3.72853
6.53089e+07;-0.294294;-3.73705
6.54595e+07;-0.294918;-3.7456
6.56104e+07;-0.325525;-3.74581
6.57617e+07;-0.296178;-3.76275
6.59133e+07;-0.296925;-3.77133
6.60652e+07;-0.297508;-3.77997
6.62175e+07;-0.298151;-3.78861
6.63702e+07;-0.29891;-3.79726
6.65232e+07;-0.329521;-3.79747
6.66765e+07;-0.330116;-3.80617
6.68302e+07;-0.33077;-3.81487
6.69843e+07;-0.331429;-3.82359
6.71387e+07;-0.302141;-3.84087
6.72935e+07;-0.302924;-3.84963
6.74486e+07;-0.303482;-3.85845
6.76041e+07;-0.304331;-3.86724
6.77599e+07;-0.30555;-3.88166
6.79162e+07;-0.306236;-3.89053
6.80727e+07;-0.306384;-3.89382
6.82296e+07;-0.30696;-3.90274
6.83869e+07;-0.308204;-3.91729
6.85446e+07;-0.308473;-3.92057
6.87026e+07;-0.309177;-3.92953
6.8861e+07;-0.309768;-3.93853
6.90197e+07;-0.340451;-3.93874
6.91788e+07;-0.341046;-3.94776
6.93383e+07;-0.34188;-3.95675
6.94982e+07;-0.342483;-3.96581
6.96584e+07;-0.313367;-3.98372
6.9819e+07;-0.314788;-3.99854
6.99799e+07;-0.315527;-4.00767
7.01412e+07;-0.315576;-4.01107
7.03029e+07;-0.316201;-4.02025
7.0465e+07;-0.317069;-4.02941
7.06274e+07;-0.317822;-4.03861
7.07903e+07;-0.318579;-4.04783
7.09534e+07;-0.319341;-4.05707
7.1117e+07;-0.319052;-4.0566
7.1281e+07;-0.321348;-4.0815
7.14453e+07;-0.322247;-4.09079
7.161e+07;-0.32243;-4.09424
7.17751e+07;-0.384119;-4.09513
7.19405e+07;-0.384661;-4.10453
7.21064e+07;-0.355951;-4.12501
7.22726e+07;-0.386243;-4.12328
7.24392e+07;-0.387164;-4.13266
7.26062e+07;-0.356973;-4.1414
7.27736e+07;-0.38865;-4.15157
7.29413e+07;-0.389338;-4.16106
7.31095e+07;-0.390154;-4.17055
7.3278e+07;-0.361509;-4.19135
7.3447e+07;-0.360801;-4.1889
7.36163e+07;-0.392504;-4.19918
7.3786e+07;-0.363887;-4.22012
7.39561e+07;-0.394301;-4.21832
7.41266e+07;-0.365975;-4.24346
7.42975e+07;-0.366432;-4.24905
7.44687e+07;-0.365195;-4.24251
7.46404e+07;-0.397577;-4.25695
7.48125e+07;-0.398313;-4.26668
7.49849e+07;-0.369637;-4.28798
7.51578e+07;-0.399925;-4.28618
7.53311e+07;-0.371395;-4.30754
7.55047e+07;-0.372281;-4.31736
7.56788e+07;-0.402568;-4.31555
7.58532e+07;-0.37394;-4.33708
7.60281e+07;-0.374841;-4.34696
7.62034e+07;-0.375748;-4.35687
7.6379e+07;-0.376948;-4.37102
7.65551e+07;-0.406814;-4.36498
7.67316e+07;-0.40773;-4.37492
7.69085e+07;-0.379031;-4.39678
7.70858e+07;-0.380093;-4.40676
7.72635e+07;-0.410377;-4.40491
7.74416e+07;-0.381839;-4.42688
7.76201e+07;-0.412254;-4.42499
7.77991e+07;-0.383473;-4.44712
7.79784e+07;-0.445196;-4.44807
7.81582e+07;-0.446154;-4.45819
7.83384e+07;-0.447118;-4.46834
7.8519e+07;-0.447955;-4.47854
7.87e+07;-0.417613;-4.48585
7.88814e+07;-0.449776;-4.49897
7.90632e+07;-0.419439;-4.50632
7.92455e+07;-0.451617;-4.5195
7.94282e+07;-0.422946;-4.53987
7.96113e+07;-0.45348;-4.54011
7.97948e+07;-0.454351;-4.55047
7.99788e+07;-0.424165;-4.55787
8.01631e+07;-0.45638;-4.57119
8.03479e+07;-0.457403;-4.58159
8.05332e+07;-0.458296;-4.59204
8.07188e+07;-0.459194;-4.60251
8.09049e+07;-0.460233;-4.61297
8.10914e+07;-0.431649;-4.63376
8.12783e+07;-0.430842;-4.63103
8.14657e+07;-0.462974;-4.6446
8.16535e+07;-0.464173;-4.65512
8.18418e+07;-0.465103;-4.66573
8.20304e+07;-0.466176;-4.67633
8.22195e+07;-0.437652;-4.69739
8.24091e+07;-0.468063;-4.69767
8.2599e+07;-0.439698;-4.71879
8.27895e+07;-0.470111;-4.71907
8.29803e+07;-0.441627;-4.74032
8.31716e+07;-0.440946;-4.73749
8.33633e+07;-0.473296;-4.75132
8.35555e+07;-0.474276;-4.76215
8.37481e+07;-0.506317;-4.77378
8.39412e+07;-0.476252;-4.78386
8.41347e+07;-0.508307;-4.79555
8.43287e+07;-0.478392;-4.80564
8.45231e+07;-0.478676;-4.80965
8.47179e+07;-0.511476;-4.82834
8.49132e+07;-0.483144;-4.85007
8.5109e+07;-0.482602;-4.84951
8.53052e+07;-0.514843;-4.86131
8.55018e+07;-0.515882;-4.87238
8.56989e+07;-0.486002;-4.88262
8.58965e+07;-0.486908;-4.89377
8.60945e+07;-0.519178;-4.90567
8.6293e+07;-0.520386;-4.9168
8.64919e+07;-0.521309;-4.92802
8.66913e+07;-0.491456;-4.93838
8.68911e+07;-0.492536;-4.94961
8.70915e+07;-0.524552;-4.96172
8.72922e+07;-0.525645;-4.973
8.74935e+07;-0.526891;-4.98427
8.76952e+07;-0.497063;-4.99475
8.78973e+07;-0.529108;-5.00696
8.81e+07;-0.530522;-5.01826
8.8303e+07;-0.500563;-5.02885
8.85066e+07;-0.532927;-5.04106
8.87106e+07;-0.504661;-5.06376
8.89152e+07;-0.53506;-5.06404
8.91201e+07;-0.536211;-5.07554
8.93256e+07;-0.536763;-5.0822
8.95315e+07;-0.538531;-5.09863
8.97379e+07;-0.539701;-5.11021
8.99448e+07;-0.540877;-5.12182
9.01521e+07;-0.54206;-5.13345
9.03599e+07;-0.543401;-5.14506
9.05682e+07;-0.544598;-5.15674
9.0777e+07;-0.545953;-5.16841
9.09863e+07;-0.546234;-5.17527
9.1196e+07;-0.548534;-5.19186
9.14063e+07;-0.580555;-5.20457
9.1617e+07;-0.550835;-5.21549
9.18282e+07;-0.552073;-5.22733
9.20399e+07;-0.552526;-5.23421
9.22521e+07;-0.554723;-5.25103
9.24647e+07;-0.586783;-5.26388
9.26779e+07;-0.556137;-5.26996
9.28915e+07;-0.557716;-5.28182
9.31057e+07;-0.590448;-5.29982
9.33203e+07;-0.560931;-5.31088
9.35355e+07;-0.561412;-5.31788
9.37511e+07;-0.563526;-5.33499
9.39672e+07;-0.59564;-5.34804
9.41838e+07;-0.565992;-5.35924
9.4401e+07;-0.598438;-5.37226
9.46186e+07;-0.599083;-5.37929
9.48367e+07;-0.599574;-5.38637
9.50553e+07;-0.602612;-5.40881
9.52745e+07;-0.602954;-5.41597
9.54941e+07;-0.604312;-5.42824
9.57142e+07;-0.606376;-5.44574
9.59349e+07;-0.60673;-5.45294
9.6156e+07;-0.607726;-5.45998
9.63777e+07;-0.610365;-5.48285
9.65999e+07;-0.643335;-5.49874
9.68226e+07;-0.613331;-5.50766
9.70458e+07;-0.614028;-5.51485
9.72695e+07;-0.616004;-5.53266
9.74937e+07;-0.617434;-5.54518
9.77185e+07;-0.617982;-5.55246
9.79438e+07;-0.620153;-5.57034
9.81695e+07;-0.621605;-5.58294
9.83959e+07;-0.622168;-5.59026
9.86227e+07;-0.624371;-5.60826
9.885e+07;-0.626012;-5.62089
9.90779e+07;-0.626423;-5.62831
9.93063e+07;-0.659054;-5.64195
9.95352e+07;-0.659624;-5.64935
9.97647e+07;-0.661128;-5.66212
9.99947e+07;-0.66341;-5.68033
1.00225e+08;-0.663828;-5.68783
1.00456e+08;-0.665522;-5.70063
1.00688e+08;-0.667838;-5.71896
1.0092e+08;-0.669219;-5.73193
1.01153e+08;-0.670775;-5.74487
1.01386e+08;-0.673776;-5.766
1.0162e+08;-0.672953;-5.76538
1.01854e+08;-0.675327;-5.78391
1.02089e+08;-0.677087;-5.79692
1.02324e+08;-0.678347;-5.8101
1.0256e+08;-0.679955;-5.82321
1.02796e+08;-0.682699;-5.84471
1.03033e+08;-0.715514;-5.85883
1.03271e+08;-0.685969;-5.87111
1.03509e+08;-0.686301;-5.87598
1.03747e+08;-0.717946;-5.88466
1.03987e+08;-0.719776;-5.89787
1.04226e+08;-0.722617;-5.91964
1.04467e+08;-0.724126;-5.93303
1.04707e+08;-0.724459;-5.93795
1.04949e+08;-0.72598;-5.95138
1.05191e+08;-0.727683;-5.96479
1.05433e+08;-0.729046;-5.97833
1.05676e+08;-0.730767;-5.9918
1.0592e+08;-0.731631;-5.99957
1.06164e+08;-0.734061;-6.01887
