"acfrequency";"r Z";"i Z"
5e+07;1.3559;1.0447
5.01153e+07;1.356;1.04711
5.02308e+07;1.35611;1.04952
5.03466e+07;1.35621;1.05194
5.04627e+07;1.35632;1.05436
5.0579e+07;1.35642;1.05679
5.06956e+07;1.35653;1.05922
5.08125e+07;1.35663;1.06166
5.09296e+07;1.35674;1.06411
5.1047e+07;1.35685;1.06656
5.11647e+07;1.35696;1.06902
5.12826e+07;1.35707;1.07148
5.14008e+07;1.35717;1.07395
5.15193e+07;1.35728;1.07643
5.16381e+07;1.35739;1.07891
5.17571e+07;1.3575;1.08139
5.18765e+07;1.35761;1.08388
5.19961e+07;1.35773;1.08638
5.21159e+07;1.35784;1.08888
5.22361e+07;1.35795;1.09139
5.23565e+07;1.35806;1.09391
5.24772e+07;1.35818;1.09643
5.25982e+07;1.35829;1.09895
5.27194e+07;1.35841;1.10148
5.28409e+07;1.35852;1.10402
5.29628e+07;1.35864;1.10656
5.30849e+07;1.35875;1.10911
5.32072e+07;1.35887;1.11167
5.33299e+07;1.35899;1.11423
5.34528e+07;1.3591;1.1168
5.35761e+07;1.35922;1.11937
5.36996e+07;1.35934;1.12195
5.38234e+07;1.35946;1.12453
5.39474e+07;1.35958;1.12712
5.40718e+07;1.3597;1.12972
5.41964e+07;1.35982;1.13232
5.43214e+07;1.35994;1.13493
5.44466e+07;1.36007;1.13755
5.45721e+07;1.36019;1.14017
5.46979e+07;1.36031;1.14279
5.4824e+07;1.36044;1.14543
5.49504e+07;1.36056;1.14807
5.50771e+07;1.36069;1.15071
5.52041e+07;1.36081;1.15336
5.53313e+07;1.36094;1.15602
5.54589e+07;1.36107;1.15868
5.55867e+07;1.36119;1.16135
5.57149e+07;1.36132;1.16403
5.58433e+07;1.36145;1.16671
5.5972e+07;1.36158;1.16939
5.61011e+07;1.36171;1.17209
5.62304e+07;1.36184;1.17479
5.636e+07;1.36197;1.17749
5.649e+07;1.3621;1.18021
5.66202e+07;1.36223;1.18293
5.67507e+07;1.36237;1.18565
5.68815e+07;1.3625;1.18838
5.70127e+07;1.36263;1.19112
5.71441e+07;1.36277;1.19386
5.72758e+07;1.3629;1.19661
5.74079e+07;1.36304;1.19937
5.75402e+07;1.36318;1.20213
5.76729e+07;1.36331;1.2049
5.78058e+07;1.36345;1.20768
5.79391e+07;1.36359;1.21046
5.80726e+07;1.36373;1.21325
5.82065e+07;1.36387;1.21604
5.83407e+07;1.36401;1.21884
5.84752e+07;1.36415;1.22165
5.861e+07;1.36429;1.22447
5.87451e+07;1.36443;1.22729
5.88805e+07;1.36458;1.23011
5.90163e+07;1.36472;1.23295
5.91523e+07;1.36486;1.23579
5.92887e+07;1.36501;1.23863
5.94253e+07;1.36515;1.24149
5.95623e+07;1.3653;1.24435
5.96996e+07;1.36545;1.24721
5.98373e+07;1.36559;1.25009
5.99752e+07;1.36574;1.25296
6.01135e+07;1.36589;1.25585
6.02521e+07;1.36604;1.25874
6.0391e+07;1.36619;1.26164
6.05302e+07;1.36634;1.26455
6.06697e+07;1.3665;1.26746
6.08096e+07;1.36665;1.27038
6.09498e+07;1.3668;1.27331
6.10903e+07;1.36695;1.27624
6.12311e+07;1.36711;1.27918
6.13723e+07;1.36726;1.28213
6.15137e+07;1.36742;1.28508
6.16555e+07;1.36758;1.28804
6.17977e+07;1.36773;1.29101
6.19401e+07;1.36789;1.29398
6.20829e+07;1.36805;1.29696
6.2226e+07;1.36821;1.29995
6.23695e+07;1.36837;1.30294
6.25133e+07;1.36853;1.30594
6.26574e+07;1.36869;1.30895
6.28018e+07;1.36886;1.31196
6.29466e+07;1.36902;1.31499
6.30917e+07;1.36918;1.31801
6.32372e+07;1.36935;1.32105
6.33829e+07;1.36952;1.32409
6.35291e+07;1.36968;1.32714
6.36755e+07;1.36985;1.3302
6.38223e+07;1.37002;1.33326
6.39694e+07;1.37019;1.33633
6.41169e+07;1.37035;1.33941
6.42647e+07;1.37052;1.3425
6.44129e+07;1.3707;1.34559
6.45613e+07;1.37087;1.34869
6.47102e+07;1.37104;1.35179
6.48594e+07;1.37121;1.35491
6.50089e+07;1.37139;1.35803
6.51587e+07;1.37156;1.36115
6.53089e+07;1.37174;1.36429
6.54595e+07;1.37192;1.36743
6.56104e+07;1.37209;1.37058
6.57617e+07;1.37227;1.37374
6.59133e+07;1.37245;1.3769
6.60652e+07;1.37263;1.38007
6.62175e+07;1.37281;1.38325
6.63702e+07;1.37299;1.38644
6.65232e+07;1.37318;1.38963
6.66765e+07;1.37336;1.39283
