"acfrequency";"r Z";"i Z"
5e+07;1.35589;1.04458
5.01153e+07;1.356;1.04698
5.02308e+07;1.3561;1.04939
5.03466e+07;1.35621;1.05181
5.04627e+07;1.35631;1.05423
5.0579e+07;1.35642;1.05666
5.06956e+07;1.35652;1.0591
5.08125e+07;1.35663;1.06154
5.09296e+07;1.35674;1.06398
5.1047e+07;1.35684;1.06643
5.11647e+07;1.35695;1.06889
5.12826e+07;1.35706;1.07135
5.14008e+07;1.35717;1.07382
5.15193e+07;1.35728;1.07629
5.16381e+07;1.35739;1.07877
5.17571e+07;1.3575;1.08126
5.18765e+07;1.35761;1.08375
5.19961e+07;1.35772;1.08624
5.21159e+07;1.35783;1.08874
5.22361e+07;1.35794;1.09125
5.23565e+07;1.35806;1.09377
5.24772e+07;1.35817;1.09628
5.25982e+07;1.35829;1.09881
5.27194e+07;1.3584;1.10134
5.28409e+07;1.35851;1.10388
5.29628e+07;1.35863;1.10642
5.30849e+07;1.35875;1.10897
5.32072e+07;1.35886;1.11152
5.33299e+07;1.35898;1.11408
5.34528e+07;1.3591;1.11665
5.35761e+07;1.35922;1.11922
5.36996e+07;1.35934;1.1218
5.38234e+07;1.35945;1.12438
5.39474e+07;1.35957;1.12697
5.40718e+07;1.35969;1.12957
5.41964e+07;1.35982;1.13217
5.43214e+07;1.35994;1.13477
5.44466e+07;1.36006;1.13739
5.45721e+07;1.36018;1.14001
5.46979e+07;1.36031;1.14263
5.4824e+07;1.36043;1.14527
5.49504e+07;1.36055;1.1479
5.50771e+07;1.36068;1.15055
5.52041e+07;1.3608;1.1532
5.53313e+07;1.36093;1.15585
5.54589e+07;1.36106;1.15851
5.55867e+07;1.36118;1.16118
5.57149e+07;1.36131;1.16386
5.58433e+07;1.36144;1.16654
5.5972e+07;1.36157;1.16922
5.61011e+07;1.3617;1.17192
5.62304e+07;1.36183;1.17461
5.636e+07;1.36196;1.17732
5.649e+07;1.36209;1.18003
5.66202e+07;1.36222;1.18275
5.67507e+07;1.36236;1.18547
5.68815e+07;1.36249;1.1882
5.70127e+07;1.36262;1.19094
5.71441e+07;1.36276;1.19368
5.72758e+07;1.36289;1.19643
5.74079e+07;1.36303;1.19919
5.75402e+07;1.36317;1.20195
5.76729e+07;1.3633;1.20471
5.78058e+07;1.36344;1.20749
5.79391e+07;1.36358;1.21027
5.80726e+07;1.36372;1.21306
5.82065e+07;1.36386;1.21585
5.83407e+07;1.364;1.21865
5.84752e+07;1.36414;1.22146
5.861e+07;1.36428;1.22427
5.87451e+07;1.36442;1.22709
5.88805e+07;1.36457;1.22991
5.90163e+07;1.36471;1.23275
5.91523e+07;1.36485;1.23558
5.92887e+07;1.365;1.23843
5.94253e+07;1.36514;1.24128
5.95623e+07;1.36529;1.24414
5.96996e+07;1.36544;1.247
5.98373e+07;1.36558;1.24988
5.99752e+07;1.36573;1.25275
6.01135e+07;1.36588;1.25564
6.02521e+07;1.36603;1.25853
6.0391e+07;1.36618;1.26143
6.05302e+07;1.36633;1.26433
6.06697e+07;1.36648;1.26724
6.08096e+07;1.36664;1.27016
6.09498e+07;1.36679;1.27309
6.10903e+07;1.36694;1.27602
6.12311e+07;1.3671;1.27895
6.13723e+07;1.36725;1.2819
6.15137e+07;1.36741;1.28485
6.16555e+07;1.36756;1.28781
6.17977e+07;1.36772;1.29077
6.19401e+07;1.36788;1.29375
6.20829e+07;1.36804;1.29673
6.2226e+07;1.3682;1.29971
6.23695e+07;1.36836;1.3027
6.25133e+07;1.36852;1.3057
6.26574e+07;1.36868;1.30871
6.28018e+07;1.36884;1.31172
6.29466e+07;1.36901;1.31474
6.30917e+07;1.36917;1.31777
6.32372e+07;1.36934;1.3208
6.33829e+07;1.3695;1.32384
6.35291e+07;1.36967;1.32689
6.36755e+07;1.36983;1.32995
