frequency;r S[1,1];i S[1,1];;;;;;
2,03E+14;0.0204576;-0.128131;0.0961679;-0.28966;0.0961679;-0.28966;0.0961679;-0.28966
2,05E+14;0.0200114;-0.126442;0.0961680;-0.28967;0.0961680;-0.28967;0.0961680;-0.28967
2,06E+14;0.0195771;-0.124776;0.0961681;-0.28968;0.0961681;-0.28968;0.0961681;-0.28968
2,08E+14;0.0191545;-0.123131;0.0961682;-0.28969;0.0961682;-0.28969;0.0961682;-0.28969
2,10E+13;0.0187432;-0.121507;0.0961683;-0.28970;0.0961683;-0.28970;0.0961683;-0.28970
2,12E+14;0.0183427;-0.119903;0.0961684;-0.28971;0.0961684;-0.28971;0.0961684;-0.28971
2,14E+14;0.0179528;-0.11832;0.0961685;-0.28972;0.0961685;-0.28972;0.0961685;-0.28972
2,15E+14;0.0175731;-0.116756;0.0961686;-0.28973;0.0961686;-0.28973;0.0961686;-0.28973
2,17E+14;0.0172033;-0.115211;0.0961687;-0.28974;0.0961687;-0.28974;0.0961687;-0.28974
2,19E+14;0.0168431;-0.113686;0.0961688;-0.28975;0.0961688;-0.28975;0.0961688;-0.28975
2,21E+14;0.0164922;-0.112178;0.0961689;-0.28976;0.0961689;-0.28976;0.0961689;-0.28976
2,23E+14;0.0161503;-0.110689;0.0961690;-0.28977;0.0961690;-0.28977;0.0961690;-0.28977
2,24E+14;0.0158172;-0.109216;0.0961691;-0.28978;0.0961691;-0.28978;0.0961691;-0.28978
2,26E+14;0.0154926;-0.107762;0.0961692;-0.28979;0.0961692;-0.28979;0.0961692;-0.28979
2,28E+14;0.0151762;-0.106323;0.0961693;-0.28980;0.0961693;-0.28980;0.0961693;-0.28980
2,30E+13;0.0148678;-0.104902;0.0961694;-0.28981;0.0961694;-0.28981;0.0961694;-0.28981
2,32E+14;0.0145671;-0.103496;0.0961695;-0.28982;0.0961695;-0.28982;0.0961695;-0.28982
2,33E+14;0.014274;-0.102106;0.0961696;-0.28983;0.0961696;-0.28983;0.0961696;-0.28983
2,35E+14;0.0139882;-0.100732;0.0961697;-0.28984;0.0961697;-0.28984;0.0961697;-0.28984
2,37E+14;0.0137095;-0.0993727;0.0961698;-0.28985;0.0961698;-0.28985;0.0961698;-0.28985
2,39E+14;0.0134377;-0.0980281;0.0961699;-0.28986;0.0961699;-0.28986;0.0961699;-0.28986
2,41E+14;0.0131726;-0.0966981;0.0961700;-0.28987;0.0961700;-0.28987;0.0961700;-0.28987
2,42E+14;0.0129141;-0.0953822;0.0961701;-0.28988;0.0961701;-0.28988;0.0961701;-0.28988
2,44E+14;0.0126619;-0.0940802;0.0961702;-0.28989;0.0961702;-0.28989;0.0961702;-0.28989
2,46E+14;0.0124159;-0.0927919;0.0961703;-0.28990;0.0961703;-0.28990;0.0961703;-0.28990
2,48E+14;0.0121758;-0.0915168;0.0961704;-0.28991;0.0961704;-0.28991;0.0961704;-0.28991
2,50E+14;0.0119417;-0.0902549;0.0961705;-0.28992;0.0961705;-0.28992;0.0961705;-0.28992
2,52E+14;0.0117132;-0.0890057;0.0961706;-0.28993;0.0961706;-0.28993;0.0961706;-0.28993
2,53E+14;0.0114902;-0.0877691;0.0961707;-0.28994;0.0961707;-0.28994;0.0961707;-0.28994
2,55E+13;0.0112727;-0.0865449;0.0961708;-0.28995;0.0961708;-0.28995;0.0961708;-0.28995
2,57E+14;0.0110604;-0.0853327;0.0961709;-0.28996;0.0961709;-0.28996;0.0961709;-0.28996
2,59E+14;0.0108532;-0.0841323;0.0961710;-0.28997;0.0961710;-0.28997;0.0961710;-0.28997
2,61E+14;0.010651;-0.0829436;0.0961711;-0.28998;0.0961711;-0.28998;0.0961711;-0.28998
2,62E+14;0.0104536;-0.0817662;0.0961712;-0.28999;0.0961712;-0.28999;0.0961712;-0.28999
2,64E+14;0.010261;-0.0806;0.0961713;-0.29000;0.0961713;-0.29000;0.0961713;-0.29000
2,66E+14;0.010073;-0.0794448;0.0961714;-0.29001;0.0961714;-0.29001;0.0961714;-0.29001
2,68E+14;0.00988946;-0.0783004;0.0961715;-0.29002;0.0961715;-0.29002;0.0961715;-0.29002
2,70E+14;0.00971033;-0.0771665;0.0961716;-0.29003;0.0961716;-0.29003;0.0961716;-0.29003
2,71E+14;0.00953547;-0.0760429;0.0961717;-0.29004;0.0961717;-0.29004;0.0961717;-0.29004
2,73E+14;0.00936479;-0.0749295;0.0961718;-0.29005;0.0961718;-0.29005;0.0961718;-0.29005
2,75E+13;0.00919818;-0.0738261;0.0961719;-0.29006;0.0961719;-0.29006;0.0961719;-0.29006
2,77E+14;0.00903553;-0.0727325;0.0961720;-0.29007;0.0961720;-0.29007;0.0961720;-0.29007
2,79E+14;0.00887677;-0.0716485;0.0961721;-0.29008;0.0961721;-0.29008;0.0961721;-0.29008
2,80E+14;0.00872179;-0.070574;0.0961722;-0.29009;0.0961722;-0.29009;0.0961722;-0.29009
2,82E+14;0.00857051;-0.0695088;0.0961723;-0.29010;0.0961723;-0.29010;0.0961723;-0.29010
2,84E+14;0.00842284;-0.0684526;0.0961724;-0.29011;0.0961724;-0.29011;0.0961724;-0.29011
2,86E+14;0.0082787;-0.0674054;0.0961725;-0.29012;0.0961725;-0.29012;0.0961725;-0.29012
2,88E+14;0.008138;-0.066367;0.0961726;-0.29013;0.0961726;-0.29013;0.0961726;-0.29013
2,89E+14;0.00800067;-0.0653372;0.0961727;-0.29014;0.0961727;-0.29014;0.0961727;-0.29014
2,91E+14;0.00786662;-0.064316;0.0961728;-0.29015;0.0961728;-0.29015;0.0961728;-0.29015
2,93E+14;0.00773579;-0.063303;0.0961729;-0.29016;0.0961729;-0.29016;0.0961729;-0.29016
2,95E+13;0.00760811;-0.0622983;0.0961730;-0.29017;0.0961730;-0.29017;0.0961730;-0.29017
2,97E+14;0.0074835;-0.0613016;0.0961731;-0.29018;0.0961731;-0.29018;0.0961731;-0.29018
2,98E+14;0.00736189;-0.0603128;0.0961732;-0.29019;0.0961732;-0.29019;0.0961732;-0.29019
3,00E+12;0.00724323;-0.0593318;0.0961733;-0.29020;0.0961733;-0.29020;0.0961733;-0.29020
3,02E+14;0.00712744;-0.0583585;0.0961734;-0.29021;0.0961734;-0.29021;0.0961734;-0.29021
3,04E+14;0.00701446;-0.0573926;0.0961735;-0.29022;0.0961735;-0.29022;0.0961735;-0.29022
3,06E+14;0.00690424;-0.0564342;0.0961736;-0.29023;0.0961736;-0.29023;0.0961736;-0.29023
3,07E+14;0.00679671;-0.0554831;0.0961737;-0.29024;0.0961737;-0.29024;0.0961737;-0.29024
3,09E+14;0.00669183;-0.0545391;0.0961738;-0.29025;0.0961738;-0.29025;0.0961738;-0.29025
3,11E+14;0.00658952;-0.0536021;0.0961739;-0.29026;0.0961739;-0.29026;0.0961739;-0.29026
3,13E+14;0.00648975;-0.052672;0.0961740;-0.29027;0.0961740;-0.29027;0.0961740;-0.29027
3,15E+14;0.00639245;-0.0517488;0.0961741;-0.29028;0.0961741;-0.29028;0.0961741;-0.29028
3,16E+14;0.00629757;-0.0508323;0.0961742;-0.29029;0.0961742;-0.29029;0.0961742;-0.29029
3,18E+14;0.00620508;-0.0499223;0.0961743;-0.29030;0.0961743;-0.29030;0.0961743;-0.29030
