frequency;r S[1,1];i S[1,1];;;;;;
5,51E+14;0.00493868;0.0351463;0.0961872;-0.29159;0.0961872;-0.29159;0.0961872;-0.29159
5,53E+14;0.00497516;0.0356585;0.0961873;-0.29160;0.0961873;-0.29160;0.0961873;-0.29160
5,55E+14;0.00501208;0.0361692;0.0961874;-0.29161;0.0961874;-0.29161;0.0961874;-0.29161
5,56E+14;0.00504943;0.0366787;0.0961875;-0.29162;0.0961875;-0.29162;0.0961875;-0.29162
5,58E+14;0.00508721;0.0371868;0.0961876;-0.29163;0.0961876;-0.29163;0.0961876;-0.29163
5,60E+13;0.00512541;0.0376936;0.0961877;-0.29164;0.0961877;-0.29164;0.0961877;-0.29164
5,62E+14;0.00516402;0.0381991;0.0961878;-0.29165;0.0961878;-0.29165;0.0961878;-0.29165
5,64E+14;0.00520306;0.0387033;0.0961879;-0.29166;0.0961879;-0.29166;0.0961879;-0.29166
5,65E+14;0.00524251;0.0392063;0.0961880;-0.29167;0.0961880;-0.29167;0.0961880;-0.29167
5,67E+14;0.00528237;0.0397079;0.0961881;-0.29168;0.0961881;-0.29168;0.0961881;-0.29168
5,69E+14;0.00532264;0.0402084;0.0961882;-0.29169;0.0961882;-0.29169;0.0961882;-0.29169
5,71E+14;0.00536332;0.0407075;0.0961883;-0.29170;0.0961883;-0.29170;0.0961883;-0.29170
5,73E+14;0.0054044;0.0412055;0.0961884;-0.29171;0.0961884;-0.29171;0.0961884;-0.29171
5,74E+14;0.00544588;0.0417022;0.0961885;-0.29172;0.0961885;-0.29172;0.0961885;-0.29172
5,76E+14;0.00548775;0.0421977;0.0961886;-0.29173;0.0961886;-0.29173;0.0961886;-0.29173
5,78E+14;0.00553003;0.0426921;0.0961887;-0.29174;0.0961887;-0.29174;0.0961887;-0.29174
5,80E+13;0.00557269;0.0431852;0.0961888;-0.29175;0.0961888;-0.29175;0.0961888;-0.29175
5,82E+14;0.00561574;0.0436771;0.0961889;-0.29176;0.0961889;-0.29176;0.0961889;-0.29176
5,83E+14;0.00565919;0.0441679;0.0961890;-0.29177;0.0961890;-0.29177;0.0961890;-0.29177
5,85E+13;0.00570301;0.0446575;0.0961891;-0.29178;0.0961891;-0.29178;0.0961891;-0.29178
5,87E+14;0.00574722;0.045146;0.0961892;-0.29179;0.0961892;-0.29179;0.0961892;-0.29179
5,89E+14;0.00579181;0.0456333;0.0961893;-0.29180;0.0961893;-0.29180;0.0961893;-0.29180
5,91E+14;0.00583678;0.0461195;0.0961894;-0.29181;0.0961894;-0.29181;0.0961894;-0.29181
5,92E+14;0.00588212;0.0466046;0.0961895;-0.29182;0.0961895;-0.29182;0.0961895;-0.29182
5,94E+14;0.00592783;0.0470886;0.0961896;-0.29183;0.0961896;-0.29183;0.0961896;-0.29183
5,96E+14;0.00597392;0.0475714;0.0961897;-0.29184;0.0961897;-0.29184;0.0961897;-0.29184
5,98E+14;0.00602037;0.0480532;0.0961898;-0.29185;0.0961898;-0.29185;0.0961898;-0.29185
6,00E+14;0.0060672;0.0485339;0.0961899;-0.29186;0.0961899;-0.29186;0.0961899;-0.29186
6,01E+14;0.00611438;0.0490135;0.0961900;-0.29187;0.0961900;-0.29187;0.0961900;-0.29187
6,03E+14;0.00616193;0.049492;0.0961901;-0.29188;0.0961901;-0.29188;0.0961901;-0.29188
6,05E+13;0.00620983;0.0499695;0.0961902;-0.29189;0.0961902;-0.29189;0.0961902;-0.29189
6,07E+14;0.0062581;0.050446;0.0961903;-0.29190;0.0961903;-0.29190;0.0961903;-0.29190
6,09E+14;0.00630672;0.0509213;0.0961904;-0.29191;0.0961904;-0.29191;0.0961904;-0.29191
6,10E+14;0.00635569;0.0513957;0.0961905;-0.29192;0.0961905;-0.29192;0.0961905;-0.29192
6,12E+14;0.00640502;0.051869;0.0961906;-0.29193;0.0961906;-0.29193;0.0961906;-0.29193
6,14E+14;0.0064547;0.0523414;0.0961907;-0.29194;0.0961907;-0.29194;0.0961907;-0.29194
6,16E+14;0.00650472;0.0528127;0.0961908;-0.29195;0.0961908;-0.29195;0.0961908;-0.29195
6,18E+14;0.00655509;0.053283;0.0961909;-0.29196;0.0961909;-0.29196;0.0961909;-0.29196
6,19E+14;0.0066058;0.0537523;0.0961910;-0.29197;0.0961910;-0.29197;0.0961910;-0.29197
6,21E+14;0.00665686;0.0542207;0.0961911;-0.29198;0.0961911;-0.29198;0.0961911;-0.29198
6,23E+14;0.00670826;0.054688;0.0961912;-0.29199;0.0961912;-0.29199;0.0961912;-0.29199
6,25E+13;0.00675999;0.0551544;0.0961913;-0.29200;0.0961913;-0.29200;0.0961913;-0.29200
6,27E+14;0.00681206;0.0556198;0.0961914;-0.29201;0.0961914;-0.29201;0.0961914;-0.29201
6,28E+14;0.00686447;0.0560843;0.0961915;-0.29202;0.0961915;-0.29202;0.0961915;-0.29202
6,30E+14;0.00691721;0.0565478;0.0961916;-0.29203;0.0961916;-0.29203;0.0961916;-0.29203
6,32E+14;0.00697028;0.0570104;0.0961917;-0.29204;0.0961917;-0.29204;0.0961917;-0.29204
6,34E+14;0.00702369;0.0574721;0.0961918;-0.29205;0.0961918;-0.29205;0.0961918;-0.29205
6,36E+14;0.00707742;0.0579328;0.0961919;-0.29206;0.0961919;-0.29206;0.0961919;-0.29206
6,37E+14;0.00713147;0.0583926;0.0961920;-0.29207;0.0961920;-0.29207;0.0961920;-0.29207
6,39E+14;0.00718585;0.0588516;0.0961921;-0.29208;0.0961921;-0.29208;0.0961921;-0.29208
6,41E+14;0.00724056;0.0593096;0.0961922;-0.29209;0.0961922;-0.29209;0.0961922;-0.29209
6,43E+14;0.00729559;0.0597667;0.0961923;-0.29210;0.0961923;-0.29210;0.0961923;-0.29210
6,45E+14;0.00735093;0.0602229;0.0961924;-0.29211;0.0961924;-0.29211;0.0961924;-0.29211
6,46E+14;0.0074066;0.0606782;0.0961925;-0.29212;0.0961925;-0.29212;0.0961925;-0.29212
6,48E+14;0.00746258;0.0611327;0.0961926;-0.29213;0.0961926;-0.29213;0.0961926;-0.29213
6,50E+12;0.00751888;0.0615862;0.0961927;-0.29214;0.0961927;-0.29214;0.0961927;-0.29214
6,52E+14;0.00757549;0.062039;0.0961928;-0.29215;0.0961928;-0.29215;0.0961928;-0.29215
6,54E+14;0.00763242;0.0624908;0.0961929;-0.29216;0.0961929;-0.29216;0.0961929;-0.29216
6,56E+14;0.00768965;0.0629418;0.0961930;-0.29217;0.0961930;-0.29217;0.0961930;-0.29217
6,57E+14;0.0077472;0.063392;0.0961931;-0.29218;0.0961931;-0.29218;0.0961931;-0.29218
6,59E+14;0.00780505;0.0638413;0.0961932;-0.29219;0.0961932;-0.29219;0.0961932;-0.29219
6,61E+14;0.00786322;0.0642898;0.0961933;-0.29220;0.0961933;-0.29220;0.0961933;-0.29220
6,63E+14;0.00792168;0.0647375;0.0961934;-0.29221;0.0961934;-0.29221;0.0961934;-0.29221
6,65E+14;0.00798045;0.0651843;0.0961935;-0.29222;0.0961935;-0.29222;0.0961935;-0.29222
6,66E+14;0.00803953;0.0656303;0.0961936;-0.29223;0.0961936;-0.29223;0.0961936;-0.29223
6,68E+14;0.00809891;0.0660755;0.0961937;-0.29224;0.0961937;-0.29224;0.0961937;-0.29224
6,70E+13;0.00815858;0.06652;0.0961938;-0.29225;0.0961938;-0.29225;0.0961938;-0.29225
6,72E+14;0.00821856;0.0669636;0.0961939;-0.29226;0.0961939;-0.29226;0.0961939;-0.29226
6,74E+14;0.00827883;0.0674064;0.0961940;-0.29227;0.0961940;-0.29227;0.0961940;-0.29227
6,75E+14;0.0083394;0.0678484;0.0961941;-0.29228;0.0961941;-0.29228;0.0961941;-0.29228
6,77E+14;0.00840027;0.0682897;0.0961942;-0.29229;0.0961942;-0.29229;0.0961942;-0.29229
6,79E+14;0.00846143;0.0687302;0.0961943;-0.29230;0.0961943;-0.29230;0.0961943;-0.29230
6,81E+14;0.00852288;0.0691699;0.0961944;-0.29231;0.0961944;-0.29231;0.0961944;-0.29231
6,83E+14;0.00858462;0.0696088;0.0961945;-0.29232;0.0961945;-0.29232;0.0961945;-0.29232
6,84E+14;0.00864666;0.070047;0.0961946;-0.29233;0.0961946;-0.29233;0.0961946;-0.29233
6,86E+14;0.00870898;0.0704844;0.0961947;-0.29234;0.0961947;-0.29234;0.0961947;-0.29234
6,88E+14;0.00877159;0.0709211;0.0961948;-0.29235;0.0961948;-0.29235;0.0961948;-0.29235
6,90E+13;0.00883449;0.071357;0.0961949;-0.29236;0.0961949;-0.29236;0.0961949;-0.29236
6,92E+14;0.00889767;0.0717922;0.0961950;-0.29237;0.0961950;-0.29237;0.0961950;-0.29237
6,93E+14;0.00896114;0.0722267;0.0961951;-0.29238;0.0961951;-0.29238;0.0961951;-0.29238
6,95E+13;0.0090249;0.0726604;0.0961952;-0.29239;0.0961952;-0.29239;0.0961952;-0.29239
6,97E+14;0.00908893;0.0730934;0.0961953;-0.29240;0.0961953;-0.29240;0.0961953;-0.29240
6,99E+14;0.00915325;0.0735257;0.0961954;-0.29241;0.0961954;-0.29241;0.0961954;-0.29241
7,01E+14;0.00921785;0.0739573;0.0961955;-0.29242;0.0961955;-0.29242;0.0961955;-0.29242
7,02E+14;0.00928272;0.0743881;0.0961956;-0.29243;0.0961956;-0.29243;0.0961956;-0.29243
7,04E+14;0.00934788;0.0748183;0.0961957;-0.29244;0.0961957;-0.29244;0.0961957;-0.29244
7,06E+14;0.00941331;0.0752477;0.0961958;-0.29245;0.0961958;-0.29245;0.0961958;-0.29245
7,08E+14;0.00947902;0.0756765;0.0961959;-0.29246;0.0961959;-0.29246;0.0961959;-0.29246
7,10E+14;0.009545;0.0761046;0.0961960;-0.29247;0.0961960;-0.29247;0.0961960;-0.29247
7,11E+14;0.00961126;0.0765319;0.0961961;-0.29248;0.0961961;-0.29248;0.0961961;-0.29248
7,13E+14;0.00967779;0.0769586;0.0961962;-0.29249;0.0961962;-0.29249;0.0961962;-0.29249
7,15E+13;0.00974459;0.0773847;0.0961963;-0.29250;0.0961963;-0.29250;0.0961963;-0.29250
7,17E+14;0.00981167;0.07781;0.0961964;-0.29251;0.0961964;-0.29251;0.0961964;-0.29251
7,19E+14;0.00987901;0.0782347;0.0961965;-0.29252;0.0961965;-0.29252;0.0961965;-0.29252
7,20E+14;0.00994663;0.0786587;0.0961966;-0.29253;0.0961966;-0.29253;0.0961966;-0.29253
7,22E+14;0.0100145;0.079082;0.0961967;-0.29254;0.0961967;-0.29254;0.0961967;-0.29254
7,24E+14;0.0100827;0.0795047;0.0961968;-0.29255;0.0961968;-0.29255;0.0961968;-0.29255
7,26E+14;0.0101511;0.0799267;0.0961969;-0.29256;0.0961969;-0.29256;0.0961969;-0.29256
7,28E+14;0.0102198;0.0803481;0.0961970;-0.29257;0.0961970;-0.29257;0.0961970;-0.29257
7,29E+14;0.0102887;0.0807689;0.0961971;-0.29258;0.0961971;-0.29258;0.0961971;-0.29258
7,31E+14;0.0103579;0.081189;0.0961972;-0.29259;0.0961972;-0.29259;0.0961972;-0.29259
7,33E+14;0.0104274;0.0816084;0.0961973;-0.29260;0.0961973;-0.29260;0.0961973;-0.29260
7,35E+13;0.0104971;0.0820273;0.0961974;-0.29261;0.0961974;-0.29261;0.0961974;-0.29261
7,37E+14;0.0105671;0.0824455;0.0961975;-0.29262;0.0961975;-0.29262;0.0961975;-0.29262
7,38E+14;0.0106374;0.0828631;0.0961976;-0.29263;0.0961976;-0.29263;0.0961976;-0.29263
7,40E+14;0.0107079;0.08328;0.0961977;-0.29264;0.0961977;-0.29264;0.0961977;-0.29264
7,42E+14;0.0107787;0.0836964;0.0961978;-0.29265;0.0961978;-0.29265;0.0961978;-0.29265
7,44E+14;0.0108497;0.0841121;0.0961979;-0.29266;0.0961979;-0.29266;0.0961979;-0.29266
7,46E+14;0.010921;0.0845272;0.0961980;-0.29267;0.0961980;-0.29267;0.0961980;-0.29267
7,47E+14;0.0109926;0.0849417;0.0961981;-0.29268;0.0961981;-0.29268;0.0961981;-0.29268
7,49E+14;0.0110644;0.0853556;0.0961982;-0.29269;0.0961982;-0.29269;0.0961982;-0.29269
7,51E+14;0.0111364;0.0857689;0.0961983;-0.29270;0.0961983;-0.29270;0.0961983;-0.29270
7,53E+14;0.0112087;0.0861816;0.0961984;-0.29271;0.0961984;-0.29271;0.0961984;-0.29271
7,55E+14;0.0112813;0.0865938;0.0961985;-0.29272;0.0961985;-0.29272;0.0961985;-0.29272
7,57E+14;0.0113541;0.0870053;0.0961986;-0.29273;0.0961986;-0.29273;0.0961986;-0.29273
7,58E+14;0.0114272;0.0874162;0.0961987;-0.29274;0.0961987;-0.29274;0.0961987;-0.29274
7,60E+13;0.0115005;0.0878266;0.0961988;-0.29275;0.0961988;-0.29275;0.0961988;-0.29275
7,62E+14;0.0115741;0.0882364;0.0961989;-0.29276;0.0961989;-0.29276;0.0961989;-0.29276
7,64E+14;0.0116479;0.0886456;0.0961990;-0.29277;0.0961990;-0.29277;0.0961990;-0.29277
7,66E+14;0.011722;0.0890543;0.0961991;-0.29278;0.0961991;-0.29278;0.0961991;-0.29278
7,67E+14;0.0117963;0.0894623;0.0961992;-0.29279;0.0961992;-0.29279;0.0961992;-0.29279
7,69E+14;0.0118709;0.0898698;0.0961993;-0.29280;0.0961993;-0.29280;0.0961993;-0.29280
7,71E+14;0.0119457;0.0902768;0.0961994;-0.29281;0.0961994;-0.29281;0.0961994;-0.29281
7,73E+14;0.0120208;0.0906832;0.0961995;-0.29282;0.0961995;-0.29282;0.0961995;-0.29282
7,75E+14;0.0120961;0.091089;0.0961996;-0.29283;0.0961996;-0.29283;0.0961996;-0.29283
7,76E+14;0.0121716;0.0914943;0.0961997;-0.29284;0.0961997;-0.29284;0.0961997;-0.29284
7,78E+14;0.0122474;0.091899;0.0961998;-0.29285;0.0961998;-0.29285;0.0961998;-0.29285
7,80E+13;0.0123235;0.0923032;0.0961999;-0.29286;0.0961999;-0.29286;0.0961999;-0.29286
7,82E+14;0.0123997;0.0927068;0.0962000;-0.29287;0.0962000;-0.29287;0.0962000;-0.29287
7,84E+14;0.0124763;0.0931099;0.0962001;-0.29288;0.0962001;-0.29288;0.0962001;-0.29288
7,85E+14;0.012553;0.0935125;0.0962002;-0.29289;0.0962002;-0.29289;0.0962002;-0.29289
7,87E+14;0.01263;0.0939145;0.0962003;-0.29290;0.0962003;-0.29290;0.0962003;-0.29290
7,89E+14;0.0127073;0.094316;0.0962004;-0.29291;0.0962004;-0.29291;0.0962004;-0.29291
7,91E+14;0.0127848;0.094717;0.0962005;-0.29292;0.0962005;-0.29292;0.0962005;-0.29292
7,93E+14;0.0128625;0.0951175;0.0962006;-0.29293;0.0962006;-0.29293;0.0962006;-0.29293
7,94E+14;0.0129405;0.0955174;0.0962007;-0.29294;0.0962007;-0.29294;0.0962007;-0.29294
7,96E+14;0.0130187;0.0959168;0.0962008;-0.29295;0.0962008;-0.29295;0.0962008;-0.29295
7,98E+14;0.0130971;0.0963157;0.0962009;-0.29296;0.0962009;-0.29296;0.0962009;-0.29296
8,00E+12;0.0131758;0.0967141;0.0962010;-0.29297;0.0962010;-0.29297;0.0962010;-0.29297
8,02E+14;0.0132547;0.0971119;0.0962011;-0.29298;0.0962011;-0.29298;0.0962011;-0.29298
8,03E+14;0.0133338;0.0975093;0.0962012;-0.29299;0.0962012;-0.29299;0.0962012;-0.29299
8,05E+13;0.0134132;0.0979061;0.0962013;-0.29300;0.0962013;-0.29300;0.0962013;-0.29300
8,07E+14;0.0134928;0.0983025;0.0962014;-0.29301;0.0962014;-0.29301;0.0962014;-0.29301
8,09E+14;0.0135727;0.0986983;0.0962015;-0.29302;0.0962015;-0.29302;0.0962015;-0.29302
8,11E+14;0.0136528;0.0990937;0.0962016;-0.29303;0.0962016;-0.29303;0.0962016;-0.29303
8,12E+14;0.0137331;0.0994885;0.0962017;-0.29304;0.0962017;-0.29304;0.0962017;-0.29304
8,14E+14;0.0138136;0.0998829;0.0962018;-0.29305;0.0962018;-0.29305;0.0962018;-0.29305
8,16E+14;0.0138944;0.100277;0.0962019;-0.29306;0.0962019;-0.29306;0.0962019;-0.29306
8,18E+14;0.0139754;0.10067;0.0962020;-0.29307;0.0962020;-0.29307;0.0962020;-0.29307
8,20E+14;0.0140566;0.101063;0.0962021;-0.29308;0.0962021;-0.29308;0.0962021;-0.29308
8,21E+14;0.0141381;0.101455;0.0962022;-0.29309;0.0962022;-0.29309;0.0962022;-0.29309
8,23E+14;0.0142198;0.101847;0.0962023;-0.29310;0.0962023;-0.29310;0.0962023;-0.29310
8,25E+13;0.0143017;0.102239;0.0962024;-0.29311;0.0962024;-0.29311;0.0962024;-0.29311
8,27E+14;0.0143839;0.10263;0.0962025;-0.29312;0.0962025;-0.29312;0.0962025;-0.29312
8,29E+14;0.0144662;0.10302;0.0962026;-0.29313;0.0962026;-0.29313;0.0962026;-0.29313
8,30E+14;0.0145489;0.10341;0.0962027;-0.29314;0.0962027;-0.29314;0.0962027;-0.29314
8,32E+14;0.0146317;0.1038;0.0962028;-0.29315;0.0962028;-0.29315;0.0962028;-0.29315
8,34E+14;0.0147147;0.104189;0.0962029;-0.29316;0.0962029;-0.29316;0.0962029;-0.29316
8,36E+14;0.014798;0.104578;0.0962030;-0.29317;0.0962030;-0.29317;0.0962030;-0.29317
8,38E+14;0.0148815;0.104966;0.0962031;-0.29318;0.0962031;-0.29318;0.0962031;-0.29318
8,39E+14;0.0149653;0.105354;0.0962032;-0.29319;0.0962032;-0.29319;0.0962032;-0.29319
8,41E+14;0.0150492;0.105741;0.0962033;-0.29320;0.0962033;-0.29320;0.0962033;-0.29320
8,43E+14;0.0151334;0.106128;0.0962034;-0.29321;0.0962034;-0.29321;0.0962034;-0.29321
8,45E+13;0.0152178;0.106514;0.0962035;-0.29322;0.0962035;-0.29322;0.0962035;-0.29322
8,47E+14;0.0153024;0.1069;0.0962036;-0.29323;0.0962036;-0.29323;0.0962036;-0.29323
8,48E+14;0.0153873;0.107285;0.0962037;-0.29324;0.0962037;-0.29324;0.0962037;-0.29324
8,50E+14;0.0154724;0.10767;0.0962038;-0.29325;0.0962038;-0.29325;0.0962038;-0.29325
8,52E+14;0.0155577;0.108055;0.0962039;-0.29326;0.0962039;-0.29326;0.0962039;-0.29326
8,54E+14;0.0156432;0.108439;0.0962040;-0.29327;0.0962040;-0.29327;0.0962040;-0.29327
8,56E+14;0.0157289;0.108823;0.0962041;-0.29328;0.0962041;-0.29328;0.0962041;-0.29328
8,58E+14;0.0158149;0.109206;0.0962042;-0.29329;0.0962042;-0.29329;0.0962042;-0.29329
8,59E+14;0.015901;0.109589;0.0962043;-0.29330;0.0962043;-0.29330;0.0962043;-0.29330
8,61E+14;0.0159874;0.109971;0.0962044;-0.29331;0.0962044;-0.29331;0.0962044;-0.29331
8,63E+14;0.016074;0.110353;0.0962045;-0.29332;0.0962045;-0.29332;0.0962045;-0.29332
8,65E+14;0.0161608;0.110735;0.0962046;-0.29333;0.0962046;-0.29333;0.0962046;-0.29333
8,67E+14;0.0162479;0.111116;0.0962047;-0.29334;0.0962047;-0.29334;0.0962047;-0.29334
8,68E+14;0.0163351;0.111496;0.0962048;-0.29335;0.0962048;-0.29335;0.0962048;-0.29335
8,70E+13;0.0164226;0.111877;0.0962049;-0.29336;0.0962049;-0.29336;0.0962049;-0.29336
8,72E+14;0.0165103;0.112256;0.0962050;-0.29337;0.0962050;-0.29337;0.0962050;-0.29337
8,74E+14;0.0165982;0.112636;0.0962051;-0.29338;0.0962051;-0.29338;0.0962051;-0.29338
8,76E+14;0.0166864;0.113015;0.0962052;-0.29339;0.0962052;-0.29339;0.0962052;-0.29339
8,77E+14;0.0167747;0.113393;0.0962053;-0.29340;0.0962053;-0.29340;0.0962053;-0.29340
8,79E+14;0.0168632;0.113771;0.0962054;-0.29341;0.0962054;-0.29341;0.0962054;-0.29341
8,81E+14;0.016952;0.114149;0.0962055;-0.29342;0.0962055;-0.29342;0.0962055;-0.29342
8,83E+14;0.017041;0.114527;0.0962056;-0.29343;0.0962056;-0.29343;0.0962056;-0.29343
8,85E+14;0.0171302;0.114903;0.0962057;-0.29344;0.0962057;-0.29344;0.0962057;-0.29344
8,86E+14;0.0172196;0.11528;0.0962058;-0.29345;0.0962058;-0.29345;0.0962058;-0.29345
8,88E+14;0.0173092;0.115656;0.0962059;-0.29346;0.0962059;-0.29346;0.0962059;-0.29346
8,90E+13;0.017399;0.116032;0.0962060;-0.29347;0.0962060;-0.29347;0.0962060;-0.29347
8,92E+14;0.0174891;0.116407;0.0962061;-0.29348;0.0962061;-0.29348;0.0962061;-0.29348
8,94E+14;0.0175793;0.116782;0.0962062;-0.29349;0.0962062;-0.29349;0.0962062;-0.29349
8,95E+14;0.0176698;0.117156;0.0962063;-0.29350;0.0962063;-0.29350;0.0962063;-0.29350
8,97E+14;0.0177605;0.117531;0.0962064;-0.29351;0.0962064;-0.29351;0.0962064;-0.29351
8,99E+14;0.0178514;0.117904;0.0962065;-0.29352;0.0962065;-0.29352;0.0962065;-0.29352
9,01E+14;0.0179425;0.118278;0.0962066;-0.29353;0.0962066;-0.29353;0.0962066;-0.29353
9,03E+14;0.0180338;0.118651;0.0962067;-0.29354;0.0962067;-0.29354;0.0962067;-0.29354
9,04E+14;0.0181253;0.119023;0.0962068;-0.29355;0.0962068;-0.29355;0.0962068;-0.29355
9,06E+14;0.018217;0.119395;0.0962069;-0.29356;0.0962069;-0.29356;0.0962069;-0.29356
9,08E+14;0.0183089;0.119767;0.0962070;-0.29357;0.0962070;-0.29357;0.0962070;-0.29357
9,10E+13;0.0184011;0.120138;0.0962071;-0.29358;0.0962071;-0.29358;0.0962071;-0.29358
9,12E+14;0.0184934;0.120509;0.0962072;-0.29359;0.0962072;-0.29359;0.0962072;-0.29359
9,13E+14;0.018586;0.12088;0.0962073;-0.29360;0.0962073;-0.29360;0.0962073;-0.29360
9,15E+13;0.0186787;0.12125;0.0962074;-0.29361;0.0962074;-0.29361;0.0962074;-0.29361
9,17E+14;0.0187717;0.12162;0.0962075;-0.29362;0.0962075;-0.29362;0.0962075;-0.29362
9,19E+14;0.0188649;0.121989;0.0962076;-0.29363;0.0962076;-0.29363;0.0962076;-0.29363
9,21E+14;0.0189582;0.122359;0.0962077;-0.29364;0.0962077;-0.29364;0.0962077;-0.29364
9,22E+14;0.0190518;0.122727;0.0962078;-0.29365;0.0962078;-0.29365;0.0962078;-0.29365
9,24E+14;0.0191456;0.123096;0.0962079;-0.29366;0.0962079;-0.29366;0.0962079;-0.29366
9,26E+14;0.0192396;0.123464;0.0962080;-0.29367;0.0962080;-0.29367;0.0962080;-0.29367
9,28E+14;0.0193338;0.123831;0.0962081;-0.29368;0.0962081;-0.29368;0.0962081;-0.29368
9,30E+14;0.0194282;0.124199;0.0962082;-0.29369;0.0962082;-0.29369;0.0962082;-0.29369
9,31E+14;0.0195228;0.124565;0.0962083;-0.29370;0.0962083;-0.29370;0.0962083;-0.29370
9,33E+14;0.0196176;0.124932;0.0962084;-0.29371;0.0962084;-0.29371;0.0962084;-0.29371
9,35E+13;0.0197126;0.125298;0.0962085;-0.29372;0.0962085;-0.29372;0.0962085;-0.29372
9,37E+14;0.0198078;0.125664;0.0962086;-0.29373;0.0962086;-0.29373;0.0962086;-0.29373
9,39E+14;0.0199032;0.126029;0.0962087;-0.29374;0.0962087;-0.29374;0.0962087;-0.29374
9,40E+14;0.0199988;0.126394;0.0962088;-0.29375;0.0962088;-0.29375;0.0962088;-0.29375
9,42E+14;0.0200946;0.126759;0.0962089;-0.29376;0.0962089;-0.29376;0.0962089;-0.29376
9,44E+14;0.0201906;0.127123;0.0962090;-0.29377;0.0962090;-0.29377;0.0962090;-0.29377
9,46E+14;0.0202869;0.127487;0.0962091;-0.29378;0.0962091;-0.29378;0.0962091;-0.29378
9,48E+14;0.0203833;0.127851;0.0962092;-0.29379;0.0962092;-0.29379;0.0962092;-0.29379
9,49E+14;0.0204799;0.128214;0.0962093;-0.29380;0.0962093;-0.29380;0.0962093;-0.29380
9,51E+14;0.0205767;0.128577;0.0962094;-0.29381;0.0962094;-0.29381;0.0962094;-0.29381
9,53E+14;0.0206737;0.12894;0.0962095;-0.29382;0.0962095;-0.29382;0.0962095;-0.29382
9,55E+13;0.0207709;0.129302;0.0962096;-0.29383;0.0962096;-0.29383;0.0962096;-0.29383
9,57E+14;0.0208684;0.129664;0.0962097;-0.29384;0.0962097;-0.29384;0.0962097;-0.29384
9,59E+14;0.020966;0.130026;0.0962098;-0.29385;0.0962098;-0.29385;0.0962098;-0.29385
9,60E+14;0.0210638;0.130387;0.0962099;-0.29386;0.0962099;-0.29386;0.0962099;-0.29386
9,62E+14;0.0211618;0.130748;0.0962100;-0.29387;0.0962100;-0.29387;0.0962100;-0.29387
9,64E+14;0.02126;0.131108;0.0962101;-0.29388;0.0962101;-0.29388;0.0962101;-0.29388
9,66E+14;0.0213584;0.131468;0.0962102;-0.29389;0.0962102;-0.29389;0.0962102;-0.29389
9,68E+14;0.021457;0.131828;0.0962103;-0.29390;0.0962103;-0.29390;0.0962103;-0.29390
9,69E+14;0.0215558;0.132188;0.0962104;-0.29391;0.0962104;-0.29391;0.0962104;-0.29391
9,71E+14;0.0216548;0.132547;0.0962105;-0.29392;0.0962105;-0.29392;0.0962105;-0.29392
9,73E+14;0.021754;0.132906;0.0962106;-0.29393;0.0962106;-0.29393;0.0962106;-0.29393
9,75E+14;0.0218533;0.133264;0.0962107;-0.29394;0.0962107;-0.29394;0.0962107;-0.29394
9,77E+14;0.0219529;0.133622;0.0962108;-0.29395;0.0962108;-0.29395;0.0962108;-0.29395
9,78E+14;0.0220527;0.13398;0.0962109;-0.29396;0.0962109;-0.29396;0.0962109;-0.29396
9,80E+13;0.0221527;0.134337;0.0962110;-0.29397;0.0962110;-0.29397;0.0962110;-0.29397
9,82E+14;0.0222528;0.134695;0.0962111;-0.29398;0.0962111;-0.29398;0.0962111;-0.29398
9,84E+14;0.0223532;0.135051;0.0962112;-0.29399;0.0962112;-0.29399;0.0962112;-0.29399
9,86E+14;0.0224537;0.135408;0.0962113;-0.29400;0.0962113;-0.29400;0.0962113;-0.29400
9,87E+14;0.0225545;0.135764;0.0962114;-0.29401;0.0962114;-0.29401;0.0962114;-0.29401
9,89E+14;0.0226554;0.13612;0.0962115;-0.29402;0.0962115;-0.29402;0.0962115;-0.29402
9,91E+14;0.0227566;0.136475;0.0962116;-0.29403;0.0962116;-0.29403;0.0962116;-0.29403
9,93E+14;0.0228579;0.136831;0.0962117;-0.29404;0.0962117;-0.29404;0.0962117;-0.29404
9,95E+14;0.0229594;0.137186;0.0962118;-0.29405;0.0962118;-0.29405;0.0962118;-0.29405
9,96E+14;0.0230611;0.13754;0.0962119;-0.29406;0.0962119;-0.29406;0.0962119;-0.29406
9,98E+14;0.023163;0.137894;0.0962120;-0.29407;0.0962120;-0.29407;0.0962120;-0.29407
1,00E+10;0.0232651;0.138248;0.0962121;-0.29408;0.0962121;-0.29408;0.0962121;-0.29408
